gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,bachelor's degree,standard,none,49,77,87
female,group C,some college,standard,none,52,86,69
female,group D,high school,standard,none,95,97,77
female,group C,master's degree,standard,none,51,58,91
female,group C,master's degree,standard,none,41,47,79
male,group E,associate's degree,standard,completed,60,93,85
male,group D,bachelor's degree,standard,none,19,74,69
male,group B,master's degree,standard,none,69,83,51
male,group E,some college,standard,none,69,75,83
female,group C,some college,free/reduced,none,74,65,46
male,group A,master's degree,free/reduced,completed,50,100,92
male,group B,bachelor's degree,free/reduced,completed,96,61,106
male,group A,some college,standard,none,60,84,89
female,group E,associate's degree,standard,completed,84,69,84
male,group E,high school,standard,none,63,69,78
female,group C,associate's degree,free/reduced,completed,41,70,79
female,group D,associate's degree,standard,none,63,89,90
male,group E,high school,standard,completed,74,100,107
male,group B,some high school,standard,none,42,82,97
female,group B,some high school,free/reduced,none,81,47,79
female,group C,some high school,standard,completed,77,81,75
female,group D,high school,standard,completed,91,100,75
female,group D,high school,standard,none,40,82,62
female,group C,some college,standard,none,64,50,60
female,group C,associate's degree,standard,none,67,91,87
male,group B,some high school,standard,none,70,82,75
female,group E,some high school,free/reduced,completed,63,87,92
male,group D,associate's degree,standard,none,58,67,64
female,group D,associate's degree,standard,none,78,104,111
female,group C,bachelor's degree,standard,none,73,111,62
female,group B,associate's degree,free/reduced,none,76,77,75
male,group D,bachelor's degree,free/reduced,completed,72,87,81
female,group E,associate's degree,free/reduced,none,60,42,69
male,group A,associate's degree,standard,none,54,42,64
male,group C,some high school,standard,completed,82,101,62
female,group C,some high school,free/reduced,completed,81,74,95
female,group C,bachelor's degree,free/reduced,completed,57,100,54
female,group A,high school,free/reduced,completed,51,96,108
female,group D,master's degree,standard,none,99,89,95
female,group C,high school,standard,none,68,48,88
male,group B,high school,free/reduced,completed,57,101,43
female,group B,high school,standard,completed,68,79,92
male,group A,some high school,standard,completed,45,58,78
female,group D,some high school,standard,none,52,82,22
female,group D,high school,standard,completed,56,93,65
male,group C,bachelor's degree,free/reduced,none,98,70,55
female,group D,master's degree,standard,none,98,67,71
female,group C,associate's degree,free/reduced,none,73,36,77
male,group E,associate's degree,free/reduced,none,50,23,95
female,group D,associate's degree,standard,none,73,88,78
female,group C,associate's degree,standard,completed,84,86,98
female,group E,some college,standard,none,60,74,48
female,group E,bachelor's degree,free/reduced,none,77,70,73
male,group D,some college,free/reduced,completed,50,64,88
male,group B,high school,free/reduced,completed,82,99,84
male,group D,some college,standard,none,94,35,72
male,group D,high school,free/reduced,none,64,91,84
male,group E,associate's degree,standard,none,64,71,67
female,group B,associate's degree,standard,completed,70,90,66
male,group A,associate's degree,free/reduced,completed,52,81,86
male,group B,some high school,free/reduced,completed,72,63,97
male,group C,high school,free/reduced,none,74,45,54
female,group C,associate's degree,free/reduced,completed,58,77,63
male,group C,high school,free/reduced,none,52,92,65
female,group C,some college,standard,completed,90,76,47
male,group A,associate's degree,standard,completed,57,111,76
male,group D,associate's degree,standard,none,57,74,77
female,group C,associate's degree,standard,completed,76,77,63
female,group C,bachelor's degree,standard,none,63,80,93
male,group D,high school,free/reduced,completed,81,46,78
male,group B,associate's degree,free/reduced,none,65,49,60
male,group D,some college,free/reduced,none,61,48,92
female,group B,associate's degree,free/reduced,none,37,96,96
female,group E,high school,standard,none,54,92,59
male,group D,some college,free/reduced,none,97,63,88
female,group C,master's degree,free/reduced,none,60,72,76
male,group B,some college,standard,completed,91,85,90
female,group D,associate's degree,standard,none,75,66,79
female,group A,associate's degree,standard,completed,46,67,97
male,group E,associate's degree,free/reduced,none,57,89,81
female,group E,high school,free/reduced,none,74,82,97
female,group B,associate's degree,standard,none,49,68,88
male,group E,some college,free/reduced,completed,41,76,64
male,group B,some college,standard,completed,55,86,63
male,group C,master's degree,free/reduced,none,40,98,78
female,group E,associate's degree,standard,none,92,99,90
female,group B,bachelor's degree,free/reduced,completed,79,109,59
female,group D,some high school,standard,none,68,72,96
female,group D,high school,free/reduced,none,54,90,69
female,group D,associate's degree,standard,none,69,70,50
male,group C,high school,standard,completed,86,91,80
female,group D,bachelor's degree,standard,none,60,73,42
female,group B,bachelor's degree,standard,completed,69,82,87
female,group E,associate's degree,standard,completed,65,76,113
male,group D,some college,free/reduced,none,45,91,80
female,group B,associate's degree,free/reduced,completed,73,83,83
female,group C,some college,standard,none,84,99,84
male,group D,high school,standard,none,80,84,92
male,group B,associate's degree,free/reduced,none,37,81,77
female,group A,some college,free/reduced,none,78,70,93
male,group E,high school,free/reduced,none,55,63,81
male,group D,associate's degree,standard,completed,67,73,67
female,group E,some college,standard,none,63,113,32
male,group A,associate's degree,standard,none,42,60,99
female,group C,some high school,standard,completed,8,78,97
male,group C,some high school,free/reduced,none,84,95,59
female,group C,high school,free/reduced,completed,62,64,91
male,group C,associate's degree,free/reduced,none,54,59,68
female,group C,high school,free/reduced,none,85,64,73
male,group C,high school,standard,none,102,91,48
female,group C,associate's degree,free/reduced,completed,47,110,73
female,group B,some college,standard,none,58,79,68
male,group E,master's degree,standard,completed,93,65,117
female,group C,high school,free/reduced,none,51,51,82
female,group B,some college,standard,none,63,107,61
male,group D,some college,standard,completed,50,76,52
male,group C,associate's degree,standard,completed,87,100,68
female,group B,some high school,standard,completed,74,61,95
female,group B,some high school,free/reduced,none,61,82,82
male,group B,some college,free/reduced,completed,80,60,67
male,group C,associate's degree,standard,completed,74,85,75
male,group C,some high school,standard,completed,21,105,69
male,group C,high school,free/reduced,none,60,68,87
male,group D,some college,standard,none,57,67,76
female,group D,some high school,free/reduced,completed,13,111,67
female,group E,some college,free/reduced,completed,77,74,71
male,group D,associate's degree,standard,none,81,52,89
female,group B,some college,standard,completed,63,103,108
female,group D,high school,free/reduced,none,95,74,83
male,group B,associate's degree,standard,completed,69,98,86
female,group A,associate's degree,free/reduced,none,41,28,52
male,group B,some college,standard,none,46,78,62
female,group D,some college,standard,none,83,105,88
female,group E,master's degree,standard,completed,75,109,80
female,group A,associate's degree,standard,completed,67,101,85
female,group C,associate's degree,standard,none,54,104,68
female,group B,associate's degree,free/reduced,completed,76,91,106
male,group D,high school,standard,completed,49,78,56
male,group C,associate's degree,standard,completed,91,72,108
female,group C,some high school,standard,completed,86,97,88
male,group E,master's degree,standard,completed,84,95,99
male,group C,bachelor's degree,free/reduced,completed,86,75,76
female,group D,associate's degree,standard,none,63,93,71
female,group D,bachelor's degree,standard,completed,66,91,52
male,group C,high school,standard,none,40,100,114
female,group E,high school,standard,completed,97,67,89
male,group B,associate's degree,standard,completed,48,51,72
female,group B,associate's degree,standard,none,64,71,78
female,group B,bachelor's degree,free/reduced,none,71,66,90
male,group D,some college,free/reduced,none,97,61,81
female,group E,some high school,free/reduced,completed,76,90,92
male,group A,bachelor's degree,standard,completed,83,97,112
male,group C,master's degree,free/reduced,completed,44,85,73
male,group E,high school,standard,completed,56,80,73
female,group E,some college,standard,completed,95,82,67
female,group C,some college,free/reduced,none,75,87,77
male,group D,some high school,free/reduced,completed,93,103,93
male,group A,bachelor's degree,free/reduced,none,49,63,64
female,group E,some college,standard,completed,52,82,90
female,group E,some high school,standard,none,37,80,54
female,group C,associate's degree,free/reduced,completed,69,89,70
male,group E,high school,free/reduced,completed,63,74,63
male,group D,associate's degree,standard,none,74,61,74
female,group C,bachelor's degree,free/reduced,completed,76,42,86
female,group D,high school,standard,none,30,99,100
male,group B,high school,standard,none,68,54,73
female,group E,some high school,standard,none,70,95,61
female,group B,high school,free/reduced,completed,105,82,69
female,group B,master's degree,standard,none,47,98,72
male,group C,associate's degree,standard,none,48,73,89
male,group E,bachelor's degree,free/reduced,none,78,50,77
male,group B,some high school,standard,completed,71,77,95
male,group C,some college,free/reduced,none,57,83,84
female,group D,associate's degree,standard,none,60,54,81
female,group D,some high school,standard,none,43,74,65
female,group D,high school,standard,none,86,83,95
female,group E,some high school,standard,completed,82,83,92
male,group D,some college,standard,none,46,54,86
male,group E,high school,standard,completed,83,89,68
male,group A,some high school,standard,completed,50,76,79
female,group E,some high school,standard,completed,88,75,89
female,group B,high school,free/reduced,none,52,62,86
female,group E,associate's degree,standard,none,67,60,82
female,group C,high school,standard,completed,50,87,94
female,group E,associate's degree,standard,none,50,90,91
male,group B,bachelor's degree,free/reduced,completed,81,73,80
male,group B,master's degree,standard,none,51,74,103
male,group E,some high school,standard,none,51,86,48
female,group C,associate's degree,free/reduced,none,75,85,82
female,group C,associate's degree,free/reduced,completed,51,91,100
male,group B,some college,standard,completed,96,100,95
female,group A,some college,standard,none,93,108,98
female,group A,associate's degree,free/reduced,none,69,56,88
male,group D,high school,free/reduced,completed,50,88,66
female,group C,some high school,free/reduced,none,79,89,95
female,group D,high school,free/reduced,none,78,77,86
male,group C,bachelor's degree,standard,completed,51,80,80
male,group D,high school,standard,completed,62,113,74
female,group B,master's degree,standard,completed,70,94,92
female,group B,high school,standard,none,66,80,98
female,group C,associate's degree,standard,none,34,64,56
male,group D,associate's degree,standard,none,95,50,79
female,group B,some college,free/reduced,none,76,72,71
female,group C,associate's degree,standard,completed,50,107,100
male,group D,some college,standard,completed,42,38,80
female,group B,some college,free/reduced,completed,54,94,84
male,group C,bachelor's degree,standard,completed,71,62,78
male,group A,some college,standard,none,36,56,66
female,group D,some high school,free/reduced,none,56,86,108
female,group E,some high school,free/reduced,none,67,84,66
female,group C,associate's degree,standard,completed,74,40,82
male,group C,high school,free/reduced,completed,84,57,81
male,group C,some college,free/reduced,completed,61,46,71
female,group D,high school,standard,none,46,95,77
male,group D,high school,free/reduced,none,38,69,75
female,group C,associate's degree,standard,none,74,66,80
female,group C,some high school,free/reduced,none,52,83,48
female,group D,some high school,free/reduced,completed,45,75,73
female,group B,associate's degree,free/reduced,none,46,51,88
female,group E,some high school,standard,none,46,103,81
female,group B,bachelor's degree,standard,completed,61,42,76
female,group E,some college,standard,none,43,89,72
female,group B,some high school,standard,none,63,79,109
male,group E,some high school,standard,completed,72,98,83
female,group E,master's degree,standard,completed,58,98,97
female,group C,associate's degree,free/reduced,completed,55,108,55
male,group E,bachelor's degree,standard,none,71,59,39
female,group B,high school,free/reduced,none,45,95,63
male,group B,some high school,standard,none,81,76,92
male,group D,master's degree,standard,completed,98,61,102
female,group B,some high school,standard,none,61,103,60
female,group D,associate's degree,standard,none,74,69,74
male,group D,some college,standard,none,68,105,82
male,group E,associate's degree,free/reduced,none,80,110,81
male,group A,associate's degree,free/reduced,completed,63,83,99
male,group D,high school,standard,completed,77,69,72
female,group C,associate's degree,standard,none,73,83,72
male,group D,some high school,standard,completed,75,70,36
male,group D,some college,free/reduced,none,47,52,53
male,group C,some college,standard,none,81,78,83
male,group D,associate's degree,standard,completed,52,88,89
male,group C,some high school,free/reduced,completed,44,73,71
female,group B,associate's degree,free/reduced,none,54,79,63
male,group D,some college,free/reduced,none,43,77,90
male,group D,some high school,standard,completed,109,113,87
male,group C,some college,free/reduced,none,36,51,76
male,group C,some college,standard,completed,11,84,44
female,group A,some college,standard,none,60,110,100
female,group B,high school,free/reduced,completed,97,71,89
female,group E,associate's degree,free/reduced,none,44,52,93
male,group B,bachelor's degree,standard,completed,72,111,69
female,group C,some high school,free/reduced,none,31,119,34
female,group C,bachelor's degree,free/reduced,completed,94,87,81
male,group C,some college,standard,completed,63,87,98
female,group E,some high school,standard,none,58,91,44
female,group D,some high school,free/reduced,completed,62,68,107
female,group C,master's degree,free/reduced,none,98,87,90
male,group D,associate's degree,standard,none,84,75,94
male,group B,associate's degree,standard,none,87,100,72
male,group C,some high school,standard,none,41,92,39
male,group C,high school,free/reduced,none,73,66,58
female,group E,associate's degree,free/reduced,none,79,76,86
male,group C,some college,standard,completed,42,99,56
male,group D,associate's degree,free/reduced,completed,28,58,83
female,group B,bachelor's degree,standard,none,65,89,94
male,group B,high school,free/reduced,none,99,107,88
female,group C,associate's degree,standard,none,59,80,112
female,group E,associate's degree,standard,none,49,53,74
female,group B,some high school,standard,none,83,38,86
female,group C,associate's degree,free/reduced,none,57,85,57
male,group D,high school,standard,completed,81,106,54
female,group C,master's degree,standard,none,70,51,69
female,group B,some college,free/reduced,none,53,110,92
male,group D,bachelor's degree,standard,completed,51,103,72
male,group C,associate's degree,free/reduced,none,63,89,72
female,group B,bachelor's degree,free/reduced,completed,49,79,105
male,group E,bachelor's degree,standard,completed,63,98,80
male,group A,some college,free/reduced,none,66,80,103
female,group D,associate's degree,standard,none,78,89,69
male,group D,some high school,standard,completed,87,86,96
male,group D,some college,standard,none,64,96,86
