gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,54,Yes,Yes,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,No,'Electronic check',54.34427595478606,4432.868686606983,No
Female,0,No,No,56,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,'Credit card (automatic)',76.40187147428378,863.2242733625869,No
Female,0,No,No,24,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',18.281073334185088,-31.50647559887301,Yes
Male,0,Yes,Yes,11,Yes,No,'Fiber optic',Yes,No,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',87.94854389665822,414.5394069722755,Yes
Male,0,No,Yes,69,Yes,Yes,'Fiber optic',Yes,No,No,Yes,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',66.14713177129542,1657.384060991366,Yes
Male,0,No,No,66,Yes,Yes,'Fiber optic',No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',110.2757877478389,6054.8532976609185,Yes
Male,0,No,Yes,4,Yes,No,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Mailed check',70.88184089141349,658.7898443489087,Yes
Female,0,Yes,Yes,76,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'One year',Yes,'Credit card (automatic)',107.4425936080696,4098.420533118301,No
Male,0,Yes,Yes,54,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',24.411788803437354,158.13758727362128,No
Male,0,No,Yes,53,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',84.37821547715171,1702.2111371389724,No
Female,0,Yes,No,70,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'One year',Yes,'Electronic check',112.58154903462268,4102.528814451378,No
Male,0,Yes,No,34,No,'No phone service',DSL,Yes,Yes,No,Yes,No,No,'One year',Yes,'Mailed check',54.24623188797435,75.04708495327391,No
Male,0,Yes,No,58,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',105.72459998192863,373.22438559097134,Yes
