age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
34,management,single,tertiary,no,687,no,no,cellular,20,nov,182,1,58,2,failure,no
65,unemployed,married,secondary,no,1275,no,no,cellular,18,oct,368,1,184,3,success,yes
41,technician,married,secondary,no,85,yes,yes,cellular,9,nov,234,3,256,1,failure,no
61,entrepreneur,married,primary,no,-121,yes,no,unknown,19,jun,57,3,-1,0,unknown,no
32,admin.,married,tertiary,no,78,no,yes,cellular,19,nov,312,2,175,1,failure,yes
54,technician,divorced,unknown,no,2532,no,no,cellular,8,apr,435,2,-2,0,unknown,yes
46,services,married,secondary,no,-38,yes,no,unknown,7,may,74,1,-1,0,unknown,no
35,housemaid,married,secondary,no,-91,no,yes,cellular,21,nov,234,1,-2,0,unknown,no
23,student,single,secondary,no,-52,no,no,cellular,24,jul,196,1,92,0,unknown,yes
59,technician,divorced,secondary,no,4305,no,no,unknown,2,jun,217,1,-2,0,unknown,yes
30,blue-collar,married,secondary,no,5579,yes,yes,cellular,25,nov,228,1,-1,0,unknown,yes
32,services,married,secondary,yes,-232,no,yes,cellular,21,jul,243,2,-1,0,unknown,no
44,unknown,divorced,secondary,no,-300,no,no,telephone,24,aug,214,10,-1,0,unknown,yes
33,housemaid,single,secondary,no,2400,no,no,cellular,8,aug,58,2,-2,0,success,no
52,blue-collar,married,primary,no,1686,no,no,unknown,3,nov,651,10,-2,0,unknown,no
33,management,single,tertiary,no,810,yes,no,cellular,30,may,721,1,-1,0,unknown,yes
37,technician,single,secondary,no,-28,yes,no,unknown,28,may,69,1,-1,0,unknown,no
38,management,married,tertiary,no,261,yes,no,unknown,29,may,226,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,806,yes,no,unknown,20,jun,108,1,-1,0,unknown,no
47,blue-collar,married,secondary,no,-205,yes,yes,cellular,28,may,69,2,-2,0,unknown,no
57,services,single,secondary,no,3099,no,no,unknown,28,jan,759,2,-2,0,unknown,no
36,services,married,primary,no,-5,yes,no,unknown,29,may,494,1,0,0,unknown,no
75,retired,married,tertiary,no,426,no,no,telephone,16,jul,305,1,194,0,unknown,yes
34,unemployed,divorced,secondary,no,2170,no,no,cellular,21,jul,98,8,-2,0,unknown,no
55,retired,divorced,primary,no,320,no,no,telephone,10,jul,370,1,-1,0,unknown,yes
46,technician,married,secondary,no,165,yes,no,unknown,20,jul,193,3,-1,0,unknown,no
55,services,married,tertiary,no,101,yes,no,cellular,6,nov,503,2,187,5,other,no
46,admin.,divorced,secondary,no,-7,yes,no,cellular,13,sep,157,1,181,5,other,no
51,management,married,secondary,no,17,no,yes,cellular,21,apr,48,16,270,3,success,no
63,retired,married,secondary,no,322,yes,no,telephone,7,may,348,1,-1,0,unknown,yes
30,blue-collar,divorced,tertiary,no,279,yes,no,cellular,4,may,214,3,-2,0,unknown,no
45,services,married,secondary,no,-158,yes,yes,unknown,4,jul,705,1,-2,0,unknown,no
35,services,single,secondary,no,-35,yes,no,unknown,21,may,413,1,-1,0,unknown,yes
35,management,married,tertiary,no,3450,no,no,cellular,29,aug,122,2,88,1,failure,no
35,admin.,divorced,secondary,yes,-60,yes,yes,cellular,28,may,205,1,-2,0,unknown,yes
41,technician,divorced,secondary,no,-66,yes,yes,cellular,6,feb,31,1,0,0,other,no
23,student,single,secondary,no,1042,no,no,cellular,6,apr,205,4,-1,0,unknown,no
57,unknown,married,secondary,no,7,no,no,cellular,11,nov,405,1,332,1,other,yes
44,retired,married,primary,no,14,no,yes,telephone,31,jul,491,7,-3,0,unknown,no
28,services,divorced,secondary,no,-4,yes,no,unknown,16,may,135,1,319,1,failure,no
35,self-employed,married,tertiary,no,1907,yes,no,telephone,28,oct,197,4,78,5,unknown,yes
34,technician,married,secondary,no,1253,yes,no,cellular,29,jul,117,3,0,0,other,no
43,unknown,single,tertiary,no,650,no,no,cellular,21,dec,212,1,-2,7,unknown,yes
38,student,divorced,secondary,no,-61,no,no,cellular,25,feb,728,1,86,3,success,no
49,self-employed,married,tertiary,no,59,no,no,cellular,21,may,209,5,291,3,unknown,no
29,services,married,secondary,no,-14,yes,no,unknown,21,may,971,2,-2,0,unknown,no
30,management,married,tertiary,no,2015,yes,no,cellular,20,may,234,1,-2,0,unknown,no
36,management,single,tertiary,no,267,no,no,cellular,21,feb,105,1,352,0,unknown,no
24,admin.,single,secondary,no,613,no,yes,cellular,18,jul,337,1,-2,0,unknown,yes
35,housemaid,married,secondary,no,-174,no,no,cellular,13,feb,178,1,173,2,other,yes
34,admin.,single,tertiary,no,215,no,no,cellular,9,apr,155,1,-2,0,other,yes
57,student,married,secondary,no,20,no,no,cellular,5,aug,1044,1,0,0,unknown,yes
31,services,single,secondary,no,95,no,no,cellular,28,mar,745,1,332,1,other,yes
45,services,married,secondary,yes,-421,yes,yes,unknown,5,jul,105,3,-1,0,unknown,no
28,blue-collar,single,secondary,no,-96,yes,no,cellular,14,may,282,3,180,1,other,no
34,blue-collar,married,secondary,no,1628,yes,no,unknown,15,aug,868,4,-2,0,unknown,yes
47,admin.,married,primary,no,20,no,no,telephone,8,jul,399,2,189,1,other,yes
32,self-employed,married,secondary,no,661,yes,no,unknown,20,may,128,2,-1,0,unknown,no
41,management,divorced,tertiary,no,257,yes,no,cellular,22,aug,221,6,-1,0,unknown,no
52,blue-collar,divorced,secondary,yes,-128,no,no,cellular,6,jul,182,2,-1,0,unknown,no
51,blue-collar,married,secondary,no,1817,yes,no,unknown,4,may,160,1,-1,0,unknown,no
47,services,married,secondary,no,222,yes,no,telephone,19,jul,96,1,-1,0,unknown,no
42,management,married,tertiary,no,294,no,no,cellular,22,nov,39,1,-2,0,unknown,no
35,services,divorced,secondary,no,205,no,no,cellular,18,jun,290,1,-3,1,unknown,yes
47,retired,divorced,secondary,no,609,no,no,telephone,12,dec,181,3,182,1,success,yes
74,admin.,single,secondary,no,8871,yes,no,unknown,27,jul,1353,2,-3,0,unknown,yes
23,services,single,secondary,no,363,no,no,unknown,21,may,997,1,-3,0,unknown,yes
31,technician,single,secondary,no,120,yes,no,cellular,7,may,473,1,-2,0,unknown,yes
