checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
<0,3,critical/other existing credit,used car,18827,<100,>=7,3,male mar/wid,none,3,car,50,none,own,1,skilled,2,yes,yes,good
0<=X<200,-1,existing paid,new car,4480,500<=X<1000,1<=X<4,3,female div/dep/mar,none,2,car,31,none,for free,1,skilled,1,yes,no,good
0<=X<200,0,critical/other existing credit,business,10018,<100,1<=X<4,3,male single,none,4,car,28,none,own,2,skilled,1,yes,yes,good
<0,24,existing paid,radio/tv,12393,100<=X<500,1<=X<4,4,female div/dep/mar,none,2,car,57,none,own,2,unemp/unskilled non res,2,none,yes,good
0<=X<200,27,existing paid,furniture/equipment,3394,500<=X<1000,4<=X<7,4,male div/sep,none,2,life insurance,57,none,own,1,skilled,1,yes,yes,good
no checking,20,existing paid,business,3318,<100,>=7,4,male single,none,2,no known property,23,bank,own,2,high qualif/self emp/mgmt,2,none,no,good
0<=X<200,9,existing paid,new car,1764,100<=X<500,<1,2,male div/sep,co applicant,1,car,43,none,rent,2,skilled,1,none,yes,good
0<=X<200,24,existing paid,used car,5457,<100,<1,1,male single,none,2,car,79,bank,own,1,unskilled resident,1,none,yes,good
0<=X<200,44,delayed previously,radio/tv,1705,<100,1<=X<4,4,male div/sep,none,4,life insurance,68,none,own,1,skilled,1,yes,yes,good
<0,1,existing paid,used car,5931,<100,>=7,3,male single,none,2,life insurance,41,none,own,2,unskilled resident,1,none,yes,good
no checking,6,critical/other existing credit,furniture/equipment,2730,>=1000,1<=X<4,3,male single,none,0,life insurance,55,none,own,1,skilled,1,none,yes,good
<0,5,critical/other existing credit,used car,1071,<100,1<=X<4,3,male single,none,4,life insurance,33,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad
<0,3,existing paid,business,2763,100<=X<500,>=7,3,male single,none,4,car,30,none,own,2,skilled,1,none,yes,good
