gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0.0,Yes,Yes,17.0,Yes,No,'Fiber optic',No,No,Yes,No,No,Yes,Month-to-month,No,'Credit card (automatic)',85.6,1130.45,No
Male,1.0,Yes,No,48.0,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',25.55,1375.3,No
Female,0.0,No,Yes,3.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',69.95,212.1,No
Female,0.0,Yes,Yes,25.0,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,'Credit card (automatic)',39.9,424.3,No
Female,0.0,Yes,Yes,32.0,Yes,Yes,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',90.1,689.15,No
Male,0.0,Yes,No,12.0,Yes,No,'Fiber optic',No,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',96.9,1336.5,No
Male,0.0,No,No,57.0,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',19.9,1292.75,No
Female,0.0,No,No,3.0,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',70.5,260.8,Yes
Female,0.0,No,No,12.0,Yes,No,'Fiber optic',Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',104.9,1274.3,No
Female,0.0,No,No,26.0,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',70.3,918.85,Yes
Male,0.0,Yes,Yes,9.0,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',95.35,761.4,No
Female,0.0,Yes,Yes,8.0,Yes,No,No,'No internet service','No internet service',Yes,No,Yes,Yes,'Two year',No,'Credit card (automatic)',89.8,469.65,No
Male,0.0,No,No,2.0,Yes,No,No,'No internet service',No,No,'No internet service',No,No,Month-to-month,No,'Credit card (automatic)',19.55,68.3,No
Female,0.0,Yes,Yes,10.0,Yes,No,DSL,No,Yes,No,No,No,No,'Two year',Yes,'Credit card (automatic)',80.15,674.55,No
Female,0.0,Yes,No,72.0,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',53.3,1212.2,No
Male,0.0,Yes,No,72.0,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,'Two year',No,'Bank transfer (automatic)',113.95,7076.75,No
