age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
33.0,self-employed,married,tertiary,no,-195.0,no,no,cellular,19.0,nov,659.0,1.0,-1.0,0.0,unknown,yes
30.0,blue-collar,single,secondary,no,-972.0,yes,no,unknown,12.0,may,576.0,1.0,-1.0,0.0,unknown,yes
55.0,self-employed,married,tertiary,no,0.0,yes,no,cellular,31.0,jul,464.0,1.0,-1.0,0.0,unknown,yes
56.0,blue-collar,married,primary,no,6807.0,no,no,cellular,28.0,jul,1250.0,7.0,-1.0,0.0,unknown,yes
38.0,blue-collar,married,primary,no,2039.0,yes,no,cellular,18.0,nov,890.0,2.0,-1.0,0.0,unknown,yes
53.0,self-employed,married,secondary,no,2289.0,no,no,cellular,29.0,jul,938.0,2.0,-1.0,0.0,unknown,yes
42.0,blue-collar,married,primary,no,-17.0,yes,yes,cellular,14.0,jul,1030.0,1.0,-1.0,0.0,unknown,yes
41.0,blue-collar,married,secondary,no,471.0,yes,no,cellular,14.0,may,805.0,1.0,-1.0,0.0,unknown,no
26.0,self-employed,single,tertiary,no,1131.0,yes,no,cellular,17.0,jul,1149.0,1.0,-1.0,0.0,unknown,yes
33.0,management,married,tertiary,no,518.0,no,no,cellular,29.0,jul,553.0,1.0,-1.0,0.0,unknown,no
50.0,management,married,tertiary,no,37.0,yes,no,cellular,19.0,nov,1091.0,1.0,-1.0,0.0,unknown,yes
35.0,blue-collar,married,secondary,no,758.0,yes,no,cellular,17.0,apr,556.0,1.0,-1.0,0.0,unknown,yes
37.0,self-employed,married,secondary,no,-1442.0,yes,no,cellular,2.0,feb,726.0,1.0,-1.0,0.0,unknown,yes
49.0,blue-collar,married,secondary,no,-170.0,yes,no,cellular,2.0,nov,1071.0,1.0,-1.0,0.0,unknown,no
60.0,blue-collar,married,tertiary,no,3287.0,yes,no,cellular,14.0,jul,486.0,1.0,-1.0,0.0,unknown,yes
29.0,self-employed,single,tertiary,no,1843.0,no,no,cellular,2.0,feb,696.0,4.0,-1.0,0.0,unknown,yes
57.0,blue-collar,married,primary,no,930.0,yes,no,unknown,15.0,may,581.0,1.0,-1.0,0.0,unknown,yes
48.0,blue-collar,married,primary,no,-150.0,yes,no,cellular,30.0,jul,554.0,1.0,-1.0,0.0,unknown,yes
34.0,self-employed,single,tertiary,no,-637.0,yes,no,cellular,10.0,jul,963.0,1.0,-1.0,0.0,unknown,yes
53.0,blue-collar,married,primary,no,935.0,no,no,cellular,11.0,jul,2081.0,1.0,-1.0,0.0,unknown,yes
34.0,blue-collar,single,secondary,no,-637.0,no,no,cellular,8.0,jul,878.0,2.0,-1.0,0.0,unknown,yes
30.0,self-employed,married,secondary,no,703.0,yes,yes,cellular,19.0,nov,438.0,1.0,-1.0,0.0,unknown,yes
41.0,blue-collar,married,primary,no,2266.0,no,no,cellular,21.0,jul,841.0,1.0,-1.0,0.0,unknown,yes
50.0,blue-collar,divorced,primary,no,-306.0,no,no,cellular,10.0,jul,667.0,3.0,-1.0,0.0,unknown,yes
31.0,blue-collar,married,secondary,no,-633.0,yes,yes,cellular,29.0,jul,112.0,4.0,-1.0,0.0,unknown,no
41.0,self-employed,single,tertiary,no,1207.0,no,no,telephone,6.0,feb,935.0,1.0,-1.0,0.0,unknown,yes
31.0,blue-collar,married,primary,no,0.0,yes,yes,cellular,27.0,jul,1032.0,2.0,-1.0,0.0,unknown,yes
31.0,blue-collar,single,tertiary,no,1182.0,no,no,cellular,8.0,aug,658.0,2.0,-1.0,0.0,unknown,yes
53.0,self-employed,married,tertiary,no,839.0,yes,no,cellular,19.0,nov,1388.0,1.0,-1.0,0.0,unknown,yes
36.0,blue-collar,single,secondary,no,-209.0,yes,no,cellular,18.0,nov,1073.0,1.0,-1.0,0.0,unknown,yes
48.0,blue-collar,single,secondary,no,3371.0,yes,no,cellular,31.0,jul,881.0,2.0,-1.0,0.0,unknown,yes
