checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,12.0,existing paid,new car,1495.0,<100,1<=X<4,2.0,male single,none,2.0,no known property,35.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,12.0,critical/other existing credit,furniture/equipment,2028.0,100<=X<500,1<=X<4,4.0,female div/dep/mar,none,2.0,no known property,36.0,none,own,2.0,skilled,1.0,none,yes,good
0<=X<200,36.0,no credits/all paid,radio/tv,1209.0,<100,1<=X<4,4.0,male single,none,3.0,car,29.0,bank,own,1.0,unemp/unskilled non res,1.0,yes,yes,good
no checking,30.0,delayed previously,radio/tv,1258.0,500<=X<1000,1<=X<4,4.0,female div/dep/mar,none,2.0,car,35.0,none,own,1.0,skilled,1.0,yes,yes,bad
0<=X<200,24.0,existing paid,furniture/equipment,695.0,100<=X<500,4<=X<7,3.0,male div/sep,none,1.0,car,23.0,none,rent,1.0,skilled,1.0,none,yes,good
0<=X<200,6.0,critical/other existing credit,furniture/equipment,2431.0,<100,1<=X<4,2.0,male single,none,4.0,life insurance,28.0,bank,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
no checking,6.0,existing paid,education,1542.0,100<=X<500,1<=X<4,1.0,female div/dep/mar,none,2.0,no known property,35.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
<0,6.0,existing paid,new car,2724.0,100<=X<500,4<=X<7,4.0,female div/dep/mar,none,2.0,life insurance,57.0,stores,own,1.0,unskilled resident,1.0,yes,yes,bad
0<=X<200,12.0,delayed previously,furniture/equipment,937.0,100<=X<500,unemployed,4.0,female div/dep/mar,none,4.0,life insurance,47.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,36.0,existing paid,used car,3559.0,100<=X<500,1<=X<4,4.0,female div/dep/mar,none,4.0,no known property,33.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,18.0,critical/other existing credit,new car,2721.0,500<=X<1000,1<=X<4,4.0,male single,none,4.0,car,27.0,none,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,good
no checking,15.0,critical/other existing credit,new car,3917.0,<100,unemployed,2.0,male single,none,4.0,life insurance,49.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,36.0,delayed previously,used car,3650.0,100<=X<500,4<=X<7,4.0,male single,none,4.0,car,25.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
no checking,24.0,critical/other existing credit,new car,1520.0,<100,1<=X<4,4.0,male single,none,2.0,real estate,27.0,none,own,2.0,skilled,1.0,yes,yes,good
no checking,60.0,existing paid,furniture/equipment,3917.0,100<=X<500,1<=X<4,2.0,female div/dep/mar,none,2.0,no known property,25.0,none,for free,1.0,skilled,1.0,none,yes,bad
0<=X<200,24.0,existing paid,new car,3026.0,<100,unemployed,2.0,male single,none,1.0,real estate,28.0,none,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,good
0<=X<200,12.0,critical/other existing credit,radio/tv,3448.0,500<=X<1000,4<=X<7,4.0,female div/dep/mar,none,4.0,life insurance,28.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,12.0,critical/other existing credit,furniture/equipment,1266.0,no known savings,>=7,2.0,female div/dep/mar,none,2.0,no known property,26.0,none,for free,1.0,unskilled resident,1.0,yes,yes,good
0<=X<200,18.0,critical/other existing credit,business,1202.0,no known savings,unemployed,3.0,male single,none,3.0,real estate,39.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
no checking,24.0,critical/other existing credit,education,1275.0,100<=X<500,1<=X<4,4.0,female div/dep/mar,none,4.0,car,29.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,15.0,existing paid,new car,2345.0,no known savings,1<=X<4,3.0,male single,none,2.0,life insurance,46.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,18.0,no credits/all paid,new car,707.0,500<=X<1000,1<=X<4,2.0,male single,none,2.0,life insurance,23.0,none,own,1.0,unskilled resident,1.0,yes,yes,good
0<=X<200,15.0,existing paid,radio/tv,2681.0,<100,1<=X<4,4.0,male single,none,2.0,real estate,23.0,none,own,2.0,unskilled resident,1.0,none,yes,bad
0<=X<200,18.0,existing paid,radio/tv,1231.0,<100,4<=X<7,4.0,female div/dep/mar,none,4.0,no known property,26.0,none,for free,2.0,skilled,1.0,none,yes,good
0<=X<200,24.0,critical/other existing credit,new car,958.0,<100,1<=X<4,1.0,female div/dep/mar,none,4.0,life insurance,33.0,none,own,2.0,skilled,1.0,yes,yes,good
no checking,24.0,all paid,furniture/equipment,5951.0,100<=X<500,<1,4.0,male single,none,2.0,no known property,36.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,9.0,critical/other existing credit,used car,1436.0,500<=X<1000,>=7,4.0,female div/dep/mar,none,2.0,life insurance,35.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,36.0,delayed previously,new car,2108.0,<100,4<=X<7,4.0,male div/sep,none,2.0,car,32.0,none,own,1.0,unskilled resident,1.0,none,yes,bad
