gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,associate's degree,standard,completed,50,53,54
female,group C,some high school,standard,none,73,81,81
female,group E,some college,free/reduced,none,49,65,65
male,group C,associate's degree,standard,none,37,38,34
female,group B,associate's degree,free/reduced,none,56,60,55
female,group D,high school,standard,none,63,67,65
female,group C,high school,free/reduced,none,68,80,81
female,group D,some college,standard,none,71,81,76
female,group C,bachelor's degree,standard,none,78,91,90
male,group D,some college,free/reduced,completed,90,81,84
female,group A,some college,free/reduced,none,45,52,44
female,group C,associate's degree,standard,none,63,55,63
male,group E,bachelor's degree,standard,none,58,75,73
male,group B,high school,standard,completed,54,74,78
female,group B,high school,standard,none,35,53,46
female,group E,bachelor's degree,standard,none,46,55,54
male,group A,associate's degree,standard,completed,59,60,62
male,group C,some high school,free/reduced,none,83,86,80
female,group B,some high school,free/reduced,none,66,71,67
male,group B,associate's degree,standard,none,48,54,50
female,group D,some college,standard,none,42,36,43
male,group E,some college,free/reduced,completed,57,75,68
male,group D,associate's degree,standard,completed,75,69,72
female,group D,associate's degree,standard,completed,77,82,77
male,group C,some college,standard,none,84,99,95
male,group C,associate's degree,free/reduced,completed,29,25,22
male,group C,bachelor's degree,standard,none,85,80,87
male,group E,some college,free/reduced,none,71,61,59
male,group C,bachelor's degree,standard,none,73,60,56
male,group C,master's degree,free/reduced,completed,58,63,54
male,group D,some college,standard,completed,68,73,65
male,group B,some high school,standard,completed,73,68,71
female,group C,some high school,standard,none,77,78,79
male,group D,some high school,free/reduced,none,47,63,51
female,group C,some high school,free/reduced,none,51,63,64
female,group D,high school,standard,none,71,88,83
female,group E,some high school,free/reduced,none,56,61,56
male,group D,some college,standard,none,69,80,78
male,group B,associate's degree,standard,completed,66,62,58
male,group E,some college,free/reduced,none,67,80,79
female,group A,some college,free/reduced,none,93,81,79
female,group E,some college,standard,completed,88,95,93
male,group C,some high school,standard,completed,84,83,85
female,group B,bachelor's degree,standard,completed,69,81,73
female,group A,some college,standard,none,80,94,92
female,group E,some high school,free/reduced,completed,83,86,85
female,group B,high school,standard,none,78,79,76
female,group C,master's degree,free/reduced,none,88,97,95
female,group C,high school,free/reduced,completed,58,62,63
female,group D,some college,free/reduced,none,59,67,69
male,group B,some high school,standard,completed,76,64,63
male,group B,bachelor's degree,standard,completed,67,64,60
male,group C,bachelor's degree,free/reduced,none,74,80,81
male,group A,some high school,free/reduced,none,54,67,55
female,group C,some high school,free/reduced,completed,29,26,27
male,group C,some college,standard,none,96,98,93
male,group B,high school,free/reduced,none,38,40,43
female,group A,bachelor's degree,free/reduced,none,55,76,74
female,group B,high school,free/reduced,none,15,24,18
male,group B,associate's degree,standard,none,50,41,46
male,group D,bachelor's degree,standard,none,85,81,79
female,group C,associate's degree,free/reduced,completed,75,94,88
female,group C,associate's degree,free/reduced,none,58,58,54
female,group A,high school,standard,completed,84,98,100
male,group C,some college,free/reduced,none,48,40,43
male,group E,high school,standard,none,79,75,71
female,group D,some college,standard,none,75,75,75
male,group D,associate's degree,free/reduced,none,63,71,67
male,group C,associate's degree,standard,none,33,30,33
female,group B,some high school,standard,none,64,74,69
male,group B,some high school,standard,none,46,41,36
female,group D,associate's degree,standard,none,64,82,78
male,group C,some college,standard,none,87,82,74
male,group B,master's degree,standard,completed,76,79,75
male,group B,high school,free/reduced,completed,61,47,55
male,group C,associate's degree,standard,completed,87,95,93
female,group B,some college,standard,completed,45,56,56
female,group E,associate's degree,free/reduced,none,91,97,99
female,group D,bachelor's degree,standard,none,75,74,75
male,group B,high school,standard,none,64,48,48
male,group E,high school,standard,none,71,63,65
male,group B,associate's degree,standard,none,81,67,62
female,group B,bachelor's degree,standard,none,95,99,94
female,group B,some high school,standard,completed,63,68,65
male,group C,associate's degree,standard,none,61,69,67
female,group B,associate's degree,standard,completed,80,78,75
male,group C,high school,free/reduced,completed,51,70,77
female,group E,some high school,standard,none,54,58,56
female,group D,bachelor's degree,free/reduced,completed,43,57,53
female,group A,bachelor's degree,free/reduced,completed,72,82,79
female,group A,some college,standard,none,67,68,75
female,group E,some college,free/reduced,completed,64,86,81
female,group A,associate's degree,standard,none,64,81,77
female,group E,some high school,standard,completed,72,93,85
male,group D,some high school,free/reduced,none,56,54,56
female,group D,some college,standard,none,96,97,93
female,group D,associate's degree,standard,none,79,79,85
female,group C,bachelor's degree,standard,completed,53,57,50
male,group C,associate's degree,standard,none,61,61,58
male,group C,high school,free/reduced,none,55,60,59
male,group B,some high school,standard,none,80,86,85
female,group C,associate's degree,free/reduced,none,80,91,87
female,group E,some college,free/reduced,none,36,41,44
male,group B,some college,free/reduced,none,49,44,41
male,group B,associate's degree,free/reduced,none,77,77,79
female,group D,associate's degree,standard,none,59,66,57
female,group D,bachelor's degree,standard,none,78,92,86
female,group C,high school,standard,completed,71,69,70
female,group D,bachelor's degree,standard,none,67,82,79
female,group A,high school,free/reduced,none,81,81,78
female,group E,some high school,free/reduced,none,56,63,58
female,group B,bachelor's degree,standard,none,56,64,55
female,group C,associate's degree,free/reduced,completed,93,100,97
male,group C,associate's degree,standard,none,62,71,73
female,group B,some college,standard,none,65,84,75
male,group B,associate's degree,free/reduced,completed,35,41,38
female,group B,some high school,standard,none,81,82,79
