gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,No,2,No,No,No,No,Yes,No,Yes,Yes,'No internet service',Month-to-month,Yes,'Electronic check',32.29,91.96104266839346,No
Female,0,Yes,Yes,28,Yes,No,'Fiber optic',No,No,Yes,No,Yes,No,'Two year',Yes,'Credit card (automatic)',110.9,3731.9863728025375,Yes
Female,0,Yes,Yes,64,Yes,No,'Fiber optic',No,'No internet service',Yes,No,Yes,No,'One year',No,'Bank transfer (automatic)',36.4,4983.846330778022,No
Female,0,No,No,0,Yes,Yes,'Fiber optic',Yes,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',82.51,616.6203547995495,Yes
Male,0,No,No,30,No,No,No,'No internet service',Yes,No,'No internet service',Yes,'No internet service','Two year',No,'Mailed check',18.7,92.61647890370566,No
Male,1,No,No,42,Yes,No,'Fiber optic',No,No,Yes,No,No,Yes,Month-to-month,Yes,'Electronic check',118.2,2146.9470899842195,No
Male,0,Yes,No,69,Yes,No,'Fiber optic','No internet service','No internet service',No,'No internet service',Yes,No,Month-to-month,No,'Mailed check',49.67,4999.856481445217,No
Male,1,Yes,No,58,Yes,Yes,No,'No internet service','No internet service',Yes,'No internet service','No internet service',No,'One year',No,'Credit card (automatic)',19.2,1023.5180940745339,No
Male,0,Yes,Yes,26,Yes,Yes,No,'No internet service','No internet service','No internet service',Yes,'No internet service','No internet service','Two year',No,'Credit card (automatic)',20.88,812.5516425224449,No
Male,0,No,No,26,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',18.25,19.38948344881009,No
Male,1,No,Yes,20,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Mailed check',18.28,21.368124371745292,No
Male,0,Yes,No,35,Yes,Yes,DSL,Yes,'No internet service',No,No,Yes,Yes,'One year',Yes,'Electronic check',78.2,1107.8902293876713,No
Male,0,Yes,No,16,Yes,Yes,'Fiber optic','No internet service',No,Yes,No,Yes,Yes,Month-to-month,Yes,'Mailed check',82.95,3205.821025602457,No
Female,0,Yes,Yes,49,Yes,Yes,'Fiber optic',No,No,No,'No internet service',Yes,No,'One year',No,'Electronic check',54.27,3782.253993074169,Yes
Female,0,Yes,No,71,Yes,Yes,'Fiber optic',Yes,No,Yes,No,Yes,Yes,'One year',Yes,'Mailed check',104.14,6122.287947852462,No
Male,0,Yes,No,43,Yes,No,No,No,Yes,No,No,'No internet service','No internet service',Month-to-month,Yes,'Electronic check',32.22,1125.8766517569147,No
Female,1,No,No,34,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,'Electronic check',63.07,2862.12279135021,No
Male,0,No,Yes,66,Yes,Yes,DSL,No,Yes,No,Yes,Yes,'No internet service',Month-to-month,Yes,'Mailed check',22.55,847.732220351613,No
Female,0,Yes,No,29,Yes,Yes,DSL,Yes,No,Yes,No,No,'No internet service',Month-to-month,Yes,'Electronic check',77.63,728.9117283135682,No
Female,0,Yes,No,59,Yes,Yes,'Fiber optic',Yes,No,No,No,No,Yes,'Two year',Yes,'Electronic check',111.1,6126.221418681491,No
Male,0,No,No,0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,'Bank transfer (automatic)',66.51,18.848421426160684,Yes
Female,1,Yes,Yes,7,Yes,No,No,Yes,No,No,Yes,'No internet service',Yes,'One year',No,'Credit card (automatic)',110.95,5783.5612261394745,No
Female,0,No,No,67,Yes,Yes,'Fiber optic',Yes,No,Yes,No,No,Yes,'One year',Yes,'Mailed check',117.98,7623.802247827792,Yes
Female,1,Yes,Yes,53,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,'Credit card (automatic)',118.59,8488.70704897863,Yes
Female,1,Yes,No,26,Yes,No,'Fiber optic',Yes,Yes,No,No,No,Yes,'One year',Yes,'Electronic check',115.39,5509.5224642422745,No
Male,0,No,No,25,Yes,No,No,No,'No internet service',No,Yes,'No internet service',No,'Two year',No,'Bank transfer (automatic)',37.5,3653.8653642230697,No
Female,0,No,No,1,Yes,No,'Fiber optic',No,No,No,No,Yes,Yes,'One year',Yes,'Electronic check',87.84,694.8744307423364,No
Female,0,Yes,Yes,64,Yes,Yes,No,'No internet service','No internet service',No,'No internet service','No internet service','No internet service',Month-to-month,No,'Electronic check',30.67,1586.6951787659204,Yes
Female,0,No,No,0,Yes,No,'Fiber optic','No internet service','No internet service','No internet service',Yes,'No internet service',No,'Two year',No,'Mailed check',18.51,19.183226970056207,No
Male,0,No,No,10,Yes,'No phone service','Fiber optic',No,Yes,No,Yes,'No internet service',Yes,'Two year',Yes,'Bank transfer (automatic)',59.02,4760.830950153849,No
Female,0,Yes,No,5,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,'Electronic check',111.79,1474.7710573540649,Yes
Female,0,Yes,No,68,Yes,Yes,'Fiber optic',No,'No internet service',Yes,Yes,'No internet service',Yes,'One year',No,'Electronic check',92.51,7823.492006801952,No
Female,0,No,No,47,Yes,No,'Fiber optic',No,No,No,No,'No internet service',No,Month-to-month,No,'Electronic check',58.19,1183.7878179461075,No
Male,1,Yes,No,61,Yes,'No phone service','Fiber optic',Yes,No,Yes,No,No,Yes,Month-to-month,Yes,'Credit card (automatic)',112.55,5573.6559163437305,No
Male,0,Yes,No,0,Yes,Yes,'Fiber optic',No,Yes,Yes,No,No,Yes,Month-to-month,No,'Bank transfer (automatic)',76.37,1577.2639258274403,No
Female,0,Yes,Yes,67,Yes,Yes,'Fiber optic',No,Yes,'No internet service',Yes,'No internet service',No,Month-to-month,Yes,'Mailed check',72.37,3466.159844365867,No
Male,0,No,No,4,Yes,Yes,DSL,No,Yes,No,No,No,No,'One year',No,'Credit card (automatic)',43.15,2053.455117193662,No
Male,1,No,No,7,Yes,'No phone service','Fiber optic',Yes,No,Yes,No,No,Yes,'Two year',No,'Credit card (automatic)',115.61,5447.134295374507,No
Female,0,Yes,Yes,68,Yes,No,DSL,Yes,No,Yes,No,No,Yes,'Two year',Yes,'Electronic check',118.45,7888.26576929876,No
Female,0,No,No,1,No,'No phone service','Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Credit card (automatic)',42.49,79.14872449913098,Yes
Female,0,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,'One year',Yes,'Electronic check',102.13,1576.9277223959475,No
Male,0,Yes,Yes,1,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',34.38,167.7540197209965,Yes
Female,0,Yes,Yes,22,Yes,No,DSL,Yes,'No internet service',No,Yes,'No internet service',Yes,'Two year',Yes,'Mailed check',48.44,2714.188450462895,No
Female,0,No,No,3,Yes,Yes,DSL,No,No,'No internet service',Yes,Yes,'No internet service',Month-to-month,No,'Mailed check',27.96,86.67153198983291,No
Male,0,Yes,Yes,33,Yes,Yes,DSL,No,'No internet service','No internet service',Yes,'No internet service','No internet service','Two year',No,'Mailed check',26.64,957.6815039264568,No
Male,0,No,No,68,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service',No,Month-to-month,No,'Electronic check',30.04,428.2048061604828,No
Male,0,No,No,19,No,No,No,'No internet service','No internet service','No internet service',Yes,'No internet service','No internet service',Month-to-month,Yes,'Bank transfer (automatic)',18.29,20.55520700561033,No
Male,0,No,No,32,Yes,No,'Fiber optic','No internet service','No internet service',No,'No internet service',Yes,No,Month-to-month,Yes,'Credit card (automatic)',31.34,388.22685354035735,No
Male,0,No,No,1,Yes,No,'Fiber optic',No,No,'No internet service',No,No,No,Month-to-month,Yes,'Credit card (automatic)',103.56,69.17392160517296,No
Male,0,Yes,No,3,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,'Electronic check',99.7,1080.2634042926304,No
Female,0,Yes,No,48,Yes,Yes,'Fiber optic',Yes,No,Yes,Yes,No,No,'One year',Yes,'Electronic check',76.05,1958.7378567056328,Yes
Female,0,No,No,11,Yes,No,'Fiber optic','No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Electronic check',21.45,259.42638752570383,No
Female,0,No,No,24,Yes,'No phone service',No,No,No,No,No,'No internet service',No,'One year',No,'Bank transfer (automatic)',25.97,1825.5224711290934,No
Female,0,No,No,0,Yes,Yes,'Fiber optic','No internet service',Yes,'No internet service','No internet service',Yes,'No internet service',Month-to-month,No,'Bank transfer (automatic)',18.26,18.804042614467438,No
Male,0,No,Yes,61,Yes,Yes,'Fiber optic','No internet service','No internet service',No,'No internet service','No internet service',No,'One year',No,'Credit card (automatic)',44.63,4130.534378756122,Yes
Male,0,No,Yes,48,No,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,'Mailed check',114.9,3862.4436607775333,No
Male,1,No,No,20,Yes,Yes,'Fiber optic','No internet service',Yes,Yes,Yes,Yes,No,'One year',No,'Credit card (automatic)',47.09,902.471045825061,Yes
Female,0,Yes,Yes,60,Yes,Yes,'Fiber optic',No,Yes,'No internet service',No,'No internet service',No,Month-to-month,Yes,'Credit card (automatic)',65.29,2636.1135025581093,No
Female,0,Yes,No,2,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',103.72,514.9638521525543,No
Male,0,No,No,28,Yes,'No phone service',DSL,No,No,Yes,No,No,Yes,'Two year',No,'Credit card (automatic)',114.4,1743.1315751422912,No
Male,1,No,No,71,Yes,'No phone service','Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,No,'Electronic check',47.96,1905.3663620774214,Yes
Male,1,No,No,2,Yes,No,No,No,No,'No internet service',No,Yes,No,Month-to-month,Yes,'Mailed check',72.59,42.54774952166635,No
Female,0,No,No,66,Yes,'No phone service',DSL,Yes,'No internet service',Yes,'No internet service',Yes,No,'One year',No,'Electronic check',23.92,3144.7099766563697,No
Female,0,No,Yes,66,Yes,Yes,'Fiber optic',No,'No internet service','No internet service',Yes,Yes,'No internet service','One year',No,'Electronic check',40.17,2407.764731391244,No
Female,1,Yes,No,71,Yes,Yes,DSL,Yes,No,Yes,'No internet service',Yes,Yes,'Two year',Yes,'Electronic check',91.14,6509.181980399862,No
Female,0,No,No,36,Yes,Yes,'Fiber optic',No,Yes,No,Yes,Yes,'No internet service','Two year',Yes,'Electronic check',60.51,936.9267123744318,No
Male,0,Yes,Yes,21,Yes,No,'Fiber optic','No internet service',Yes,No,Yes,'No internet service','No internet service',Month-to-month,Yes,'Electronic check',20.83,28.539782937229667,No
Male,0,No,No,6,Yes,Yes,DSL,No,No,No,No,No,No,'Two year',No,'Bank transfer (automatic)',40.39,224.59270701094533,No
Female,0,No,Yes,11,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',107.33,521.105269429416,No
Female,1,No,No,72,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,'Two year',Yes,'Electronic check',113.14,6524.281419858409,Yes
Female,0,No,No,2,No,Yes,'Fiber optic',Yes,No,No,No,Yes,No,'Two year',No,'Credit card (automatic)',71.29,3442.816451671195,No
Male,0,No,No,0,Yes,Yes,DSL,Yes,No,Yes,No,No,'No internet service',Month-to-month,No,'Credit card (automatic)',85.07,1016.7944065072926,Yes
Male,1,Yes,Yes,36,Yes,No,No,No,Yes,No,'No internet service',Yes,'No internet service',Month-to-month,No,'Mailed check',23.03,410.49887523914566,No
Male,1,No,No,10,Yes,No,'Fiber optic',No,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',73.13,162.71422294814846,Yes
Female,1,Yes,No,8,Yes,Yes,No,'No internet service',Yes,No,'No internet service',Yes,Yes,Month-to-month,No,'Credit card (automatic)',87.64,1280.2238845737174,Yes
Male,0,No,No,66,Yes,Yes,'Fiber optic',Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',85.91,3384.7750486533346,No
Male,0,No,No,67,Yes,Yes,'Fiber optic',No,'No internet service',No,Yes,Yes,No,'Two year',Yes,'Electronic check',68.11,2648.8455758514333,No
Male,0,No,No,8,Yes,No,'Fiber optic',No,No,'No internet service',No,No,'No internet service',Month-to-month,Yes,'Electronic check',96.46,823.9531517576195,Yes
Male,0,No,Yes,29,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,'One year',Yes,'Credit card (automatic)',111.25,6420.310625281478,No
Male,0,No,No,42,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',112.25,5402.68203273686,No
Female,0,Yes,No,70,No,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',109.99,6742.131274055408,No
Male,0,No,No,38,Yes,No,'Fiber optic','No internet service',No,No,No,'No internet service',No,'Two year',No,'Electronic check',67.99,2164.3063415513293,Yes
Male,0,No,No,30,Yes,Yes,DSL,No,Yes,Yes,No,'No internet service',Yes,'One year',No,'Electronic check',54.1,2407.258535193072,No
Female,0,Yes,No,0,No,'No phone service',DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',47.8,24.400921618452294,Yes
Female,1,No,No,49,No,Yes,'Fiber optic',No,No,No,No,Yes,Yes,'Two year',Yes,'Credit card (automatic)',87.2,3524.6327602911156,No
Male,0,No,Yes,43,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,'One year',Yes,'Mailed check',102.4,5119.928768598397,No
Male,0,Yes,Yes,71,Yes,No,DSL,No,'No internet service',Yes,'No internet service',Yes,No,'One year',Yes,'Bank transfer (automatic)',55.51,6405.049682786301,No
Male,0,Yes,No,35,Yes,'No phone service',DSL,No,No,Yes,No,'No internet service',Yes,Month-to-month,Yes,'Credit card (automatic)',112.21,5845.483598992621,No
Male,0,Yes,No,38,Yes,No,'Fiber optic',No,No,Yes,No,No,Yes,Month-to-month,Yes,'Mailed check',106.38,628.0607179223026,No
Male,0,No,No,21,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,'Two year',Yes,'Credit card (automatic)',118.07,5270.655580061335,No
Female,1,Yes,No,64,No,Yes,'Fiber optic',No,Yes,No,'No internet service',Yes,No,'One year',No,'Bank transfer (automatic)',45.71,2131.1989752122436,No
Male,0,No,Yes,49,Yes,Yes,'Fiber optic',No,'No internet service',No,No,Yes,'No internet service','One year',Yes,'Electronic check',32.22,2356.5413228103516,No
Female,0,Yes,Yes,22,Yes,No,'Fiber optic',No,No,No,Yes,'No internet service',Yes,'One year',Yes,'Electronic check',108.67,4843.493345359303,No
Male,1,No,No,24,Yes,Yes,No,'No internet service','No internet service',No,No,'No internet service',No,'Two year',Yes,'Electronic check',48.31,355.3158226521928,Yes
Female,0,Yes,Yes,0,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,'Bank transfer (automatic)',84.43,439.92550358962376,Yes
Male,0,No,No,61,Yes,Yes,DSL,No,Yes,Yes,'No internet service',Yes,Yes,'One year',No,'Electronic check',97.32,4861.478561142327,Yes
Male,0,Yes,No,57,Yes,No,'Fiber optic',No,Yes,Yes,Yes,No,Yes,Month-to-month,No,'Mailed check',85.3,5156.798183202526,No
Male,0,No,No,56,No,'No phone service',DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,'Bank transfer (automatic)',61.7,4611.304859510278,No
Female,0,No,No,52,Yes,Yes,'Fiber optic',No,No,Yes,Yes,No,No,'One year',Yes,'Credit card (automatic)',54.7,4685.665982665731,No
Female,0,Yes,Yes,23,Yes,Yes,'Fiber optic',No,No,'No internet service',No,Yes,No,'Two year',Yes,'Electronic check',75.43,3112.654128001026,No
Female,0,Yes,No,1,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,'Credit card (automatic)',82.48,809.8146158661976,No
Male,1,No,Yes,63,Yes,No,No,'No internet service',Yes,'No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Mailed check',23.17,1004.0568490152211,No
Male,0,Yes,No,63,Yes,'No phone service',DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',113.39,6376.9083262904405,No
Female,0,No,No,1,Yes,Yes,'Fiber optic','No internet service',Yes,No,No,No,'No internet service',Month-to-month,Yes,'Bank transfer (automatic)',31.78,28.844840410803183,No
Male,0,No,No,69,Yes,No,'Fiber optic',No,Yes,No,No,Yes,No,Month-to-month,Yes,'Credit card (automatic)',52.16,2924.8628295976373,No
Male,0,Yes,No,0,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,'Mailed check',106.23,248.2720651182708,No
Female,0,No,No,59,Yes,No,No,'No internet service',Yes,No,'No internet service',Yes,'No internet service','One year',No,'Bank transfer (automatic)',19.95,1136.6988879361136,No
Female,1,Yes,No,68,No,'No phone service',DSL,No,No,Yes,No,No,Yes,'One year',No,'Bank transfer (automatic)',72.23,4079.0732396472617,No
Male,0,No,No,1,Yes,No,No,No,No,No,Yes,No,'No internet service','Two year',Yes,'Electronic check',86.38,549.5153059120739,No
Male,1,Yes,Yes,70,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,'No internet service',No,'One year',Yes,'Credit card (automatic)',88.51,7539.783390022105,No
Female,0,Yes,No,0,Yes,Yes,'Fiber optic','No internet service',No,Yes,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',69.16,44.40497591358667,No
Female,0,Yes,No,3,Yes,No,'Fiber optic',No,Yes,'No internet service',No,'No internet service','No internet service','Two year',No,'Mailed check',19.17,52.14497115064226,No
Female,0,No,No,9,Yes,'No phone service',DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',51.01,643.786732852702,No
Male,0,Yes,No,39,Yes,Yes,'Fiber optic',No,Yes,No,Yes,No,'No internet service',Month-to-month,No,'Mailed check',23.45,544.0588099625741,No
Male,0,Yes,No,62,Yes,Yes,DSL,Yes,No,Yes,No,'No internet service',Yes,'Two year',Yes,'Credit card (automatic)',117.9,7849.452275183935,Yes
Female,0,Yes,No,3,Yes,No,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',117.62,5727.995257928777,No
Male,0,No,No,0,Yes,Yes,DSL,No,Yes,Yes,No,'No internet service',No,Month-to-month,Yes,'Electronic check',43.57,163.56107318408687,No
Female,0,Yes,No,12,Yes,No,No,'No internet service','No internet service','No internet service',Yes,'No internet service','No internet service','One year',Yes,'Mailed check',37.03,1139.8355369282633,No
Male,0,Yes,Yes,47,Yes,Yes,'Fiber optic',No,'No internet service',No,'No internet service',Yes,Yes,'One year',No,'Electronic check',48.07,4961.346617323425,No
Female,0,No,No,31,Yes,'No phone service','Fiber optic',Yes,Yes,No,Yes,No,No,Month-to-month,No,'Electronic check',61.36,797.0953347991577,Yes
Male,0,No,No,18,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,'Credit card (automatic)',93.3,240.7222447574128,Yes
Female,0,Yes,No,8,No,Yes,'Fiber optic',No,Yes,No,'No internet service',Yes,No,'One year',No,'Mailed check',20.29,246.1128370139437,No
Female,0,Yes,No,71,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,'Credit card (automatic)',117.72,8173.422021772897,No
Male,1,Yes,No,71,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,'No internet service',Yes,'One year',Yes,'Electronic check',105.92,7045.223597586485,No
Male,0,No,No,14,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,'Two year',No,'Electronic check',78.62,1631.4707261202705,No
Male,0,No,Yes,25,Yes,No,'Fiber optic',No,No,Yes,No,Yes,No,'One year',No,'Credit card (automatic)',41.03,1669.9508505316107,No
Male,0,No,No,40,Yes,No,'Fiber optic',No,No,No,'No internet service',No,No,Month-to-month,No,'Electronic check',44.6,543.9187935096782,No
Male,1,No,No,42,Yes,No,'Fiber optic',No,No,No,'No internet service',No,Yes,'One year',Yes,'Bank transfer (automatic)',83.72,2436.2928827023043,No
Female,0,Yes,Yes,19,Yes,'No phone service',No,No,'No internet service',No,Yes,'No internet service','No internet service',Month-to-month,No,'Electronic check',33.15,235.33791037675957,Yes
Female,1,Yes,Yes,8,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,'Mailed check',109.57,3708.9140880193386,No
Male,0,No,No,28,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,'Electronic check',113.72,3699.0495604619955,No
Female,1,No,No,63,Yes,Yes,'Fiber optic','No internet service',Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Electronic check',43.82,664.3903974547281,Yes
Female,0,No,No,6,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,'Credit card (automatic)',84.82,1979.5968684309478,Yes
Male,0,Yes,No,60,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',103.51,6968.940030966423,No
Male,1,No,Yes,40,Yes,Yes,'Fiber optic',Yes,'No internet service',No,Yes,Yes,No,'Two year',Yes,'Electronic check',58.28,4259.457430895614,No
Male,1,No,No,11,Yes,No,'Fiber optic','No internet service',Yes,No,Yes,Yes,No,Month-to-month,No,'Electronic check',40.13,340.50079324113784,No
Male,0,No,No,6,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,'Mailed check',22.57,62.31323644455155,Yes
Female,0,Yes,No,66,No,Yes,'Fiber optic',Yes,Yes,Yes,'No internet service',No,No,Month-to-month,Yes,'Credit card (automatic)',104.98,5283.393477339058,No
Male,0,No,No,63,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',82.75,6203.169811823197,No
Male,0,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,'Electronic check',88.78,361.4547324579009,Yes
Male,1,Yes,No,70,Yes,Yes,'Fiber optic',No,No,No,Yes,No,No,Month-to-month,No,'Mailed check',37.32,3685.4861344824976,No
Female,0,Yes,Yes,61,Yes,No,'Fiber optic',No,Yes,'No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',19.35,1211.7875990410748,No
Female,0,Yes,Yes,5,Yes,Yes,'Fiber optic',Yes,'No internet service',No,No,Yes,No,'Two year',Yes,'Mailed check',70.54,1612.7940152076408,No
Male,0,Yes,No,24,Yes,No,No,No,No,No,No,'No internet service',Yes,Month-to-month,Yes,'Electronic check',75.33,1119.3184315425233,No
Male,0,No,Yes,42,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,'One year',Yes,'Electronic check',106.07,3363.978570069034,No
Male,0,No,No,3,No,No,'Fiber optic','No internet service',Yes,'No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Mailed check',18.75,19.14976508220843,Yes
Male,0,Yes,No,4,No,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,'Electronic check',31.86,405.9846913742522,No
Male,0,Yes,Yes,66,Yes,No,'Fiber optic',No,Yes,Yes,'No internet service',Yes,No,'One year',No,'Electronic check',52.98,5077.49537531487,No
Male,0,Yes,No,15,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',56.47,265.14358366904844,Yes
Female,0,No,Yes,2,Yes,Yes,'Fiber optic','No internet service',No,'No internet service',No,No,'No internet service',Month-to-month,No,'Bank transfer (automatic)',18.84,20.06932258163369,No
