age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
47,self-employed,married,unknown,no,-3020,no,no,unknown,3,may,243,1,1,1,unknown,yes
41,management,married,secondary,yes,-3058,no,no,telephone,10,jun,400,1,3,1,unknown,yes
63,admin.,divorced,secondary,no,-3054,no,no,telephone,10,jul,83,1,2,1,failure,no
28,technician,single,primary,no,-3058,no,no,unknown,17,jun,596,1,7,1,unknown,yes
44,management,married,secondary,no,-3058,no,no,unknown,14,aug,226,1,37,6,success,no
33,technician,divorced,secondary,no,-3058,no,no,cellular,11,may,309,1,2,1,success,yes
22,services,single,secondary,no,3687,no,no,cellular,12,apr,342,1,129,14,failure,yes
30,admin.,married,unknown,no,-3058,no,no,cellular,29,jan,232,1,-1,1,other,yes
59,admin.,married,tertiary,no,10223,no,yes,cellular,3,oct,754,1,59,1,unknown,yes
43,blue-collar,married,secondary,no,713,yes,no,unknown,5,jan,100,1,176,12,success,yes
27,management,single,tertiary,no,-3058,no,yes,cellular,29,aug,380,2,2,1,failure,yes
36,services,single,tertiary,no,7479,no,no,telephone,3,aug,147,1,8,1,unknown,no
55,blue-collar,married,primary,no,-3058,no,no,cellular,18,aug,119,3,-1,1,unknown,no
29,management,single,unknown,no,-1125,yes,no,cellular,26,nov,526,1,-1,1,unknown,no
24,management,single,secondary,no,-3058,no,no,cellular,7,sep,484,1,21,1,unknown,no
39,blue-collar,married,tertiary,no,-3042,yes,no,cellular,26,aug,790,1,168,4,unknown,no
43,housemaid,single,secondary,no,-3058,no,no,cellular,9,dec,409,1,-1,1,unknown,yes
31,student,married,tertiary,no,-630,no,no,cellular,21,jul,156,1,5,2,unknown,no
36,technician,married,secondary,no,-3043,yes,no,cellular,20,jul,158,1,5,1,unknown,yes
69,blue-collar,divorced,primary,no,-2848,no,no,telephone,23,aug,156,1,-1,1,success,yes
34,technician,married,secondary,no,-3027,yes,no,cellular,26,mar,489,1,-1,1,unknown,no
52,retired,divorced,secondary,no,-3058,yes,yes,cellular,7,may,492,1,22,1,unknown,yes
49,unemployed,married,tertiary,no,-3051,no,no,cellular,21,nov,16,1,8,1,unknown,no
51,entrepreneur,married,tertiary,no,-3058,no,no,cellular,5,jan,427,1,1,1,unknown,yes
56,retired,married,secondary,no,-3048,yes,no,cellular,30,may,69,1,66,2,unknown,no
27,unemployed,married,tertiary,no,29215,yes,no,cellular,4,may,88,1,7,1,unknown,no
45,student,divorced,tertiary,no,-1584,yes,no,cellular,27,aug,186,1,98,4,unknown,no
89,unknown,divorced,secondary,no,-3058,yes,yes,cellular,5,apr,1176,1,23,2,failure,yes
43,blue-collar,married,secondary,no,-3056,yes,yes,cellular,19,feb,1089,1,47,2,unknown,yes
60,retired,divorced,tertiary,no,-1009,no,no,cellular,3,aug,601,1,-1,1,unknown,yes
56,management,married,tertiary,no,-152,no,no,cellular,8,may,719,2,95,5,success,yes
51,blue-collar,married,tertiary,no,-3051,no,yes,cellular,4,jun,1400,1,1,1,unknown,yes
47,blue-collar,single,primary,no,-2602,yes,no,telephone,9,jun,125,1,-1,1,unknown,no
29,management,married,tertiary,no,-3058,yes,no,cellular,15,mar,274,1,69,4,unknown,no
36,admin.,married,tertiary,no,-3058,no,no,cellular,10,jun,271,1,44,2,unknown,no
42,blue-collar,single,secondary,no,-3058,no,no,cellular,27,sep,89,3,0,1,success,no
58,unknown,divorced,secondary,no,-3058,yes,no,cellular,7,sep,136,1,89,2,unknown,yes
26,management,single,secondary,no,-3053,yes,no,cellular,28,may,400,1,43,2,other,yes
50,blue-collar,married,secondary,no,-3058,yes,no,cellular,11,jul,220,1,10,1,unknown,yes
37,services,married,tertiary,no,-3058,no,no,cellular,17,nov,93,2,3,1,unknown,no
35,blue-collar,married,secondary,no,-2939,yes,no,unknown,18,may,215,1,82,2,unknown,yes
28,management,married,tertiary,no,5561,yes,no,cellular,11,jul,49,1,89,4,unknown,no
29,management,married,secondary,no,-3058,yes,no,cellular,13,jul,28,1,-1,1,unknown,no
50,technician,married,primary,no,-3057,no,no,unknown,3,apr,222,1,-1,1,failure,yes
46,services,married,tertiary,no,3845,yes,no,cellular,6,aug,4,2,6,1,success,no
38,services,married,secondary,no,-3058,no,no,cellular,13,feb,504,1,-1,1,unknown,yes
31,technician,single,secondary,no,-3004,yes,no,unknown,28,nov,343,1,-1,1,unknown,no
41,blue-collar,single,secondary,no,7665,yes,no,unknown,30,may,666,1,159,5,unknown,no
38,technician,married,tertiary,no,-2249,yes,no,unknown,26,jun,487,1,-1,1,success,no
30,management,married,tertiary,no,-3058,no,no,cellular,4,feb,432,1,15,1,success,no
50,entrepreneur,single,secondary,no,-3058,no,yes,cellular,5,may,558,1,189,10,unknown,yes
58,management,married,tertiary,no,-1467,yes,no,telephone,11,apr,148,1,1,1,unknown,no
51,technician,married,tertiary,no,21001,yes,no,cellular,28,feb,633,1,2,1,unknown,no
40,services,married,tertiary,no,-3058,no,no,unknown,11,jul,851,1,0,1,unknown,yes
25,student,single,secondary,no,-3058,no,no,cellular,4,jun,804,1,0,1,unknown,yes
29,housemaid,married,primary,no,-3058,yes,no,cellular,4,jan,430,1,11,1,unknown,yes
32,blue-collar,married,unknown,no,-3058,yes,no,unknown,8,apr,160,1,176,12,unknown,no
44,services,married,secondary,no,70771,yes,yes,cellular,8,aug,103,1,7,2,unknown,no
