checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,32,existing paid,used car,3054,100<=X<500,>=7,4,male single,none,4,life insurance,39,none,own,2,unskilled resident,1,none,yes,bad
0<=X<200,13,critical/other existing credit,radio/tv,6364,<100,4<=X<7,4,male single,none,2,real estate,43,bank,own,2,unemp/unskilled non res,1,yes,yes,good
0<=X<200,12,critical/other existing credit,radio/tv,1964,100<=X<500,1<=X<4,2,male single,none,1,car,51,none,own,1,skilled,1,none,yes,good
0<=X<200,26,existing paid,business,7350,<100,>=7,4,male single,none,4,car,62,none,for free,2,unskilled resident,1,yes,yes,good
0<=X<200,11,existing paid,furniture/equipment,1284,no known savings,4<=X<7,1,female div/dep/mar,none,1,real estate,45,none,own,1,unskilled resident,1,none,yes,bad
<0,48,existing paid,radio/tv,517,<100,>=7,4,male single,guarantor,2,real estate,31,bank,own,1,skilled,1,none,yes,good
no checking,11,existing paid,used car,3226,500<=X<1000,>=7,1,female div/dep/mar,none,2,no known property,32,none,rent,2,skilled,1,none,yes,good
0<=X<200,14,no credits/all paid,used car,607,<100,1<=X<4,1,male single,none,2,real estate,36,bank,own,2,unskilled resident,1,none,yes,bad
0<=X<200,11,existing paid,education,3844,<100,4<=X<7,2,male single,guarantor,2,life insurance,55,bank,own,2,unskilled resident,1,none,yes,good
<0,8,existing paid,radio/tv,1143,<100,>=7,4,female div/dep/mar,none,2,no known property,38,none,own,1,skilled,1,yes,yes,good
0<=X<200,10,existing paid,radio/tv,1481,no known savings,unemployed,4,female div/dep/mar,guarantor,3,real estate,31,none,own,2,skilled,1,none,yes,good
0<=X<200,41,existing paid,repairs,5208,no known savings,>=7,1,male mar/wid,none,4,car,27,bank,for free,2,high qualif/self emp/mgmt,1,none,yes,good
>=200,39,existing paid,used car,5291,<100,<1,4,male single,none,4,life insurance,28,none,for free,2,skilled,1,none,yes,good
no checking,25,existing paid,radio/tv,6153,<100,4<=X<7,1,male single,none,3,no known property,29,none,for free,1,skilled,1,none,yes,good
no checking,25,existing paid,used car,4607,<100,1<=X<4,2,male single,none,4,real estate,26,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad
<0,18,existing paid,radio/tv,4445,<100,<1,4,male single,none,4,no known property,72,none,own,1,skilled,1,yes,yes,good
no checking,8,critical/other existing credit,new car,393,100<=X<500,<1,2,male single,none,3,car,43,none,own,1,skilled,1,yes,yes,good
no checking,10,delayed previously,new car,7749,<100,<1,2,male single,none,4,car,37,none,own,2,skilled,1,none,yes,good
no checking,25,existing paid,new car,5521,no known savings,1<=X<4,2,male single,none,2,no known property,21,none,own,1,unskilled resident,1,yes,yes,good
no checking,21,critical/other existing credit,radio/tv,10817,500<=X<1000,4<=X<7,3,female div/dep/mar,none,2,life insurance,22,none,own,2,skilled,1,none,yes,good
no checking,38,existing paid,radio/tv,1235,100<=X<500,<1,4,male mar/wid,guarantor,2,no known property,20,none,for free,1,skilled,1,none,yes,good
0<=X<200,19,existing paid,radio/tv,5630,>=1000,>=7,2,female div/dep/mar,none,4,no known property,33,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
<0,6,existing paid,furniture/equipment,256,no known savings,<1,4,male single,none,4,real estate,71,bank,own,1,unskilled resident,1,none,yes,good
0<=X<200,30,existing paid,new car,4826,100<=X<500,<1,4,male single,guarantor,4,real estate,29,none,own,1,unskilled resident,1,none,yes,good
no checking,8,critical/other existing credit,furniture/equipment,354,<100,1<=X<4,4,male single,none,2,life insurance,57,none,own,1,skilled,1,none,yes,good
no checking,37,existing paid,radio/tv,4998,>=1000,>=7,1,male single,none,1,life insurance,37,none,rent,1,skilled,1,yes,yes,good
no checking,19,critical/other existing credit,new car,1981,<100,>=7,4,male div/sep,none,4,life insurance,48,none,rent,1,skilled,1,none,yes,good
<0,11,critical/other existing credit,new car,4536,<100,>=7,2,male single,none,4,car,49,none,own,2,unskilled resident,1,none,yes,good
no checking,19,existing paid,radio/tv,2858,no known savings,1<=X<4,4,female div/dep/mar,none,4,real estate,28,bank,own,1,skilled,1,none,yes,good
