gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,high school,standard,none,55,69,73
male,group C,high school,standard,none,63,72,62
male,group D,some college,standard,none,56,62,66
female,group D,associate's degree,standard,none,71,86,78
male,group C,high school,free/reduced,none,35,62,34
male,group E,some college,standard,none,69,65,70
male,group E,associate's degree,free/reduced,completed,52,85,64
female,group C,associate's degree,standard,completed,91,94,95
male,group D,some college,standard,none,68,75,71
female,group C,associate's degree,standard,completed,81,68,79
female,group C,some college,standard,completed,80,80,83
female,group C,associate's degree,free/reduced,completed,76,65,86
female,group C,associate's degree,standard,none,77,74,72
female,group C,associate's degree,standard,none,63,60,66
male,group C,associate's degree,standard,none,74,84,77
female,group C,some college,standard,completed,84,81,74
male,group C,some college,standard,none,58,45,65
female,group C,high school,standard,none,70,57,65
female,group C,high school,standard,none,57,58,69
female,group C,high school,standard,none,53,64,64
female,group C,some college,standard,none,67,76,79
female,group C,high school,standard,none,60,70,69
female,group D,associate's degree,standard,none,77,65,89
female,group D,some college,standard,none,71,79,68
male,group C,some college,standard,none,73,76,87
female,group E,associate's degree,standard,completed,88,94,98
female,group C,high school,standard,none,60,57,44
female,group C,high school,standard,none,62,52,74
female,group D,some college,standard,completed,90,96,73
male,group D,some college,standard,none,63,67,71
male,group C,some college,standard,none,65,61,62
male,group D,some college,standard,none,74,71,80
female,group D,associate's degree,standard,completed,81,90,85
female,group C,some college,standard,none,78,80,76
male,group D,some college,standard,none,64,69,70
female,group C,associate's degree,standard,none,83,70,78
female,group C,high school,standard,none,79,71,76
female,group C,high school,standard,none,70,66,69
female,group C,associate's degree,standard,none,79,74,76
male,group D,associate's degree,standard,none,57,68,55
female,group C,associate's degree,standard,none,78,74,85
male,group C,some high school,free/reduced,none,33,45,42
male,group C,high school,free/reduced,none,51,55,49
female,group C,associate's degree,standard,completed,92,85,79
male,group D,some college,standard,none,73,72,76
female,group C,some college,standard,none,80,72,72
male,group E,some college,standard,none,64,77,69
female,group C,some college,free/reduced,completed,77,61,86
female,group D,associate's degree,standard,completed,74,93,84
female,group D,some college,standard,none,72,74,68
male,group D,associate's degree,standard,none,72,100,84
female,group C,associate's degree,standard,none,81,82,80
female,group C,associate's degree,standard,completed,79,88,71
female,group C,some high school,free/reduced,completed,76,78,82
female,group C,some college,standard,none,73,79,73
female,group D,associate's degree,standard,completed,90,82,94
male,group E,some college,standard,none,91,82,81
male,group C,some college,standard,none,62,68,68
male,group C,some college,standard,none,72,74,68
female,group C,associate's degree,standard,completed,95,77,85
female,group C,high school,standard,none,64,64,78
male,group D,some college,standard,none,79,75,85
female,group C,some college,standard,none,83,70,53
female,group C,high school,standard,none,54,67,63
female,group C,associate's degree,standard,completed,87,86,74
female,group C,some college,standard,none,76,70,68
female,group C,some college,standard,none,87,83,81
female,group C,high school,standard,none,59,61,63
female,group C,associate's degree,standard,none,66,74,74
male,group C,some high school,standard,none,53,60,47
female,group C,some college,standard,none,69,62,53
female,group C,high school,free/reduced,none,73,60,71
male,group C,high school,standard,none,70,60,51
male,group C,some college,standard,none,69,80,80
female,group C,some college,standard,none,76,64,79
male,group C,high school,free/reduced,none,37,43,38
male,group D,some college,standard,none,57,66,62
female,group C,high school,standard,none,53,47,67
male,group D,some college,standard,none,67,65,68
female,group C,some college,standard,none,68,62,70
female,group C,associate's degree,standard,none,71,76,92
female,group C,associate's degree,standard,completed,84,83,78
male,group D,some college,standard,none,64,56,68
female,group C,associate's degree,standard,none,71,77,55
female,group C,some college,standard,none,72,61,68
