gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,No,46,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',104.59,5946.017276913715,No
Female,0,No,No,21,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',53.49,360.7539834628984,No
Male,0,Yes,Yes,38,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',74.91,1867.8795436811934,No
Female,0,Yes,Yes,52,Yes,No,DSL,No,No,Yes,No,Yes,Yes,'One year',Yes,'Electronic check',55.83,2124.946312520091,No
Male,0,Yes,Yes,31,Yes,No,DSL,Yes,Yes,No,Yes,No,No,'One year',No,'Mailed check',60.17,2097.9477202198896,No
Female,0,No,No,5,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',69.13,459.3087539018393,No
Female,0,Yes,No,1,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',82.57,446.6174423258266,Yes
Male,0,Yes,Yes,40,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Bank transfer (automatic)',82.83,5162.66459546061,No
Female,0,Yes,Yes,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',71.92,5509.126331073534,No
Male,0,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,'Mailed check',33.7,271.68845043161866,No
Female,0,No,No,15,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,'Two year',No,'Mailed check',86.77,1254.9047360039408,No
Male,1,Yes,No,32,Yes,Yes,'Fiber optic',No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',105.37,5032.762123701913,Yes
Female,0,Yes,Yes,34,Yes,No,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',98.79,6843.415256488537,No
Female,0,Yes,No,36,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'One year',Yes,'Bank transfer (automatic)',114.82,7424.516948751886,No
