age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
27,technician,single,tertiary,no,-112,no,no,cellular,16,aug,708,2,0,0,unknown,yes
30,admin.,single,secondary,no,1303,no,no,cellular,1,jun,253,1,84,3,success,yes
59,management,married,tertiary,no,194,no,no,cellular,1,aug,1599,5,-1,0,unknown,yes
34,blue-collar,married,secondary,no,220,no,no,cellular,24,apr,93,1,-1,0,unknown,no
56,retired,married,secondary,no,949,yes,no,cellular,21,nov,128,1,409,1,failure,no
54,retired,married,primary,no,524,no,no,cellular,14,aug,151,1,-1,1,unknown,no
54,management,married,tertiary,no,344,no,no,cellular,30,apr,257,1,169,4,success,yes
45,management,married,tertiary,no,37,no,no,cellular,5,aug,276,2,-1,0,unknown,no
75,retired,married,primary,no,1809,no,no,cellular,12,may,155,1,180,3,success,yes
34,management,married,tertiary,no,1273,no,no,cellular,17,apr,242,1,96,4,success,yes
45,management,married,tertiary,no,-11,no,no,cellular,30,jul,167,1,-1,0,unknown,no
60,retired,married,secondary,no,551,no,no,cellular,20,apr,208,1,185,1,success,yes
26,blue-collar,single,secondary,no,-181,yes,no,cellular,29,jul,160,1,-1,0,unknown,no
48,management,married,tertiary,no,-128,no,no,cellular,30,aug,269,2,0,0,unknown,no
76,retired,married,primary,no,1376,no,no,cellular,15,apr,312,1,-1,1,success,yes
75,retired,married,primary,no,439,no,no,cellular,11,aug,195,2,194,1,success,no
55,technician,married,secondary,no,-86,no,no,unknown,4,jun,209,2,-1,0,unknown,no
36,admin.,married,secondary,no,92,no,no,cellular,5,jul,760,2,-1,0,unknown,yes
49,blue-collar,married,primary,no,418,yes,no,cellular,20,aug,73,6,366,0,failure,no
36,technician,married,secondary,no,1555,no,no,cellular,4,aug,237,1,96,4,success,yes
59,blue-collar,married,primary,no,184,no,no,cellular,16,apr,199,1,-1,0,unknown,no
36,blue-collar,married,secondary,no,352,yes,no,cellular,16,apr,283,1,-1,0,unknown,yes
40,management,married,tertiary,no,1053,no,no,cellular,2,may,181,1,94,3,success,yes
43,management,married,tertiary,no,-33,no,no,cellular,27,aug,135,5,-1,0,unknown,no
30,admin.,single,secondary,no,701,no,no,cellular,20,apr,216,1,-1,0,unknown,yes
29,management,single,tertiary,no,253,yes,no,unknown,18,may,40,1,-1,0,unknown,no
35,management,single,tertiary,no,153,no,no,unknown,4,jun,107,2,-1,0,unknown,no
24,student,single,tertiary,no,438,yes,no,cellular,20,apr,360,1,-1,0,unknown,yes
32,technician,single,secondary,no,81,no,no,cellular,1,jun,136,2,-1,0,unknown,no
22,blue-collar,single,secondary,no,460,yes,no,cellular,18,apr,190,1,-1,0,unknown,no
33,admin.,single,secondary,no,90,no,no,cellular,1,jun,370,1,-1,0,unknown,yes
57,housemaid,married,secondary,no,207,no,no,cellular,27,aug,148,2,177,1,success,yes
54,retired,married,primary,no,986,no,no,cellular,30,aug,244,2,-1,0,unknown,yes
32,management,single,tertiary,no,524,yes,no,cellular,12,apr,75,1,-1,0,unknown,no
32,technician,married,secondary,no,91,yes,no,cellular,14,may,145,1,288,3,failure,no
49,technician,married,secondary,no,-101,no,no,cellular,29,jul,134,2,-1,0,unknown,no
43,technician,married,secondary,no,130,no,no,cellular,28,aug,64,8,-1,0,unknown,no
82,retired,married,primary,no,1188,no,no,cellular,2,feb,89,1,167,3,failure,no
48,management,married,tertiary,no,127,yes,no,unknown,8,may,196,1,-1,0,unknown,no
30,management,single,tertiary,no,381,no,no,cellular,29,aug,165,2,-1,0,unknown,no
44,management,married,tertiary,no,-180,yes,no,cellular,13,nov,209,1,-1,0,unknown,no
40,technician,married,tertiary,no,333,no,no,cellular,30,aug,166,2,-1,0,unknown,yes
42,admin.,married,secondary,no,118,yes,no,cellular,18,jul,76,1,-1,0,unknown,no
41,management,married,tertiary,no,-54,no,no,cellular,7,jul,887,2,-1,0,unknown,yes
56,blue-collar,married,primary,no,164,no,no,cellular,20,aug,56,2,0,0,failure,no
48,blue-collar,married,secondary,no,136,yes,no,cellular,11,may,264,1,-1,0,unknown,no
34,technician,single,secondary,no,612,no,no,cellular,17,feb,255,1,-1,0,unknown,yes
57,technician,married,secondary,no,259,no,no,cellular,13,aug,301,1,190,1,failure,yes
30,blue-collar,married,secondary,no,54,yes,no,unknown,5,jun,193,5,-1,0,unknown,no
32,services,married,secondary,no,-53,yes,no,cellular,29,may,156,2,-1,0,unknown,no
51,technician,married,secondary,no,-17,yes,no,unknown,28,jun,91,2,-1,0,unknown,no
23,student,single,tertiary,no,-60,yes,no,unknown,30,may,186,5,-1,0,unknown,no
35,technician,single,secondary,no,439,no,no,cellular,29,aug,237,2,-1,0,unknown,yes
55,admin.,married,secondary,no,1351,no,no,cellular,23,aug,1040,5,-1,0,unknown,yes
37,management,married,tertiary,no,212,yes,no,cellular,1,jun,486,1,-1,0,unknown,yes
36,technician,married,tertiary,no,-68,no,no,cellular,30,aug,135,2,-1,0,unknown,no
43,technician,married,secondary,no,391,no,no,cellular,31,jul,179,2,-1,0,unknown,no
27,blue-collar,single,secondary,no,15,yes,no,unknown,6,may,365,1,-1,0,unknown,yes
53,blue-collar,married,primary,no,73,yes,no,unknown,12,may,195,1,-1,0,unknown,no
63,management,married,tertiary,no,-122,no,no,cellular,26,aug,66,6,-1,0,unknown,no
28,technician,single,secondary,no,54,no,no,cellular,4,apr,261,1,92,1,success,yes
