checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
no checking,8,existing paid,radio/tv,1586,<100,1<=X<4,4,female div/dep/mar,none,4,real estate,30,none,own,1,skilled,1,none,yes,good
<0,15,existing paid,new car,1390,<100,>=7,4,male single,none,4,no known property,42,none,own,1,skilled,1,none,yes,bad
no checking,8,existing paid,new car,2516,<100,>=7,4,male single,none,4,life insurance,48,none,own,1,skilled,1,none,yes,good
0<=X<200,47,existing paid,business,14341,<100,1<=X<4,2,male single,none,4,car,28,none,own,1,skilled,1,yes,yes,bad
no checking,8,critical/other existing credit,new car,1848,<100,1<=X<4,2,male single,none,4,real estate,34,none,own,2,skilled,1,none,yes,good
no checking,14,existing paid,radio/tv,250,<100,>=7,4,male single,none,4,car,44,none,own,1,skilled,1,yes,yes,good
<0,10,existing paid,new car,1787,<100,<1,4,female div/dep/mar,none,4,life insurance,27,none,own,1,skilled,1,none,yes,good
no checking,17,existing paid,radio/tv,1873,<100,1<=X<4,4,male single,none,2,car,43,none,own,1,skilled,1,none,yes,good
no checking,15,existing paid,radio/tv,1670,<100,1<=X<4,4,male single,none,2,real estate,30,none,own,1,skilled,1,none,yes,good
<0,15,existing paid,new car,2937,<100,>=7,4,male single,none,4,no known property,57,none,own,1,skilled,1,none,yes,good
no checking,13,critical/other existing credit,radio/tv,788,<100,1<=X<4,4,male single,none,2,car,39,none,own,2,skilled,1,none,yes,good
no checking,19,critical/other existing credit,new car,2873,<100,1<=X<4,2,male single,none,2,real estate,43,none,own,2,unskilled resident,1,none,yes,good
no checking,30,existing paid,furniture/equipment,2708,<100,1<=X<4,4,male single,none,2,car,24,none,own,1,skilled,1,yes,yes,good
no checking,9,existing paid,radio/tv,2270,<100,1<=X<4,4,male single,none,4,car,25,none,own,1,skilled,1,yes,yes,good
no checking,13,critical/other existing credit,radio/tv,1261,<100,1<=X<4,4,male single,none,2,car,27,none,own,2,skilled,1,none,yes,good
no checking,16,critical/other existing credit,radio/tv,680,<100,1<=X<4,4,male single,none,2,real estate,29,none,own,2,skilled,1,none,yes,good
no checking,12,critical/other existing credit,used car,2306,<100,>=7,2,male single,none,4,car,41,none,own,2,skilled,1,yes,yes,good
no checking,14,existing paid,radio/tv,1049,<100,1<=X<4,4,female div/dep/mar,none,4,car,22,none,own,1,skilled,1,none,yes,good
no checking,7,critical/other existing credit,radio/tv,581,<100,>=7,4,male single,none,4,life insurance,50,none,own,1,skilled,1,none,yes,good
no checking,14,existing paid,used car,7715,<100,>=7,4,male single,none,4,no known property,36,none,own,1,skilled,1,yes,yes,good
no checking,14,existing paid,new car,3355,<100,1<=X<4,4,male single,none,4,life insurance,26,none,own,1,skilled,1,none,yes,good
0<=X<200,16,existing paid,business,8576,<100,1<=X<4,2,male single,none,4,no known property,36,none,own,1,skilled,1,yes,yes,good
0<=X<200,19,critical/other existing credit,radio/tv,1302,<100,1<=X<4,2,male single,none,2,real estate,28,none,own,2,skilled,1,none,yes,good
0<=X<200,16,existing paid,radio/tv,3867,<100,1<=X<4,2,male single,none,2,car,25,none,own,1,skilled,1,none,yes,good
no checking,5,existing paid,radio/tv,1612,<100,1<=X<4,4,male single,none,2,car,27,none,own,1,skilled,1,none,yes,good
no checking,14,existing paid,used car,3534,no known savings,>=7,4,male single,none,4,no known property,50,none,own,1,skilled,1,yes,yes,good
no checking,16,critical/other existing credit,radio/tv,3675,<100,>=7,4,male single,none,4,car,55,none,own,2,skilled,1,yes,yes,good
no checking,13,existing paid,radio/tv,455,<100,>=7,4,male single,none,4,real estate,60,none,own,1,skilled,1,none,yes,good
no checking,16,existing paid,radio/tv,3974,<100,1<=X<4,4,male single,none,2,car,21,none,own,2,skilled,1,yes,yes,good
0<=X<200,37,existing paid,used car,11409,<100,1<=X<4,4,female div/dep/mar,none,4,car,23,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,50,existing paid,used car,3563,<100,>=7,4,male single,none,4,car,34,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,11,existing paid,new car,2712,<100,>=7,4,male single,none,4,no known property,58,none,own,1,skilled,1,none,yes,good
no checking,7,critical/other existing credit,new car,1305,<100,>=7,4,male single,none,4,real estate,52,none,own,2,skilled,1,none,yes,good
0<=X<200,12,existing paid,radio/tv,1715,<100,1<=X<4,4,male single,none,2,real estate,26,none,own,2,skilled,1,none,yes,good
<0,9,existing paid,radio/tv,742,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,23,none,own,1,skilled,1,none,yes,good
no checking,15,existing paid,radio/tv,1310,<100,>=7,4,male single,none,4,life insurance,56,none,own,1,skilled,1,none,yes,good
no checking,12,existing paid,radio/tv,1137,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,29,none,own,1,skilled,1,none,yes,good
<0,11,existing paid,new car,275,<100,<1,4,female div/dep/mar,none,4,life insurance,22,none,rent,1,skilled,1,none,yes,bad
no checking,10,critical/other existing credit,business,3046,<100,1<=X<4,4,male single,none,2,car,26,none,own,2,skilled,1,yes,yes,good
no checking,9,existing paid,radio/tv,1777,<100,1<=X<4,4,male single,none,2,real estate,27,none,own,1,skilled,1,none,yes,good
0<=X<200,15,no credits/all paid,new car,8653,<100,1<=X<4,2,male single,none,2,car,27,none,own,2,skilled,1,yes,yes,bad
no checking,22,existing paid,used car,2101,<100,>=7,4,male single,none,4,car,46,none,own,1,skilled,1,yes,yes,good
no checking,39,critical/other existing credit,used car,3541,<100,1<=X<4,1,male single,none,2,life insurance,32,none,own,2,skilled,1,yes,yes,good
no checking,18,existing paid,radio/tv,2066,<100,1<=X<4,4,male single,none,2,real estate,28,none,own,2,skilled,1,none,yes,good
<0,15,existing paid,new car,2940,<100,1<=X<4,4,male single,none,4,life insurance,28,none,own,1,skilled,1,none,yes,bad
no checking,14,existing paid,used car,2901,<100,>=7,4,male single,none,4,no known property,51,none,own,1,skilled,1,yes,yes,good
<0,39,existing paid,new car,6081,<100,1<=X<4,2,male single,none,4,no known property,52,none,for free,1,skilled,1,yes,yes,bad
no checking,14,critical/other existing credit,radio/tv,1894,<100,1<=X<4,4,male single,none,2,car,38,none,own,1,skilled,1,yes,yes,good
no checking,13,critical/other existing credit,radio/tv,1971,<100,>=7,4,male single,none,4,real estate,45,none,own,1,skilled,1,none,yes,good
<0,14,existing paid,new car,1071,<100,>=7,4,male single,none,4,no known property,31,none,own,1,skilled,1,yes,yes,good
<0,24,existing paid,furniture/equipment,4430,<100,1<=X<4,4,male single,none,2,car,28,none,own,1,skilled,1,yes,yes,bad
no checking,23,existing paid,used car,3599,<100,4<=X<7,4,female div/dep/mar,none,4,car,24,none,own,1,skilled,1,yes,yes,good
no checking,9,critical/other existing credit,radio/tv,1031,<100,>=7,4,male single,none,4,real estate,40,none,own,2,skilled,1,none,yes,good
no checking,6,critical/other existing credit,new car,1893,<100,>=7,1,male single,none,4,real estate,59,none,own,1,unskilled resident,1,none,yes,good
no checking,18,critical/other existing credit,radio/tv,1809,<100,1<=X<4,4,male single,none,2,car,28,none,own,2,skilled,1,none,yes,good
no checking,16,existing paid,radio/tv,1731,<100,1<=X<4,4,male single,none,2,car,25,none,own,1,skilled,1,none,yes,good
<0,10,existing paid,new car,3365,<100,<1,1,male single,none,4,real estate,61,none,own,1,unskilled resident,1,none,yes,good
no checking,17,existing paid,radio/tv,9457,<100,>=7,4,male single,none,4,no known property,33,none,own,1,skilled,1,yes,yes,good
<0,15,existing paid,new car,953,<100,>=7,4,male single,none,4,real estate,58,none,own,1,skilled,1,none,yes,good
no checking,15,existing paid,radio/tv,3408,<100,1<=X<4,4,male single,none,4,car,27,none,own,1,skilled,1,yes,yes,good
no checking,24,existing paid,furniture/equipment,2344,<100,>=7,4,male single,none,4,car,29,none,own,1,skilled,1,yes,yes,good
<0,51,existing paid,furniture/equipment,4556,<100,1<=X<4,4,male single,none,2,car,33,none,own,1,skilled,1,yes,yes,good
no checking,51,delayed previously,business,2228,<100,1<=X<4,4,male single,none,2,car,22,none,own,2,skilled,1,yes,yes,good
no checking,6,existing paid,radio/tv,992,<100,1<=X<4,4,male single,none,4,real estate,46,none,own,2,skilled,1,none,yes,good
no checking,15,existing paid,furniture/equipment,4169,<100,1<=X<4,1,female div/dep/mar,none,2,real estate,21,none,own,1,skilled,1,none,yes,good
<0,8,existing paid,radio/tv,250,<100,<1,4,female div/dep/mar,none,4,life insurance,22,none,own,1,skilled,1,none,yes,good
no checking,12,existing paid,radio/tv,1509,<100,>=7,4,female div/dep/mar,none,4,car,28,none,own,1,skilled,1,none,yes,good
no checking,15,existing paid,furniture/equipment,2817,<100,1<=X<4,2,female div/dep/mar,none,4,car,21,none,own,1,skilled,1,none,yes,good
no checking,16,existing paid,radio/tv,1516,<100,1<=X<4,4,male single,none,4,car,31,none,own,1,skilled,1,yes,yes,good
no checking,14,critical/other existing credit,new car,3859,<100,1<=X<4,2,male single,none,4,real estate,44,none,own,2,skilled,2,none,yes,good
<0,13,existing paid,new car,2694,<100,>=7,4,male single,none,4,life insurance,28,none,own,1,skilled,1,none,yes,good
no checking,10,existing paid,furniture/equipment,2072,<100,4<=X<7,4,male single,none,4,life insurance,33,none,own,1,skilled,1,none,yes,good
<0,25,existing paid,new car,2994,<100,4<=X<7,4,female div/dep/mar,none,4,no known property,24,none,own,1,skilled,1,yes,yes,bad
<0,11,existing paid,new car,1165,<100,1<=X<4,4,female div/dep/mar,none,4,car,27,none,own,1,skilled,1,none,yes,good
no checking,25,existing paid,used car,1915,<100,>=7,4,female div/dep/mar,none,4,car,26,none,own,1,skilled,1,yes,yes,good
no checking,22,existing paid,furniture/equipment,2338,<100,<1,4,female div/dep/mar,none,4,car,22,none,own,1,skilled,1,none,yes,good
<0,8,existing paid,new car,1866,<100,>=7,4,male single,none,4,no known property,44,none,own,1,skilled,1,none,yes,good
no checking,11,existing paid,radio/tv,350,<100,>=7,4,male single,none,4,car,26,none,own,2,skilled,1,yes,yes,good
no checking,17,existing paid,business,2827,<100,1<=X<4,4,male single,none,4,car,38,none,own,2,skilled,1,yes,yes,good
<0,15,existing paid,new car,2973,<100,>=7,4,male single,none,4,no known property,54,none,own,1,skilled,1,yes,yes,bad
no checking,22,existing paid,furniture/equipment,2207,<100,1<=X<4,4,male single,none,4,car,28,none,own,1,skilled,1,yes,yes,good
no checking,25,existing paid,used car,2942,<100,>=7,4,male single,none,4,car,40,none,own,1,skilled,1,yes,yes,good
no checking,23,existing paid,radio/tv,1699,<100,1<=X<4,4,male single,none,2,car,27,none,own,1,skilled,1,yes,yes,good
no checking,7,existing paid,radio/tv,1224,<100,>=7,4,male single,none,4,real estate,27,none,own,1,skilled,1,none,yes,good
no checking,20,existing paid,radio/tv,3400,<100,1<=X<4,4,male single,none,2,car,26,none,own,1,skilled,1,yes,yes,good
<0,15,existing paid,new car,7063,<100,1<=X<4,2,male single,none,4,no known property,32,none,own,1,skilled,1,none,yes,bad
no checking,11,critical/other existing credit,radio/tv,533,<100,>=7,4,male single,none,2,real estate,54,none,own,2,skilled,1,none,yes,good
no checking,12,existing paid,radio/tv,978,<100,1<=X<4,4,male single,none,2,car,28,none,own,1,skilled,1,none,yes,good
no checking,10,existing paid,new car,1154,<100,1<=X<4,2,male single,none,4,real estate,46,none,own,1,skilled,1,none,yes,good
no checking,12,existing paid,radio/tv,1495,<100,>=7,4,male single,none,4,car,54,none,own,1,skilled,1,none,yes,good
0<=X<200,48,existing paid,business,11880,<100,1<=X<4,2,male single,none,4,car,25,none,own,1,skilled,1,yes,yes,bad
<0,12,existing paid,new car,1016,<100,>=7,4,male single,none,4,car,66,none,own,1,skilled,1,yes,yes,good
<0,10,existing paid,furniture/equipment,3930,<100,<1,1,female div/dep/mar,none,4,life insurance,20,none,own,1,skilled,1,none,yes,good
<0,11,critical/other existing credit,new car,1979,<100,>=7,4,male single,none,4,no known property,53,none,for free,1,skilled,1,none,yes,good
0<=X<200,12,existing paid,new car,1854,<100,1<=X<4,2,male single,none,4,no known property,25,none,own,1,skilled,1,none,yes,good
no checking,20,existing paid,new car,1122,<100,>=7,4,male single,none,4,no known property,50,none,own,1,skilled,1,yes,yes,good
no checking,12,existing paid,radio/tv,4377,<100,1<=X<4,2,male single,none,2,real estate,23,none,own,1,skilled,1,none,yes,good
