gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0.0,No,No,3.5637378040661956,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,'Electronic check',57.37403755774072,219.24836475561028,No
Male,0.0,Yes,No,16.69240248640743,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Bank transfer (automatic)',23.526333488932654,351.1469370331897,No
Female,1.0,No,No,64.13735744741103,Yes,No,'Fiber optic',Yes,Yes,No,Yes,Yes,Yes,'One year',Yes,'Electronic check',104.71812364494899,6642.763135129117,No
Female,0.0,No,No,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,'Mailed check',49.001232642789695,33.24303326184384,Yes
Female,0.0,No,No,4.0,Yes,No,'Fiber optic',No,No,No,Yes,No,No,Month-to-month,Yes,'Electronic check',75.18021821643711,425.1299850829297,No
Male,0.0,No,No,1.0,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Mailed check',19.34245707910375,19.894544174331386,Yes
Female,1.0,Yes,Yes,8.0,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,'Mailed check',50.46738889780611,426.27460124320396,Yes
Male,0.0,Yes,No,54.75598994369536,Yes,No,'Fiber optic',Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',100.17584991228,5319.375584358233,No
Male,0.0,Yes,Yes,44.0,Yes,Yes,'Fiber optic',No,Yes,Yes,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',84.60524437977324,3763.0490470271734,No
Male,0.0,No,No,1.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,'Electronic check',54.132937603826036,50.984192625729904,Yes
Female,1.0,Yes,No,23.0,Yes,Yes,'Fiber optic',No,No,Yes,No,No,Yes,'One year',Yes,'Credit card (automatic)',90.86047418812247,2301.4866129110087,Yes
Female,0.0,Yes,Yes,49.0,No,'No phone service',DSL,No,No,Yes,Yes,No,Yes,'Two year',No,'Credit card (automatic)',50.80510847830796,2093.813764051794,No
Male,0.0,Yes,Yes,1.0,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',66.37156613179076,40.8145332650451,Yes
Male,0.0,Yes,Yes,57.0,Yes,Yes,'Fiber optic',Yes,No,Yes,No,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',103.84573886873905,5134.999411141023,No
Female,0.0,Yes,Yes,1.0,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Electronic check',20.200652016997527,24.35038441202794,Yes
Female,0.0,No,No,67.0,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,'Two year',No,'Bank transfer (automatic)',84.34355882944747,5393.9842272222595,No
Male,0.0,No,Yes,24.060010070596174,Yes,No,DSL,Yes,No,No,Yes,No,No,'One year',No,'Bank transfer (automatic)',55.600100894100805,1586.4832442683223,No
Male,0.0,Yes,Yes,0.0,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',118.5999984741211,8684.7998046875,Yes
Female,0.0,No,No,1.0,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',69.3182733956677,71.2951056331522,Yes
Male,0.0,Yes,No,71.02282644066679,Yes,No,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Bank transfer (automatic)',102.68612819630569,7442.367396870504,No
Female,0.0,No,No,17.0,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',65.10624179289128,1022.1419860140659,Yes
Female,0.0,No,No,3.1214480657434915,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',69.57616574608492,241.792663131387,Yes
Male,0.0,Yes,No,43.02681607136743,No,'No phone service',DSL,No,Yes,No,Yes,Yes,No,'Two year',No,'Bank transfer (automatic)',54.602161902955636,1860.5919744218627,No
Female,0.0,Yes,Yes,3.0,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',23.19522262789067,62.760714392881326,No
Female,0.0,Yes,No,1.0,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,'Electronic check',61.469669090524285,76.56072975217754,Yes
Female,0.0,Yes,Yes,52.2311102431899,Yes,Yes,'Fiber optic',No,No,Yes,Yes,Yes,Yes,'One year',Yes,'Electronic check',102.01099448750534,5902.682213579757,No
Female,0.0,No,No,54.0,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',19.431461402506425,992.4308728221195,No
Male,0.0,Yes,No,18.0,Yes,No,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',90.6435777009029,1173.093830381487,Yes
Female,0.0,No,No,15.0,Yes,No,'Fiber optic',Yes,No,No,Yes,No,No,Month-to-month,Yes,'Mailed check',79.70750555250018,1207.4141040127327,No
Female,0.0,Yes,Yes,71.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,'Two year',Yes,'Bank transfer (automatic)',64.63312427323274,4768.726402051084,No
