age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
38.0,management,single,tertiary,no,256.3013085052934,no,no,cellular,7.0,aug,539.9333663702569,1.0,0.0726996135417004,2.0,success,yes
34.0,management,single,tertiary,no,435.6151980561522,no,no,cellular,13.0,aug,509.93697467239423,6.0,-1.0,0.0,unknown,yes
21.30034188475594,technician,single,secondary,no,-105.09489324118665,yes,no,cellular,7.0,feb,358.9137330411064,3.0,-1.0,0.0,unknown,no
95.0,management,single,tertiary,no,81204.0,no,yes,unknown,1.0,oct,3881.0,1.0,854.0,0.0,unknown,yes
50.903553983808955,management,divorced,tertiary,no,85.11689897381211,no,no,cellular,10.0,aug,1619.5238231287742,6.0,-1.0,0.0,unknown,yes
28.0,technician,single,secondary,no,1414.840505773082,yes,no,unknown,9.0,jun,1411.7421898998878,2.0,-1.0,0.0,unknown,yes
34.0,technician,single,tertiary,no,286.40045524938364,no,no,telephone,23.0,may,138.8394929963586,3.0,-1.0,0.0,unknown,no
31.0,admin.,single,secondary,no,3130.8974921927015,no,no,unknown,30.0,may,117.53576354018658,1.0,-1.0,0.0,unknown,no
30.0,admin.,single,secondary,no,0.0,yes,no,unknown,21.0,may,1278.7264388945405,2.0,-1.0,0.0,unknown,yes
33.0,technician,married,secondary,no,136.9851339455099,yes,no,cellular,21.0,nov,290.65372023890745,1.0,-1.0,0.0,unknown,no
29.0,self-employed,single,tertiary,no,2244.649015269831,yes,no,unknown,18.0,may,622.9620789525256,1.0,-1.0,0.0,unknown,yes
21.029843115841302,services,single,secondary,no,1978.844798162308,no,no,cellular,23.0,apr,219.1496212706105,1.0,-1.0,0.0,unknown,yes
40.0,management,single,tertiary,no,273.1733343093211,yes,yes,cellular,18.0,nov,254.06606192214562,1.0,182.6306565178446,1.0,failure,no
47.0,management,married,tertiary,no,310.4287202972203,yes,yes,cellular,4.0,aug,174.8786641403735,8.0,-1.0,0.0,unknown,no
31.0,management,single,tertiary,no,0.0,no,no,cellular,29.0,aug,136.13489218028997,3.0,-1.0,0.0,unknown,no
60.0,blue-collar,married,secondary,no,2254.4566849757402,no,no,cellular,5.0,feb,176.87737121190352,1.0,285.0629601579284,1.0,failure,no
38.0,technician,married,secondary,yes,0.0,no,no,cellular,4.0,apr,566.7230373762875,2.0,-1.0,0.0,unknown,no
33.0,services,single,secondary,no,276.0697762915532,yes,no,cellular,21.0,may,105.2284690769714,2.0,-1.0,0.0,unknown,no
29.0,blue-collar,single,secondary,no,2625.2743914011476,yes,no,cellular,14.0,may,45.57159340002454,1.0,297.11041850565044,2.0,failure,no
38.0,management,divorced,secondary,no,259.55416842085583,yes,no,cellular,18.0,nov,127.93630355920706,1.0,-1.0,0.0,unknown,no
34.0,blue-collar,married,primary,no,2198.919442075175,no,no,cellular,14.0,aug,705.7895558063722,12.233158698584447,-1.0,0.0,unknown,yes
