checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
no checking,5.0,existing paid,radio/tv,336.44523574254214,<100,<1,4.0,female div/dep/mar,none,3.0,life insurance,27.91056205764266,none,own,1.0,skilled,1.0,none,yes,good
<0,12.0,existing paid,business,1282.9781796810526,<100,4<=X<7,3.0,female div/dep/mar,none,1.0,real estate,24.092322980602194,none,own,1.0,skilled,1.0,none,yes,bad
0<=X<200,15.0,critical/other existing credit,furniture/equipment,2844.302851008917,<100,unemployed,3.0,female div/dep/mar,none,4.0,life insurance,39.434297569623844,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
<0,11.0,existing paid,new car,620.817220865259,no known savings,1<=X<4,4.0,male mar/wid,none,4.0,car,23.92452060085925,none,own,1.0,unskilled resident,1.0,none,yes,bad
0<=X<200,12.0,existing paid,new car,3103.4502262313886,<100,4<=X<7,2.0,male single,none,4.0,real estate,40.41633703475523,none,own,1.0,unskilled resident,2.0,none,yes,good
<0,24.0,existing paid,furniture/equipment,6161.33495861943,<100,>=7,4.0,male single,none,4.0,life insurance,34.27396370991522,none,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
no checking,21.0,critical/other existing credit,used car,2948.142987313563,<100,1<=X<4,3.0,male single,none,2.0,car,32.37603661676488,none,own,2.0,skilled,1.0,yes,yes,good
0<=X<200,24.0,no credits/all paid,business,6307.040191293731,<100,>=7,4.0,male single,none,4.0,no known property,53.72589134097277,none,for free,1.0,skilled,2.0,yes,yes,bad
0<=X<200,18.0,no credits/all paid,business,4493.751195607088,<100,4<=X<7,3.0,male single,none,3.0,life insurance,27.885554598612313,none,own,2.0,skilled,1.0,yes,yes,good
no checking,8.0,existing paid,furniture/equipment,2136.5882208375633,<100,1<=X<4,1.0,male single,none,4.0,real estate,30.875294643656524,bank,rent,1.0,skilled,1.0,none,yes,good
