Age,ServicesOpted,FrequentFlyer,AnnualIncomeClass,AccountSyncedToSocialMedia,BookedHotelOrNot,Target
31,1,No Record,High Income,No,No,Customer Doesnt Churn
26,2,No,Middle Income,No,Yes,Customer Churns
31,1,No Record,Middle Income,No,Yes,Customer Doesnt Churn
36,1,Yes,High Income,No,No,Customer Churns
27,5,Yes,Middle Income,No,Yes,Customer Doesnt Churn
26,3,No Record,Middle Income,Yes,No,Customer Doesnt Churn
28,2,Yes,High Income,No,No,Customer Doesnt Churn
27,6,No,Low Income,No,No,Customer Doesnt Churn
34,3,No Record,Low Income,No,No,Customer Doesnt Churn
35,1,Yes,High Income,Yes,Yes,Customer Churns
35,1,No Record,Low Income,No,Yes,Customer Doesnt Churn
29,1,No,High Income,Yes,No,Customer Doesnt Churn
29,4,No,High Income,Yes,No,Customer Doesnt Churn
29,1,No,Middle Income,No,No,Customer Doesnt Churn
36,1,No Record,Low Income,No,No,Customer Doesnt Churn
36,1,No,High Income,Yes,No,Customer Doesnt Churn
35,2,No,Low Income,Yes,Yes,Customer Churns
34,2,No,Low Income,No,Yes,Customer Doesnt Churn
32,2,No Record,Middle Income,Yes,No,Customer Doesnt Churn
33,1,No Record,High Income,No,Yes,Customer Doesnt Churn
29,4,Yes,High Income,Yes,Yes,Customer Doesnt Churn
30,1,No,High Income,No,No,Customer Doesnt Churn
30,1,Yes,High Income,Yes,No,Customer Doesnt Churn
25,1,Yes,Low Income,No,No,Customer Churns
28,1,Yes,High Income,Yes,No,Customer Doesnt Churn
29,7,No Record,Middle Income,Yes,Yes,Customer Doesnt Churn
30,1,No,High Income,Yes,Yes,Customer Doesnt Churn
28,2,No,Middle Income,Yes,No,Customer Doesnt Churn
29,3,No,Low Income,Yes,No,Customer Churns
31,1,No,Low Income,No,Yes,Customer Churns
35,3,Yes,Middle Income,No,No,Customer Doesnt Churn
34,1,No,High Income,Yes,Yes,Customer Doesnt Churn
38,4,No Record,Low Income,Yes,Yes,Customer Doesnt Churn
29,1,No,Low Income,Yes,No,Customer Doesnt Churn
29,3,No,Middle Income,Yes,No,Customer Doesnt Churn
29,1,No,High Income,Yes,No,Customer Churns
35,1,No,Middle Income,No,Yes,Customer Doesnt Churn
35,1,Yes,Low Income,No,No,Customer Doesnt Churn
30,2,No,Middle Income,Yes,No,Customer Doesnt Churn
30,7,No Record,Middle Income,Yes,Yes,Customer Doesnt Churn
26,5,No Record,High Income,Yes,Yes,Customer Doesnt Churn
36,3,No,Middle Income,No,Yes,Customer Doesnt Churn
35,1,No,High Income,Yes,No,Customer Churns
26,1,No Record,High Income,No,No,Customer Churns
34,4,Yes,Middle Income,Yes,Yes,Customer Doesnt Churn
36,3,Yes,Middle Income,Yes,No,Customer Doesnt Churn
