math score,reading score,writing score,gender,race/ethnicity,parental level of education,lunch,test preparation course
49,77,87,female,group D,some high school,free/reduced,none
52,86,69,female,group B,some college,free/reduced,none
95,97,77,male,group B,some high school,standard,none
51,58,91,female,group B,master's degree,standard,none
41,47,79,female,group B,high school,standard,completed
60,93,85,female,group E,bachelor's degree,free/reduced,completed
19,74,69,female,group A,bachelor's degree,free/reduced,none
69,83,51,male,group E,high school,free/reduced,none
69,75,83,female,group C,associate's degree,standard,completed
74,65,46,male,group A,high school,free/reduced,completed
50,100,92,female,group C,associate's degree,standard,completed
96,61,106,male,group B,bachelor's degree,standard,completed
60,84,89,male,group A,bachelor's degree,standard,completed
84,69,84,female,group B,associate's degree,standard,none
63,69,78,female,group D,high school,free/reduced,none
41,70,79,female,group E,master's degree,free/reduced,none
63,89,90,female,group B,bachelor's degree,free/reduced,none
74,100,107,male,group E,associate's degree,free/reduced,none
42,82,97,female,group C,some high school,standard,completed
81,47,79,male,group B,associate's degree,standard,none
77,81,75,female,group D,some high school,standard,none
91,100,75,female,group E,master's degree,standard,none
40,82,62,male,group A,some college,free/reduced,completed
64,50,60,female,group E,some high school,free/reduced,completed
67,91,87,female,group A,associate's degree,standard,none
70,82,75,female,group C,some high school,standard,completed
63,87,92,male,group A,bachelor's degree,free/reduced,completed
58,67,64,male,group A,bachelor's degree,free/reduced,completed
78,104,111,female,group D,some college,standard,none
73,111,62,female,group E,high school,standard,completed
76,77,75,male,group E,some high school,standard,none
72,87,81,female,group A,some high school,standard,completed
60,42,69,female,group C,high school,free/reduced,none
54,42,64,male,group A,high school,free/reduced,none
82,101,62,male,group A,high school,free/reduced,none
81,74,95,female,group A,bachelor's degree,standard,none
57,100,54,male,group D,master's degree,free/reduced,completed
51,96,108,female,group B,some college,free/reduced,completed
99,89,95,female,group D,some high school,standard,completed
68,48,88,female,group E,some college,free/reduced,none
57,101,43,female,group D,associate's degree,free/reduced,none
68,79,92,female,group A,master's degree,standard,none
45,58,78,female,group D,master's degree,free/reduced,none
