SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
0,54,54.34427595478606,4432.868686606983,Male,Yes,Yes,No,'No phone service',DSL,No,Yes,Yes,No,No,No,'Two year',Yes,'Mailed check',No
0,56,76.40187147428378,863.2242733625869,Female,No,Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,No,'Two year',Yes,'Mailed check',No
0,24,18.281073334185088,-31.50647559887301,Female,No,No,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',No
0,11,87.94854389665822,414.5394069722755,Male,No,No,Yes,Yes,'Fiber optic',No,No,Yes,No,No,No,Month-to-month,Yes,'Electronic check',Yes
0,69,66.14713177129542,1657.384060991366,Female,No,No,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,'Two year',Yes,'Bank transfer (automatic)',No
0,66,110.2757877478389,6054.853297660919,Male,Yes,No,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',No
0,4,70.88184089141349,658.7898443489087,Female,No,No,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',No
0,76,107.4425936080696,4098.420533118301,Male,Yes,Yes,Yes,No,'Fiber optic',Yes,No,No,No,Yes,Yes,'One year',Yes,'Electronic check',Yes
0,54,24.41178880343736,158.13758727362128,Male,No,No,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Bank transfer (automatic)',No
0,53,84.37821547715171,1702.2111371389724,Female,No,Yes,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',No
0,70,112.58154903462268,4102.528814451378,Male,Yes,Yes,Yes,No,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,'Bank transfer (automatic)',No
0,34,54.24623188797435,75.04708495327391,Male,No,No,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,'Mailed check',No
0,58,105.72459998192863,373.22438559097134,Male,Yes,Yes,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',Yes
0,60,70.38279407957182,5811.691600626291,Female,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,'Two year',Yes,'Bank transfer (automatic)',No
0,17,55.0287916840908,2128.359801629136,Male,Yes,Yes,No,'No phone service',DSL,No,No,Yes,No,No,No,'Two year',Yes,'Mailed check',Yes
0,14,44.26734919429952,1148.9465743373582,Female,Yes,Yes,No,'No phone service',DSL,No,No,No,Yes,No,No,Month-to-month,Yes,'Bank transfer (automatic)',No
0,46,102.46845532900456,4262.846831914989,Male,No,Yes,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,Yes,'Two year',Yes,'Electronic check',No
