age,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,deposit
34,687,20,182,1,58,2,technician,single,tertiary,no,no,no,cellular,jun,success,yes
65,1275,18,368,1,184,3,retired,married,secondary,no,no,no,telephone,oct,failure,yes
41,85,9,234,3,256,1,management,single,unknown,no,yes,no,cellular,may,failure,no
61,-121,19,57,3,-1,0,retired,divorced,primary,no,no,no,cellular,jul,unknown,no
32,78,19,312,2,175,1,entrepreneur,married,secondary,no,no,no,cellular,nov,other,no
54,2532,8,435,2,-2,0,unemployed,married,secondary,no,no,no,cellular,may,unknown,no
46,-38,7,74,1,-1,0,technician,divorced,primary,no,no,no,unknown,feb,unknown,no
35,-91,21,234,1,-2,0,management,divorced,secondary,no,yes,no,cellular,sep,unknown,yes
23,-52,24,196,1,92,0,blue-collar,single,tertiary,no,no,yes,cellular,nov,success,yes
59,4305,2,217,1,-2,0,unemployed,married,primary,no,no,no,cellular,feb,unknown,no
30,5579,25,228,1,-1,0,self-employed,single,tertiary,no,no,no,cellular,may,unknown,yes
32,-232,21,243,2,-1,0,technician,single,secondary,no,yes,yes,cellular,jun,unknown,no
44,-300,24,214,10,-1,0,housemaid,married,secondary,no,no,yes,cellular,may,unknown,no
33,2400,8,58,2,-2,0,technician,divorced,secondary,no,yes,no,unknown,may,unknown,no
52,1686,3,651,10,-2,0,unemployed,married,tertiary,no,no,yes,cellular,jun,unknown,yes
33,810,30,721,1,-1,0,technician,single,tertiary,no,yes,no,unknown,may,unknown,yes
37,-28,28,69,1,-1,0,unemployed,married,secondary,no,no,no,cellular,jan,unknown,no
38,261,29,226,1,-1,0,technician,married,secondary,no,no,no,telephone,jan,other,no
46,806,20,108,1,-1,0,admin.,divorced,tertiary,no,no,no,cellular,nov,unknown,no
47,-205,28,69,2,-2,0,entrepreneur,married,unknown,no,no,yes,telephone,jul,unknown,no
57,3099,28,759,2,-2,0,entrepreneur,married,secondary,no,no,no,cellular,may,unknown,yes
36,-5,29,494,1,0,0,unemployed,married,tertiary,yes,yes,no,cellular,jul,unknown,yes
75,426,16,305,1,194,0,unknown,divorced,tertiary,no,no,no,cellular,oct,failure,yes
