duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,class
3,18827,3,3,50,1,2,<0,critical/other existing credit,furniture/equipment,<100,unemployed,female div/dep/mar,co applicant,no known property,none,own,unskilled resident,yes,yes,bad
-1,4480,3,2,31,1,1,<0,existing paid,furniture/equipment,<100,unemployed,male single,none,life insurance,none,rent,unskilled resident,none,yes,good
0,10018,3,4,28,2,1,0<=X<200,no credits/all paid,furniture/equipment,500<=X<1000,>=7,male single,none,no known property,none,rent,skilled,yes,yes,bad
24,12393,4,2,57,2,2,no checking,delayed previously,radio/tv,>=1000,>=7,male single,none,no known property,stores,for free,unemp/unskilled non res,none,yes,bad
27,3394,4,2,57,1,1,0<=X<200,no credits/all paid,radio/tv,<100,unemployed,male mar/wid,none,car,none,own,unemp/unskilled non res,none,yes,good
20,3318,4,2,23,2,2,0<=X<200,critical/other existing credit,furniture/equipment,<100,1<=X<4,male single,none,life insurance,none,own,skilled,none,yes,bad
9,1764,2,1,43,2,1,>=200,existing paid,other,<100,unemployed,male div/sep,none,real estate,none,rent,high qualif/self emp/mgmt,yes,yes,good
24,5457,1,2,79,1,1,>=200,existing paid,furniture/equipment,no known savings,unemployed,female div/dep/mar,none,car,none,own,unskilled resident,yes,yes,good
44,1705,4,4,68,1,1,>=200,existing paid,other,500<=X<1000,>=7,male single,none,no known property,none,for free,unskilled resident,none,yes,good
1,5931,3,2,41,2,1,<0,all paid,new car,<100,4<=X<7,male mar/wid,co applicant,real estate,none,own,skilled,yes,yes,good
6,2730,3,0,55,1,1,>=200,existing paid,new car,<100,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,good
5,1071,3,4,33,1,1,no checking,existing paid,used car,<100,>=7,female div/dep/mar,none,real estate,none,rent,high qualif/self emp/mgmt,yes,yes,good
3,2763,3,4,30,2,1,>=200,no credits/all paid,domestic appliance,<100,4<=X<7,male single,none,no known property,none,for free,unskilled resident,none,yes,good
36,19436,4,2,66,2,2,no checking,critical/other existing credit,business,<100,4<=X<7,male single,co applicant,no known property,none,rent,skilled,none,yes,good
46,2800,3,2,34,1,1,no checking,existing paid,radio/tv,>=1000,>=7,female div/dep/mar,none,car,none,for free,skilled,none,yes,bad
24,4792,2,0,36,1,1,<0,existing paid,new car,<100,1<=X<4,male mar/wid,co applicant,life insurance,bank,own,skilled,yes,yes,good
23,10014,3,2,54,2,1,no checking,critical/other existing credit,new car,<100,unemployed,male single,guarantor,no known property,none,own,skilled,yes,yes,bad
-1,3640,2,4,71,1,1,no checking,existing paid,radio/tv,<100,<1,female div/dep/mar,none,life insurance,none,rent,unskilled resident,yes,yes,good
31,5217,4,3,34,2,1,<0,critical/other existing credit,radio/tv,<100,unemployed,male single,guarantor,real estate,stores,own,skilled,none,yes,good
-1,5966,2,2,33,2,1,>=200,all paid,business,<100,unemployed,male single,none,no known property,none,own,high qualif/self emp/mgmt,yes,yes,bad
9,3150,0,4,57,1,1,>=200,existing paid,education,500<=X<1000,unemployed,male single,none,real estate,none,own,skilled,none,no,good
17,18563,1,4,33,1,1,<0,existing paid,new car,<100,unemployed,male single,guarantor,car,none,for free,skilled,yes,yes,bad
7,2834,1,1,36,1,1,<0,existing paid,education,no known savings,>=7,male single,none,life insurance,none,own,unskilled resident,none,no,bad
12,2463,4,4,56,1,1,no checking,existing paid,new car,>=1000,>=7,male single,none,no known property,none,for free,skilled,none,yes,good
25,21262,3,1,35,1,1,0<=X<200,critical/other existing credit,radio/tv,500<=X<1000,4<=X<7,male single,guarantor,no known property,stores,for free,skilled,yes,yes,bad
16,9956,4,2,28,2,2,<0,delayed previously,business,100<=X<500,unemployed,male single,none,no known property,none,for free,unskilled resident,none,yes,good
0,16709,3,3,28,1,2,0<=X<200,delayed previously,business,<100,unemployed,male single,none,no known property,none,for free,skilled,yes,yes,bad
31,2847,1,1,60,1,2,no checking,existing paid,furniture/equipment,>=1000,4<=X<7,male single,none,real estate,none,own,unemp/unskilled non res,none,yes,bad
22,1937,3,3,52,1,1,>=200,existing paid,business,<100,<1,female div/dep/mar,guarantor,car,none,own,skilled,yes,yes,bad
3,2891,1,4,37,2,1,no checking,critical/other existing credit,radio/tv,<100,unemployed,male div/sep,none,no known property,none,for free,unskilled resident,none,yes,good
13,5662,2,4,26,2,1,0<=X<200,critical/other existing credit,used car,<100,unemployed,male div/sep,none,car,none,rent,skilled,yes,yes,bad
20,7826,3,4,25,1,1,no checking,existing paid,retraining,no known savings,unemployed,male single,none,no known property,none,for free,skilled,none,yes,good
3,16175,4,4,32,2,1,<0,critical/other existing credit,new car,<100,unemployed,male single,co applicant,car,none,rent,skilled,none,yes,bad
13,6047,4,1,38,1,1,<0,existing paid,retraining,<100,unemployed,male single,none,no known property,stores,own,unskilled resident,yes,yes,good
9,9632,4,2,72,1,1,no checking,existing paid,repairs,<100,>=7,male single,none,no known property,bank,for free,skilled,yes,yes,bad
6,5367,3,3,40,1,2,0<=X<200,existing paid,education,no known savings,<1,male single,none,real estate,bank,rent,skilled,yes,yes,good
21,20695,3,2,34,1,2,0<=X<200,all paid,radio/tv,<100,unemployed,female div/dep/mar,none,no known property,stores,for free,skilled,none,yes,good
5,4607,3,4,29,1,1,0<=X<200,delayed previously,furniture/equipment,500<=X<1000,1<=X<4,male single,none,car,none,rent,skilled,none,yes,good
