math score,reading score,writing score,gender,race/ethnicity,parental level of education,lunch,test preparation course
51.0,53.0,42.0,female,group A,some high school,free/reduced,none
69.0,76.0,76.0,female,group B,associate's degree,free/reduced,completed
41.0,43.0,38.0,male,group B,some high school,free/reduced,none
61.0,68.0,70.0,male,group B,bachelor's degree,free/reduced,none
81.0,73.0,75.0,male,group D,some college,standard,none
65.0,72.0,69.0,male,group D,master's degree,standard,none
58.0,60.0,57.0,female,group A,some high school,free/reduced,none
65.0,77.0,75.0,male,group D,master's degree,free/reduced,none
52.0,66.0,61.0,female,group A,high school,standard,none
42.0,58.0,53.0,male,group E,high school,free/reduced,none
84.0,76.0,71.0,female,group D,associate's degree,standard,none
62.0,63.0,67.0,female,group E,some college,free/reduced,completed
62.0,72.0,68.0,male,group D,high school,free/reduced,none
71.0,63.0,65.0,male,group B,master's degree,free/reduced,none
87.0,82.0,88.0,male,group C,associate's degree,standard,completed
52.0,58.0,55.0,female,group A,high school,free/reduced,none
64.0,80.0,81.0,female,group E,bachelor's degree,free/reduced,completed
57.0,38.0,38.0,male,group A,some high school,free/reduced,none
53.0,52.0,52.0,male,group C,some high school,standard,none
49.0,59.0,65.0,male,group A,some high school,free/reduced,completed
70.0,62.0,58.0,male,group D,associate's degree,free/reduced,none
40.0,49.0,49.0,male,group B,some high school,free/reduced,none
68.0,72.0,66.0,male,group E,associate's degree,standard,none
77.0,78.0,82.0,female,group E,bachelor's degree,standard,completed
78.0,78.0,74.0,male,group E,some college,free/reduced,completed
65.0,64.0,60.0,male,group B,some college,free/reduced,none
49.0,55.0,48.0,male,group B,some college,standard,none
74.0,91.0,86.0,female,group E,master's degree,free/reduced,completed
62.0,74.0,70.0,female,group C,high school,free/reduced,none
23.0,34.0,27.0,male,group D,high school,free/reduced,none
52.0,63.0,60.0,female,group D,master's degree,free/reduced,none
54.0,54.0,54.0,male,group C,associate's degree,free/reduced,completed
50.0,56.0,54.0,male,group B,some college,free/reduced,none
45.0,48.0,45.0,male,group C,bachelor's degree,free/reduced,none
67.0,53.0,52.0,male,group A,bachelor's degree,free/reduced,none
44.0,58.0,55.0,male,group D,bachelor's degree,standard,none
61.0,66.0,62.0,male,group C,some college,free/reduced,completed
53.0,68.0,67.0,female,group E,bachelor's degree,standard,completed
62.0,72.0,72.0,female,group E,some high school,standard,completed
58.0,45.0,49.0,male,group A,some college,standard,none
54.0,50.0,52.0,male,group E,some college,standard,none
51.0,65.0,58.0,female,group B,some college,standard,none
69.0,77.0,71.0,male,group C,high school,free/reduced,none
