SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
0.0,17.0,85.6,1130.45,Female,No,No,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',Yes
1.0,48.0,25.55,1375.3,Male,No,No,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Credit card (automatic)',No
0.0,3.0,69.95,212.1,Male,No,No,Yes,No,'Fiber optic',No,No,No,Yes,Yes,No,Month-to-month,No,'Mailed check',Yes
0.0,25.0,39.9,424.3,Female,No,No,No,'No phone service',DSL,Yes,No,No,No,No,No,'One year',No,'Mailed check',No
0.0,32.0,90.1,689.15,Female,Yes,Yes,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,No,'Bank transfer (automatic)',Yes
0.0,12.0,96.9,1336.5,Male,Yes,No,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',Yes
0.0,57.0,19.9,1292.75,Male,Yes,Yes,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',No
0.0,3.0,70.5,260.8,Male,Yes,No,Yes,No,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',Yes
0.0,12.0,104.9,1274.3,Male,No,Yes,Yes,Yes,'Fiber optic',Yes,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',Yes
0.0,26.0,70.3,918.85,Female,No,No,Yes,Yes,DSL,No,No,Yes,Yes,No,No,'Two year',Yes,'Electronic check',No
0.0,9.0,95.35,761.4,Female,No,No,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',Yes
0.0,8.0,89.8,469.65,Female,Yes,No,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',No
0.0,2.0,19.55,68.3,Male,No,Yes,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',No
0.0,10.0,80.15,674.55,Female,No,Yes,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',Yes
0.0,72.0,53.3,1212.2,Male,Yes,No,No,'No phone service',DSL,Yes,Yes,Yes,No,No,No,'One year',No,'Credit card (automatic)',No
0.0,72.0,113.95,7076.75,Male,No,No,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'One year',Yes,'Bank transfer (automatic)',No
0.0,15.0,35.1,482.8,Male,No,Yes,No,'No phone service',DSL,No,No,No,Yes,No,No,'Two year',No,'Mailed check',No
