age,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,deposit
33.0,-195.0,19.0,659.0,1.0,-1.0,0.0,unemployed,single,secondary,no,yes,no,unknown,apr,unknown,yes
30.0,-972.0,12.0,576.0,1.0,-1.0,0.0,management,single,unknown,no,no,no,cellular,jul,unknown,yes
55.0,0.0,31.0,464.0,1.0,-1.0,0.0,management,married,primary,no,no,no,cellular,jun,unknown,yes
56.0,6807.0,28.0,1250.0,7.0,-1.0,0.0,retired,married,tertiary,no,yes,no,cellular,jul,unknown,no
38.0,2039.0,18.0,890.0,2.0,-1.0,0.0,technician,married,secondary,no,yes,no,cellular,may,unknown,yes
53.0,2289.0,29.0,938.0,2.0,-1.0,0.0,retired,married,tertiary,yes,yes,no,cellular,jul,unknown,yes
42.0,-17.0,14.0,1030.0,1.0,-1.0,0.0,admin.,married,primary,no,yes,yes,telephone,apr,unknown,yes
41.0,471.0,14.0,805.0,1.0,-1.0,0.0,housemaid,married,primary,no,yes,no,cellular,jul,unknown,yes
26.0,1131.0,17.0,1149.0,1.0,-1.0,0.0,entrepreneur,single,unknown,no,yes,no,unknown,nov,unknown,yes
33.0,518.0,29.0,553.0,1.0,-1.0,0.0,unemployed,single,primary,no,yes,no,cellular,jan,unknown,yes
50.0,37.0,19.0,1091.0,1.0,-1.0,0.0,management,divorced,primary,no,no,no,cellular,aug,unknown,yes
35.0,758.0,17.0,556.0,1.0,-1.0,0.0,technician,married,secondary,no,yes,yes,cellular,may,unknown,yes
37.0,-1442.0,2.0,726.0,1.0,-1.0,0.0,admin.,married,primary,no,yes,no,cellular,may,unknown,yes
49.0,-170.0,2.0,1071.0,1.0,-1.0,0.0,blue-collar,divorced,secondary,no,yes,no,cellular,mar,unknown,yes
60.0,3287.0,14.0,486.0,1.0,-1.0,0.0,retired,divorced,secondary,no,no,no,cellular,nov,unknown,no
29.0,1843.0,2.0,696.0,4.0,-1.0,0.0,technician,single,secondary,no,yes,no,cellular,jun,unknown,yes
57.0,930.0,15.0,581.0,1.0,-1.0,0.0,retired,married,tertiary,no,no,no,cellular,dec,unknown,yes
48.0,-150.0,30.0,554.0,1.0,-1.0,0.0,services,married,tertiary,no,yes,yes,unknown,jul,unknown,yes
34.0,-637.0,10.0,963.0,1.0,-1.0,0.0,blue-collar,divorced,primary,yes,yes,no,unknown,jul,unknown,yes
53.0,935.0,11.0,2081.0,1.0,-1.0,0.0,blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,yes
34.0,-637.0,8.0,878.0,2.0,-1.0,0.0,blue-collar,divorced,secondary,no,yes,no,cellular,jul,unknown,yes
30.0,703.0,19.0,438.0,1.0,-1.0,0.0,technician,single,tertiary,no,yes,no,unknown,may,unknown,yes
41.0,2266.0,21.0,841.0,1.0,-1.0,0.0,technician,divorced,secondary,no,no,no,cellular,may,unknown,yes
50.0,-306.0,10.0,667.0,3.0,-1.0,0.0,management,divorced,primary,no,no,no,cellular,may,unknown,yes
31.0,-633.0,29.0,112.0,4.0,-1.0,0.0,management,married,tertiary,no,yes,yes,unknown,jun,unknown,no
41.0,1207.0,6.0,935.0,1.0,-1.0,0.0,admin.,married,unknown,no,yes,yes,cellular,may,unknown,yes
31.0,0.0,27.0,1032.0,2.0,-1.0,0.0,blue-collar,married,secondary,no,yes,no,unknown,jul,unknown,yes
31.0,1182.0,8.0,658.0,2.0,-1.0,0.0,self-employed,divorced,tertiary,no,yes,no,cellular,may,unknown,yes
53.0,839.0,19.0,1388.0,1.0,-1.0,0.0,management,married,tertiary,yes,yes,no,unknown,jun,unknown,yes
36.0,-209.0,18.0,1073.0,1.0,-1.0,0.0,services,divorced,primary,yes,yes,no,cellular,aug,unknown,yes
48.0,3371.0,31.0,881.0,2.0,-1.0,0.0,management,divorced,unknown,no,yes,no,cellular,may,unknown,yes
31.0,1150.0,10.0,863.0,3.0,-1.0,0.0,management,single,secondary,no,yes,yes,cellular,nov,unknown,yes
