duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,class
12.0,1495.0,2.0,2.0,35.0,2.0,1.0,no checking,critical/other existing credit,business,<100,4<=X<7,male div/sep,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,good
12.0,2028.0,4.0,2.0,36.0,2.0,1.0,>=200,delayed previously,other,>=1000,>=7,female div/dep/mar,none,real estate,none,own,skilled,none,yes,good
36.0,1209.0,4.0,3.0,29.0,1.0,1.0,<0,existing paid,radio/tv,<100,<1,male single,none,life insurance,none,own,skilled,yes,yes,bad
30.0,1258.0,4.0,2.0,35.0,1.0,1.0,>=200,existing paid,repairs,500<=X<1000,<1,male single,none,car,none,own,skilled,none,no,good
24.0,695.0,3.0,1.0,23.0,1.0,1.0,no checking,all paid,new car,100<=X<500,<1,female div/dep/mar,none,no known property,none,rent,high qualif/self emp/mgmt,none,yes,good
6.0,2431.0,2.0,4.0,28.0,2.0,1.0,0<=X<200,no credits/all paid,new car,>=1000,<1,male single,guarantor,car,stores,rent,skilled,yes,yes,bad
6.0,1542.0,1.0,2.0,35.0,1.0,1.0,no checking,existing paid,education,>=1000,unemployed,male div/sep,guarantor,car,bank,own,skilled,yes,no,good
6.0,2724.0,4.0,2.0,57.0,1.0,1.0,>=200,existing paid,business,500<=X<1000,<1,male single,none,real estate,bank,own,skilled,yes,yes,good
12.0,937.0,4.0,4.0,47.0,1.0,1.0,0<=X<200,delayed previously,furniture/equipment,no known savings,<1,male div/sep,guarantor,real estate,none,for free,skilled,none,yes,good
36.0,3559.0,4.0,4.0,33.0,1.0,1.0,no checking,existing paid,repairs,<100,<1,male single,none,no known property,none,own,high qualif/self emp/mgmt,none,yes,bad
18.0,2721.0,4.0,4.0,27.0,2.0,1.0,no checking,existing paid,new car,100<=X<500,unemployed,male single,none,no known property,none,rent,skilled,none,yes,bad
15.0,3917.0,2.0,4.0,49.0,1.0,1.0,<0,existing paid,education,<100,4<=X<7,male single,none,real estate,none,own,skilled,yes,yes,good
36.0,3650.0,4.0,4.0,25.0,1.0,1.0,no checking,existing paid,furniture/equipment,<100,1<=X<4,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,bad
24.0,1520.0,4.0,2.0,27.0,2.0,1.0,no checking,no credits/all paid,furniture/equipment,100<=X<500,4<=X<7,male div/sep,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,bad
60.0,3917.0,2.0,2.0,25.0,1.0,1.0,0<=X<200,all paid,new car,no known savings,unemployed,male mar/wid,none,car,none,for free,unemp/unskilled non res,none,yes,good
24.0,3026.0,2.0,1.0,28.0,2.0,1.0,<0,delayed previously,radio/tv,100<=X<500,unemployed,female div/dep/mar,none,real estate,none,own,skilled,none,yes,bad
12.0,3448.0,4.0,4.0,28.0,2.0,1.0,0<=X<200,existing paid,radio/tv,no known savings,4<=X<7,male single,none,car,none,own,skilled,yes,yes,good
12.0,1266.0,2.0,2.0,26.0,1.0,1.0,no checking,all paid,other,<100,4<=X<7,female div/dep/mar,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,good
18.0,1202.0,3.0,3.0,39.0,1.0,1.0,>=200,all paid,new car,<100,4<=X<7,female div/dep/mar,none,real estate,none,own,unskilled resident,yes,yes,good
24.0,1275.0,4.0,4.0,29.0,1.0,1.0,<0,all paid,domestic appliance,500<=X<1000,4<=X<7,female div/dep/mar,guarantor,car,none,own,skilled,none,yes,bad
15.0,2345.0,3.0,2.0,46.0,1.0,1.0,>=200,critical/other existing credit,radio/tv,100<=X<500,<1,male mar/wid,none,real estate,bank,own,skilled,none,yes,good
18.0,707.0,2.0,2.0,23.0,1.0,1.0,no checking,existing paid,retraining,<100,<1,female div/dep/mar,none,car,none,own,high qualif/self emp/mgmt,yes,yes,bad
15.0,2681.0,4.0,2.0,23.0,2.0,1.0,<0,no credits/all paid,new car,no known savings,1<=X<4,male div/sep,none,real estate,stores,own,high qualif/self emp/mgmt,yes,yes,bad
18.0,1231.0,4.0,4.0,26.0,2.0,1.0,0<=X<200,no credits/all paid,furniture/equipment,no known savings,<1,male single,none,car,none,own,skilled,yes,yes,good
24.0,958.0,1.0,4.0,33.0,2.0,1.0,<0,critical/other existing credit,other,<100,>=7,male single,none,life insurance,none,own,skilled,yes,yes,good
24.0,5951.0,4.0,2.0,36.0,1.0,1.0,no checking,existing paid,business,>=1000,1<=X<4,male single,none,life insurance,stores,rent,skilled,none,yes,good
9.0,1436.0,4.0,2.0,35.0,1.0,1.0,<0,existing paid,new car,<100,<1,male div/sep,none,car,none,own,skilled,yes,yes,good
36.0,2108.0,4.0,2.0,32.0,1.0,1.0,0<=X<200,all paid,radio/tv,no known savings,<1,male mar/wid,none,car,bank,for free,skilled,none,no,good
24.0,1547.0,3.0,4.0,54.0,1.0,1.0,0<=X<200,existing paid,furniture/equipment,no known savings,>=7,female div/dep/mar,co applicant,real estate,stores,for free,skilled,yes,yes,good
36.0,858.0,2.0,9.0,39.0,1.0,1.0,no checking,all paid,new car,>=1000,unemployed,female div/dep/mar,guarantor,no known property,none,own,high qualif/self emp/mgmt,none,yes,good
15.0,1344.0,3.0,2.0,29.0,2.0,1.0,no checking,critical/other existing credit,business,<100,4<=X<7,male div/sep,none,life insurance,none,rent,skilled,none,yes,good
24.0,1452.0,3.0,4.0,29.0,2.0,1.0,<0,all paid,radio/tv,<100,4<=X<7,male single,guarantor,car,none,for free,skilled,none,yes,good
