math score,reading score,writing score,gender,race/ethnicity,parental level of education,lunch,test preparation course
50,53,54,male,group C,associate's degree,free/reduced,completed
73,81,81,female,group C,master's degree,free/reduced,completed
49,65,65,female,group D,master's degree,free/reduced,none
37,38,34,female,group D,some college,free/reduced,none
56,60,55,male,group E,some high school,free/reduced,none
63,67,65,male,group D,associate's degree,standard,none
68,80,81,female,group B,high school,free/reduced,completed
71,81,76,female,group C,high school,standard,none
78,91,90,male,group E,some college,standard,completed
90,81,84,male,group E,high school,standard,none
45,52,44,male,group C,high school,standard,none
63,55,63,male,group D,associate's degree,standard,none
58,75,73,female,group C,some college,free/reduced,completed
54,74,78,female,group D,high school,free/reduced,completed
35,53,46,female,group D,high school,standard,none
46,55,54,male,group B,master's degree,standard,none
59,60,62,female,group E,some college,standard,completed
83,86,80,male,group E,some high school,free/reduced,none
66,71,67,female,group A,some high school,free/reduced,completed
48,54,50,male,group B,some high school,free/reduced,none
42,36,43,female,group B,bachelor's degree,free/reduced,none
57,75,68,male,group B,high school,free/reduced,completed
75,69,72,male,group C,associate's degree,standard,completed
77,82,77,female,group C,high school,standard,completed
84,99,95,male,group A,associate's degree,standard,none
29,25,22,female,group C,some high school,free/reduced,none
85,80,87,female,group D,some high school,standard,completed
71,61,59,male,group B,some college,standard,completed
73,60,56,female,group A,high school,free/reduced,completed
58,63,54,female,group C,some high school,standard,none
68,73,65,female,group D,high school,standard,none
73,68,71,male,group C,associate's degree,standard,completed
77,78,79,male,group D,associate's degree,free/reduced,none
47,63,51,female,group B,some college,free/reduced,none
51,63,64,female,group E,high school,standard,none
71,88,83,female,group E,some college,standard,none
56,61,56,female,group E,associate's degree,free/reduced,completed
69,80,78,female,group C,bachelor's degree,standard,none
66,62,58,male,group B,bachelor's degree,standard,none
67,80,79,female,group C,some high school,standard,none
93,81,79,male,group D,some college,free/reduced,completed
88,95,93,female,group E,some college,standard,completed
84,83,85,male,group C,some college,free/reduced,completed
69,81,73,male,group A,some high school,standard,none
80,94,92,male,group C,some college,standard,completed
83,86,85,female,group E,high school,free/reduced,completed
78,79,76,male,group C,some high school,standard,none
88,97,95,female,group B,associate's degree,free/reduced,completed
58,62,63,female,group B,bachelor's degree,free/reduced,completed
59,67,69,female,group D,master's degree,standard,none
76,64,63,female,group A,high school,free/reduced,none
67,64,60,male,group C,some college,free/reduced,none
74,80,81,female,group C,high school,free/reduced,completed
54,67,55,female,group A,bachelor's degree,free/reduced,none
29,26,27,male,group E,high school,free/reduced,completed
96,98,93,male,group E,bachelor's degree,standard,completed
38,40,43,male,group C,associate's degree,free/reduced,none
55,76,74,female,group D,bachelor's degree,free/reduced,completed
15,24,18,male,group A,high school,standard,none
50,41,46,female,group E,bachelor's degree,free/reduced,completed
85,81,79,male,group B,some college,standard,none
75,94,88,female,group A,high school,free/reduced,completed
58,58,54,male,group C,bachelor's degree,free/reduced,completed
84,98,100,female,group B,some college,free/reduced,completed
48,40,43,male,group C,associate's degree,free/reduced,none
79,75,71,male,group B,master's degree,standard,completed
75,75,75,male,group D,some high school,standard,none
63,71,67,female,group C,some high school,free/reduced,completed
33,30,33,male,group A,some high school,free/reduced,none
64,74,69,male,group D,bachelor's degree,free/reduced,none
46,41,36,male,group B,high school,free/reduced,none
64,82,78,female,group D,bachelor's degree,standard,none
87,82,74,male,group D,master's degree,standard,none
76,79,75,male,group A,bachelor's degree,standard,none
61,47,55,male,group B,associate's degree,free/reduced,none
87,95,93,female,group E,master's degree,free/reduced,completed
45,56,56,female,group D,some college,standard,none
91,97,99,female,group B,high school,standard,completed
75,74,75,female,group A,high school,free/reduced,none
64,48,48,female,group D,some college,standard,completed
71,63,65,female,group C,bachelor's degree,standard,none
81,67,62,female,group D,bachelor's degree,standard,completed
95,99,94,female,group A,associate's degree,standard,completed
63,68,65,female,group C,some high school,free/reduced,completed
61,69,67,female,group A,some high school,free/reduced,none
80,78,75,male,group C,some high school,standard,none
51,70,77,female,group A,some high school,free/reduced,completed
54,58,56,male,group E,master's degree,standard,none
43,57,53,female,group C,high school,free/reduced,none
72,82,79,male,group C,some high school,free/reduced,completed
67,68,75,female,group B,bachelor's degree,standard,none
64,86,81,female,group D,master's degree,free/reduced,completed
64,81,77,male,group C,associate's degree,standard,none
72,93,85,female,group A,associate's degree,free/reduced,completed
56,54,56,male,group D,some high school,free/reduced,completed
96,97,93,female,group E,some high school,standard,none
79,79,85,female,group D,some high school,standard,none
53,57,50,male,group A,bachelor's degree,standard,none
61,61,58,female,group D,high school,free/reduced,completed
55,60,59,female,group B,some high school,standard,none
80,86,85,female,group C,master's degree,free/reduced,completed
80,91,87,female,group E,some high school,standard,none
36,41,44,male,group A,some high school,free/reduced,none
49,44,41,male,group A,high school,free/reduced,none
77,77,79,female,group C,some college,free/reduced,completed
59,66,57,male,group B,associate's degree,free/reduced,completed
78,92,86,female,group C,some high school,standard,completed
71,69,70,male,group C,master's degree,standard,none
67,82,79,female,group E,bachelor's degree,free/reduced,completed
81,81,78,male,group E,some high school,standard,completed
56,63,58,male,group A,associate's degree,free/reduced,none
56,64,55,male,group D,bachelor's degree,standard,none
93,100,97,male,group E,high school,standard,completed
62,71,73,male,group B,associate's degree,free/reduced,completed
65,84,75,female,group D,high school,free/reduced,completed
35,41,38,male,group D,some college,free/reduced,none
81,82,79,male,group C,some college,standard,none
71,76,75,female,group E,bachelor's degree,free/reduced,completed
68,72,69,male,group E,master's degree,standard,completed
75,78,78,female,group E,bachelor's degree,free/reduced,none
70,63,69,female,group D,master's degree,free/reduced,none
78,80,75,female,group E,high school,free/reduced,completed
59,65,69,male,group B,bachelor's degree,free/reduced,none
67,67,67,female,group B,some college,free/reduced,none
76,65,64,male,group E,bachelor's degree,free/reduced,none
69,84,83,female,group A,associate's degree,standard,none
42,54,55,male,group C,bachelor's degree,free/reduced,completed
50,45,42,male,group A,some college,free/reduced,none
62,67,68,female,group B,bachelor's degree,free/reduced,completed
