SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
0,2,32.29,91.96104266839346,Female,No,No,No,'No phone service',DSL,No,No,No,No,No,No,Month-to-month,No,'Mailed check',No
0,28,110.9,3731.9863728025375,Female,Yes,Yes,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',No
0,64,36.4,4983.846330778022,Female,Yes,Yes,No,'No phone service',DSL,Yes,Yes,Yes,Yes,No,No,'Two year',No,'Bank transfer (automatic)',No
0,0,82.51,616.6203547995495,Male,No,No,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,No,'Electronic check',Yes
0,30,18.7,92.61647890370566,Male,No,No,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',No
1,42,118.2,2146.9470899842195,Female,No,No,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',Yes
0,69,49.67,4999.856481445217,Male,Yes,Yes,No,'No phone service',No,Yes,Yes,Yes,Yes,Yes,No,'Two year',No,'Bank transfer (automatic)',No
1,58,19.2,1023.518094074534,Male,No,No,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',No
0,26,20.88,812.5516425224449,Female,Yes,Yes,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',No
0,26,18.25,19.38948344881009,Female,No,No,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',No
1,20,18.28,21.36812437174529,Male,No,Yes,Yes,No,'Fiber optic','No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',No
0,35,78.2,1107.8902293876713,Female,No,Yes,Yes,No,DSL,Yes,No,No,No,No,No,'One year',Yes,'Electronic check',No
0,16,82.95,3205.821025602457,Male,No,Yes,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,No,No,'One year',No,'Bank transfer (automatic)',Yes
0,49,54.27,3782.253993074169,Male,Yes,Yes,No,'No phone service',DSL,Yes,Yes,No,Yes,Yes,No,'One year',No,'Bank transfer (automatic)',No
0,71,104.14,6122.287947852462,Male,Yes,Yes,Yes,Yes,'Fiber optic',Yes,No,Yes,Yes,No,Yes,'One year',Yes,'Credit card (automatic)',No
0,43,32.22,1125.8766517569147,Male,No,No,No,'No phone service',DSL,Yes,No,No,No,No,No,Month-to-month,No,'Bank transfer (automatic)',No
1,34,63.07,2862.12279135021,Male,Yes,No,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,'Electronic check',No
0,66,22.55,847.732220351613,Male,Yes,Yes,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',No
0,29,77.63,728.9117283135682,Female,No,No,Yes,No,'Fiber optic',Yes,No,Yes,Yes,No,No,Month-to-month,Yes,'Electronic check',Yes
0,59,111.1,6126.221418681491,Male,No,No,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'One year',Yes,'Bank transfer (automatic)',No
0,0,66.51,18.848421426160684,Female,No,No,Yes,Yes,DSL,No,No,No,'No internet service',No,No,Month-to-month,Yes,'Credit card (automatic)',Yes
1,7,110.95,5783.5612261394745,Female,Yes,No,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'One year',Yes,'Electronic check',Yes
