age,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,deposit
47,-3020,3,243,1,1,1,blue-collar,married,secondary,no,yes,yes,cellular,may,unknown,no
41,-3058,10,400,1,3,1,entrepreneur,divorced,primary,yes,yes,yes,cellular,may,unknown,yes
63,-3054,10,83,1,2,1,retired,divorced,tertiary,yes,no,no,unknown,jun,unknown,no
28,-3058,17,596,1,7,1,blue-collar,single,primary,yes,no,yes,unknown,may,unknown,yes
44,-3058,14,226,1,37,6,management,divorced,tertiary,no,yes,no,cellular,nov,other,yes
33,-3058,11,309,1,2,1,technician,divorced,secondary,no,yes,no,cellular,jul,unknown,no
22,3687,12,342,1,129,14,student,single,tertiary,no,no,no,cellular,may,failure,yes
30,-3058,29,232,1,-1,1,admin.,single,secondary,no,no,yes,cellular,may,success,no
59,10223,3,754,1,59,1,self-employed,married,secondary,no,no,no,cellular,sep,unknown,no
43,713,5,100,1,176,12,blue-collar,married,secondary,no,yes,yes,cellular,feb,success,yes
27,-3058,29,380,2,2,1,student,single,secondary,no,no,yes,cellular,jul,unknown,no
36,7479,3,147,1,8,1,blue-collar,married,tertiary,no,no,no,cellular,jun,unknown,no
55,-3058,18,119,3,-1,1,retired,divorced,secondary,no,yes,yes,cellular,may,unknown,no
29,-1125,26,526,1,-1,1,student,single,primary,yes,no,yes,unknown,aug,success,yes
24,-3058,7,484,1,21,1,services,single,primary,no,yes,yes,cellular,may,unknown,yes
39,-3042,26,790,1,168,4,technician,married,secondary,no,yes,yes,cellular,nov,success,yes
43,-3058,9,409,1,-1,1,management,divorced,secondary,yes,no,yes,cellular,may,unknown,no
31,-630,21,156,1,5,2,management,single,tertiary,no,no,yes,cellular,nov,failure,no
36,-3043,20,158,1,5,1,technician,married,unknown,no,yes,yes,cellular,mar,failure,no
69,-2848,23,156,1,-1,1,retired,divorced,secondary,no,yes,yes,cellular,oct,unknown,no
34,-3027,26,489,1,-1,1,admin.,married,secondary,no,no,no,cellular,may,unknown,yes
52,-3058,7,492,1,22,1,unknown,married,secondary,no,yes,yes,cellular,may,unknown,no
49,-3051,21,16,1,8,1,management,divorced,primary,no,yes,yes,cellular,may,unknown,no
51,-3058,5,427,1,1,1,management,married,unknown,no,no,yes,cellular,may,unknown,yes
56,-3048,30,69,1,66,2,unknown,married,unknown,no,no,yes,cellular,jan,failure,no
27,29215,4,88,1,7,1,retired,married,tertiary,no,no,no,cellular,may,unknown,no
