duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,class
32,3054,4,4,39,2,1,no checking,critical/other existing credit,radio/tv,<100,>=7,male single,co applicant,car,stores,own,skilled,yes,yes,bad
13,6364,4,2,43,2,1,<0,no credits/all paid,domestic appliance,no known savings,>=7,male single,none,car,none,own,skilled,none,yes,bad
12,1964,2,1,51,1,1,>=200,existing paid,radio/tv,500<=X<1000,4<=X<7,male single,none,car,none,rent,skilled,none,yes,good
26,7350,4,4,62,2,1,no checking,no credits/all paid,education,<100,>=7,male single,none,no known property,none,own,unskilled resident,none,yes,bad
11,1284,1,1,45,1,1,no checking,all paid,used car,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,yes,yes,good
48,517,4,2,31,1,1,<0,existing paid,furniture/equipment,>=1000,>=7,male single,none,real estate,none,own,skilled,none,yes,bad
11,3226,1,2,32,2,1,0<=X<200,no credits/all paid,furniture/equipment,>=1000,4<=X<7,female div/dep/mar,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,good
14,607,1,2,36,2,1,>=200,existing paid,business,<100,4<=X<7,male mar/wid,none,real estate,none,own,unskilled resident,none,yes,good
11,3844,2,2,55,2,1,>=200,no credits/all paid,radio/tv,<100,4<=X<7,male single,none,life insurance,none,own,skilled,yes,no,good
8,1143,4,2,38,1,1,<0,existing paid,furniture/equipment,<100,4<=X<7,male div/sep,none,no known property,stores,own,skilled,none,yes,good
10,1481,4,3,31,2,1,0<=X<200,existing paid,other,no known savings,1<=X<4,female div/dep/mar,guarantor,car,none,rent,unskilled resident,yes,yes,bad
41,5208,1,4,27,2,1,<0,critical/other existing credit,domestic appliance,100<=X<500,<1,male single,co applicant,life insurance,none,own,skilled,yes,no,bad
39,5291,4,4,28,2,1,<0,critical/other existing credit,repairs,100<=X<500,4<=X<7,male single,none,car,none,own,skilled,none,yes,bad
25,6153,1,3,29,1,1,0<=X<200,delayed previously,repairs,<100,<1,male mar/wid,none,no known property,none,rent,skilled,none,yes,bad
25,4607,2,4,26,1,1,no checking,existing paid,used car,<100,unemployed,male div/sep,none,life insurance,bank,own,skilled,yes,yes,bad
18,4445,4,4,72,1,1,0<=X<200,existing paid,radio/tv,no known savings,>=7,male mar/wid,none,no known property,bank,for free,unskilled resident,none,yes,good
8,393,2,3,43,1,1,no checking,existing paid,business,<100,unemployed,male div/sep,none,real estate,none,own,skilled,yes,yes,good
10,7749,2,4,37,2,1,<0,no credits/all paid,new car,<100,unemployed,male single,guarantor,real estate,none,rent,unemp/unskilled non res,yes,no,good
25,5521,2,2,21,1,1,no checking,all paid,furniture/equipment,<100,4<=X<7,male single,none,no known property,none,own,skilled,yes,yes,bad
21,10817,3,2,22,2,1,<0,no credits/all paid,furniture/equipment,100<=X<500,1<=X<4,male single,none,no known property,stores,rent,skilled,yes,yes,good
38,1235,4,2,20,1,1,no checking,existing paid,other,no known savings,<1,female div/dep/mar,none,no known property,none,own,skilled,none,yes,good
19,5630,2,4,33,1,1,<0,existing paid,domestic appliance,100<=X<500,unemployed,male single,none,car,none,rent,unskilled resident,none,yes,good
6,256,4,4,71,1,1,>=200,existing paid,radio/tv,<100,<1,male single,none,life insurance,none,rent,unemp/unskilled non res,yes,yes,bad
30,4826,4,4,29,1,1,<0,all paid,furniture/equipment,no known savings,<1,male single,none,car,none,own,unemp/unskilled non res,yes,no,bad
8,354,4,2,57,1,1,no checking,existing paid,radio/tv,no known savings,>=7,male single,co applicant,real estate,none,own,skilled,yes,yes,good
37,4998,1,1,37,1,1,>=200,existing paid,new car,>=1000,1<=X<4,male single,co applicant,real estate,bank,own,skilled,none,yes,good
