math score,reading score,writing score,gender,race/ethnicity,parental level of education,lunch,test preparation course
55,69,73,female,group E,master's degree,standard,completed
63,72,62,male,group C,high school,free/reduced,none
56,62,66,female,group B,some college,free/reduced,none
71,86,78,male,group D,some college,free/reduced,none
35,62,34,male,group A,master's degree,free/reduced,none
69,65,70,male,group E,some high school,standard,none
52,85,64,female,group D,bachelor's degree,free/reduced,none
91,94,95,male,group E,master's degree,free/reduced,completed
68,75,71,female,group B,some college,free/reduced,none
81,68,79,female,group D,high school,free/reduced,none
80,80,83,male,group E,some college,free/reduced,completed
76,65,86,female,group E,high school,standard,completed
77,74,72,male,group C,bachelor's degree,free/reduced,completed
63,60,66,female,group A,some college,free/reduced,none
74,84,77,female,group E,some high school,standard,completed
84,81,74,female,group D,high school,free/reduced,none
58,45,65,male,group B,some college,standard,completed
70,57,65,male,group E,associate's degree,standard,none
57,58,69,female,group C,bachelor's degree,free/reduced,none
53,64,64,female,group A,some college,free/reduced,none
67,76,79,female,group E,associate's degree,free/reduced,completed
60,70,69,female,group C,master's degree,free/reduced,none
77,65,89,male,group C,some college,free/reduced,completed
71,79,68,female,group A,some college,free/reduced,completed
73,76,87,female,group E,high school,standard,completed
88,94,98,female,group B,master's degree,standard,none
60,57,44,female,group A,high school,free/reduced,none
62,52,74,female,group C,high school,free/reduced,completed
90,96,73,male,group D,some high school,standard,completed
63,67,71,female,group D,high school,free/reduced,completed
65,61,62,male,group B,high school,free/reduced,none
74,71,80,male,group A,master's degree,free/reduced,completed
81,90,85,female,group D,high school,standard,completed
78,80,76,male,group B,master's degree,standard,none
64,69,70,female,group E,associate's degree,free/reduced,none
83,70,78,female,group E,some high school,standard,completed
79,71,76,male,group B,associate's degree,standard,completed
70,66,69,male,group C,some college,standard,completed
79,74,76,male,group E,high school,standard,completed
57,68,55,female,group E,high school,standard,none
78,74,85,female,group A,associate's degree,standard,completed
33,45,42,female,group D,some high school,free/reduced,completed
51,55,49,female,group A,master's degree,free/reduced,none
92,85,79,female,group C,some college,standard,completed
73,72,76,male,group C,some college,free/reduced,completed
80,72,72,male,group E,associate's degree,standard,none
64,77,69,female,group C,master's degree,standard,none
77,61,86,female,group A,bachelor's degree,standard,completed
74,93,84,male,group E,master's degree,standard,none
72,74,68,male,group E,some college,standard,none
72,100,84,female,group D,some college,standard,completed
81,82,80,male,group C,associate's degree,free/reduced,completed
79,88,71,male,group D,bachelor's degree,free/reduced,none
76,78,82,female,group A,high school,standard,none
73,79,73,male,group E,bachelor's degree,free/reduced,none
90,82,94,female,group D,master's degree,standard,none
91,82,81,female,group E,master's degree,free/reduced,none
62,68,68,male,group B,bachelor's degree,free/reduced,completed
72,74,68,female,group B,bachelor's degree,standard,completed
95,77,85,male,group E,high school,free/reduced,none
64,64,78,male,group A,master's degree,standard,none
79,75,85,male,group E,some high school,standard,completed
83,70,53,female,group C,some high school,free/reduced,none
54,67,63,female,group A,associate's degree,free/reduced,none
87,86,74,male,group B,master's degree,standard,none
76,70,68,male,group B,some high school,free/reduced,none
87,83,81,male,group E,some college,standard,none
59,61,63,female,group A,bachelor's degree,standard,none
66,74,74,female,group D,high school,standard,completed
53,60,47,female,group B,associate's degree,free/reduced,none
69,62,53,male,group A,associate's degree,free/reduced,completed
73,60,71,male,group E,associate's degree,standard,none
70,60,51,male,group C,some college,free/reduced,none
69,80,80,male,group C,some college,standard,completed
76,64,79,male,group E,high school,free/reduced,none
37,43,38,female,group D,master's degree,free/reduced,none
57,66,62,male,group D,some high school,free/reduced,completed
53,47,67,female,group B,high school,free/reduced,none
67,65,68,male,group D,high school,standard,completed
68,62,70,female,group B,high school,free/reduced,none
71,76,92,female,group C,some college,free/reduced,completed
84,83,78,female,group D,some college,free/reduced,completed
64,56,68,female,group A,high school,standard,none
71,77,55,male,group B,some college,free/reduced,none
72,61,68,male,group E,some college,standard,none
67,66,62,male,group A,some college,standard,none
84,68,75,female,group B,some high school,free/reduced,none
50,57,63,male,group E,high school,free/reduced,none
58,60,68,female,group E,some college,free/reduced,none
54,66,65,female,group D,associate's degree,free/reduced,none
81,83,72,male,group A,master's degree,standard,none
50,41,50,male,group C,associate's degree,free/reduced,completed
83,97,62,male,group B,some high school,free/reduced,none
58,74,50,male,group A,some high school,free/reduced,none
78,79,79,female,group C,master's degree,free/reduced,none
95,63,85,female,group B,bachelor's degree,standard,none
85,100,79,female,group B,associate's degree,free/reduced,none
62,71,88,female,group A,master's degree,free/reduced,completed
66,46,56,female,group D,master's degree,free/reduced,none
59,73,59,male,group D,high school,free/reduced,none
74,65,79,female,group D,associate's degree,free/reduced,completed
65,64,63,male,group A,some college,free/reduced,none
92,80,69,female,group E,some college,free/reduced,completed
44,45,54,female,group A,master's degree,free/reduced,none
70,73,85,female,group D,high school,free/reduced,completed
50,42,39,male,group C,bachelor's degree,free/reduced,none
82,84,74,male,group A,high school,standard,completed
51,59,55,male,group D,master's degree,standard,none
84,84,86,male,group A,high school,free/reduced,none
79,70,58,male,group B,master's degree,free/reduced,none
100,99,94,male,group B,master's degree,standard,none
59,70,73,female,group C,associate's degree,free/reduced,completed
50,60,58,female,group D,some high school,standard,none
66,57,72,male,group B,some college,free/reduced,completed
56,62,51,male,group D,associate's degree,free/reduced,none
68,62,68,male,group C,high school,free/reduced,completed
70,75,64,male,group B,some college,free/reduced,none
99,87,75,female,group B,bachelor's degree,standard,none
75,76,71,male,group B,some college,standard,completed
79,64,75,male,group D,some college,standard,completed
76,82,83,female,group C,bachelor's degree,free/reduced,completed
75,84,53,male,group D,bachelor's degree,standard,none
61,58,55,male,group E,some college,free/reduced,none
64,63,72,female,group C,some college,free/reduced,none
81,70,88,female,group E,master's degree,free/reduced,completed
78,73,73,male,group A,bachelor's degree,standard,none
77,78,72,male,group D,bachelor's degree,standard,completed
69,76,75,female,group B,bachelor's degree,standard,none
69,83,95,female,group E,some college,standard,completed
78,65,53,female,group D,associate's degree,standard,completed
43,54,47,male,group D,bachelor's degree,standard,none
68,85,77,female,group B,bachelor's degree,standard,none
100,100,100,female,group A,some college,standard,completed
73,61,73,female,group B,high school,free/reduced,completed
69,67,75,female,group C,bachelor's degree,standard,none
94,92,96,male,group C,master's degree,free/reduced,none
68,66,72,female,group D,bachelor's degree,standard,completed
82,69,77,female,group D,master's degree,free/reduced,completed
53,73,55,female,group A,some college,free/reduced,none
68,67,69,female,group A,bachelor's degree,standard,none
80,83,91,female,group A,high school,standard,completed
46,70,72,male,group D,associate's degree,standard,completed
61,79,65,male,group D,high school,free/reduced,completed
43,50,36,male,group B,some college,free/reduced,none
60,61,52,male,group E,some college,free/reduced,completed
57,62,59,female,group C,some college,standard,none
52,68,67,female,group A,some high school,free/reduced,none
62,64,57,male,group A,high school,free/reduced,none
70,92,89,female,group B,master's degree,free/reduced,completed
76,87,84,female,group C,high school,free/reduced,completed
64,85,72,female,group D,associate's degree,free/reduced,completed
66,66,71,female,group A,master's degree,free/reduced,completed
49,83,52,female,group A,some high school,standard,none
79,90,82,male,group E,some college,standard,completed
66,71,61,male,group C,some college,free/reduced,none
73,74,59,male,group C,high school,free/reduced,completed
67,58,69,female,group D,some college,free/reduced,completed
54,75,72,female,group B,bachelor's degree,free/reduced,none
86,72,67,male,group C,bachelor's degree,standard,completed
60,59,69,female,group C,bachelor's degree,standard,none
82,91,94,female,group E,some high school,standard,completed
75,96,90,female,group E,some high school,standard,completed
58,55,51,male,group A,some high school,standard,none
66,77,86,female,group D,master's degree,free/reduced,completed
70,81,87,female,group A,master's degree,free/reduced,completed
81,80,75,male,group C,associate's degree,free/reduced,none
71,74,70,male,group E,high school,standard,none
66,73,48,male,group C,some college,free/reduced,completed
71,78,77,female,group D,master's degree,standard,completed
67,63,71,female,group D,some high school,free/reduced,completed
82,93,79,male,group E,bachelor's degree,standard,none
44,63,65,female,group B,some college,free/reduced,none
60,58,50,male,group D,high school,free/reduced,none
56,53,53,male,group A,associate's degree,free/reduced,none
73,66,71,female,group C,high school,standard,none
59,59,69,female,group E,bachelor's degree,free/reduced,none
83,80,81,male,group C,some high school,free/reduced,none
58,63,58,male,group A,high school,standard,completed
62,54,63,male,group E,master's degree,free/reduced,none
55,33,40,male,group C,bachelor's degree,free/reduced,none
67,94,100,female,group D,some high school,standard,completed
68,77,78,female,group D,associate's degree,standard,completed
41,50,51,male,group D,high school,free/reduced,none
67,71,59,female,group C,master's degree,free/reduced,completed
43,48,44,male,group B,some high school,free/reduced,none
86,92,85,female,group A,high school,standard,none
47,60,62,male,group C,associate's degree,free/reduced,none
83,83,77,male,group B,some college,standard,none
71,71,71,female,group E,some high school,standard,none
64,63,59,male,group A,associate's degree,standard,completed
39,47,52,female,group D,high school,free/reduced,none
53,74,70,female,group A,associate's degree,standard,none
77,68,64,male,group A,some high school,standard,none
84,81,81,female,group B,some high school,standard,completed
84,83,100,female,group C,associate's degree,standard,completed
79,79,71,male,group A,some high school,standard,completed
87,86,68,male,group A,high school,free/reduced,completed
59,73,70,female,group A,associate's degree,free/reduced,completed
59,36,30,male,group B,high school,free/reduced,none
46,54,39,male,group C,associate's degree,free/reduced,none
66,79,65,female,group B,some high school,free/reduced,completed
89,85,72,male,group C,master's degree,standard,none
86,82,64,male,group C,bachelor's degree,free/reduced,none
56,68,59,male,group A,high school,free/reduced,none
70,75,72,female,group C,bachelor's degree,free/reduced,none
63,67,47,male,group E,bachelor's degree,free/reduced,completed
59,65,25,female,group A,bachelor's degree,standard,none
72,77,80,female,group D,bachelor's degree,standard,completed
73,55,66,male,group E,some college,free/reduced,none
47,40,47,male,group A,master's degree,free/reduced,completed
99,72,82,male,group D,some high school,standard,completed
64,59,73,female,group A,high school,standard,none
100,93,87,male,group A,some high school,free/reduced,none
63,78,67,male,group A,some high school,free/reduced,completed
90,91,88,male,group A,some high school,standard,completed
69,59,50,male,group D,some high school,free/reduced,none
82,80,82,male,group C,bachelor's degree,standard,completed
61,61,61,female,group A,bachelor's degree,standard,none
71,81,81,male,group E,some college,standard,completed
44,48,39,male,group C,associate's degree,free/reduced,none
57,50,46,male,group E,associate's degree,free/reduced,none
78,82,86,female,group B,some high school,standard,completed
56,60,55,male,group E,master's degree,free/reduced,completed
69,71,70,female,group D,some high school,free/reduced,none
87,91,92,female,group C,some college,free/reduced,completed
65,56,79,female,group B,associate's degree,standard,none
85,91,90,female,group B,master's degree,standard,completed
42,49,40,male,group D,some high school,free/reduced,none
73,74,67,female,group E,associate's degree,free/reduced,completed
64,72,77,female,group B,some college,standard,completed
75,87,83,female,group E,bachelor's degree,standard,completed
42,57,39,male,group C,some college,standard,none
54,70,81,female,group B,master's degree,free/reduced,completed
50,58,46,male,group D,some college,free/reduced,none
90,93,88,female,group D,some high school,free/reduced,completed
48,55,61,female,group A,some high school,standard,none
51,65,62,female,group A,high school,standard,none
85,85,71,male,group D,some high school,standard,none
59,58,49,male,group B,some college,standard,completed
78,94,91,female,group D,some high school,free/reduced,completed
53,44,52,female,group A,high school,free/reduced,none
79,81,65,male,group A,associate's degree,standard,completed
80,67,79,male,group B,high school,free/reduced,completed
94,80,92,male,group E,some high school,free/reduced,completed
59,86,70,female,group B,some college,free/reduced,none
77,59,62,male,group C,bachelor's degree,standard,none
49,54,48,female,group E,associate's degree,standard,completed
48,66,63,female,group A,some high school,free/reduced,completed
66,61,77,male,group C,high school,standard,completed
82,64,62,male,group E,master's degree,standard,none
62,74,54,female,group B,associate's degree,free/reduced,none
66,63,73,female,group E,some high school,free/reduced,completed
82,74,73,male,group C,master's degree,standard,none
62,59,73,male,group C,master's degree,free/reduced,none
64,62,68,female,group C,high school,free/reduced,completed
54,53,49,male,group D,associate's degree,standard,completed
52,53,50,male,group D,high school,free/reduced,none
68,64,67,male,group C,high school,free/reduced,none
78,80,76,male,group D,some college,standard,completed
75,81,59,male,group C,some college,standard,none
90,79,90,male,group B,high school,standard,completed
80,97,79,female,group E,bachelor's degree,standard,none
48,49,64,female,group C,high school,free/reduced,none
69,60,53,male,group C,master's degree,free/reduced,none
55,60,63,female,group A,some high school,free/reduced,none
67,61,76,male,group A,high school,free/reduced,completed
48,65,60,female,group D,bachelor's degree,free/reduced,completed
74,85,72,female,group C,some high school,standard,completed
25,59,52,female,group E,associate's degree,standard,completed
70,83,82,female,group B,associate's degree,free/reduced,completed
75,76,77,male,group E,master's degree,standard,none
70,59,80,female,group D,some high school,standard,none
61,73,71,female,group B,high school,standard,none
55,59,53,male,group B,high school,standard,none
66,85,92,male,group C,master's degree,standard,completed
65,68,64,male,group E,bachelor's degree,standard,none
82,82,85,male,group B,bachelor's degree,free/reduced,completed
67,82,60,male,group C,high school,free/reduced,none
66,72,67,female,group B,some high school,free/reduced,completed
66,61,51,male,group D,high school,free/reduced,none
67,57,71,male,group C,some college,standard,completed
51,59,80,female,group A,some high school,free/reduced,none
60,62,49,male,group C,associate's degree,free/reduced,completed
68,69,83,female,group D,master's degree,free/reduced,completed
56,52,52,male,group D,some college,standard,none
66,82,68,male,group D,bachelor's degree,standard,none
68,65,56,female,group B,some college,free/reduced,none
74,93,86,female,group C,master's degree,free/reduced,none
45,43,59,male,group B,some high school,standard,none
63,61,58,male,group A,master's degree,free/reduced,completed
56,83,65,female,group D,high school,standard,none
85,65,78,female,group C,high school,standard,completed
67,68,66,female,group C,associate's degree,free/reduced,none
31,54,49,female,group A,some high school,standard,none
61,62,64,female,group D,some college,free/reduced,none
58,75,81,female,group D,bachelor's degree,standard,none
68,76,59,male,group C,master's degree,free/reduced,none
70,68,64,male,group E,associate's degree,free/reduced,none
62,47,55,male,group B,some college,free/reduced,none
88,93,84,female,group E,master's degree,standard,none
56,80,73,female,group B,bachelor's degree,free/reduced,none
67,77,70,female,group D,high school,free/reduced,none
95,71,76,male,group A,some college,standard,completed
57,59,46,male,group C,master's degree,free/reduced,none
71,87,84,female,group E,bachelor's degree,standard,completed
78,75,74,female,group E,some high school,standard,none
