SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
0,46,104.59,5946.017276913715,Female,Yes,No,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,'One year',Yes,'Electronic check',No
0,21,53.49,360.7539834628984,Female,Yes,No,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,'Credit card (automatic)',No
0,38,74.91,1867.879543681193,Female,Yes,No,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',No
0,52,55.83,2124.946312520091,Male,No,No,Yes,'No phone service',DSL,No,No,Yes,No,No,No,Month-to-month,Yes,'Credit card (automatic)',No
0,31,60.17,2097.9477202198896,Female,No,No,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,'Credit card (automatic)',No
0,5,69.13,459.3087539018393,Female,Yes,Yes,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,'Electronic check',No
0,1,82.57,446.6174423258266,Male,No,No,Yes,Yes,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,Yes,'Mailed check',Yes
0,40,82.83,5162.66459546061,Female,Yes,Yes,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,No,Yes,'Two year',No,'Bank transfer (automatic)',No
0,72,71.92,5509.126331073534,Male,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,'Two year',No,'Bank transfer (automatic)',No
0,3,33.7,271.68845043161866,Female,Yes,No,No,'No phone service',DSL,No,No,No,Yes,No,No,Month-to-month,No,'Mailed check',No
0,15,86.77,1254.9047360039408,Female,No,No,Yes,Yes,'Fiber optic',No,No,Yes,No,No,Yes,Month-to-month,Yes,'Electronic check',No
1,32,105.37,5032.762123701913,Male,No,No,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',No
