age,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,deposit
27,-112,16,708,2,0,0,services,single,secondary,no,yes,yes,cellular,may,unknown,yes
30,1303,1,253,1,84,3,technician,single,tertiary,no,no,no,cellular,sep,success,yes
59,194,1,1599,5,-1,0,housemaid,married,unknown,no,no,no,telephone,jul,unknown,yes
34,220,24,93,1,-1,0,blue-collar,single,secondary,no,yes,yes,cellular,may,unknown,no
56,949,21,128,1,409,1,management,divorced,tertiary,no,no,yes,cellular,feb,other,no
54,524,14,151,1,-1,1,admin.,single,secondary,no,no,yes,cellular,mar,unknown,yes
54,344,30,257,1,169,4,unknown,married,secondary,no,no,no,cellular,jan,success,yes
45,37,5,276,2,-1,0,management,married,secondary,no,yes,no,cellular,nov,unknown,yes
75,1809,12,155,1,180,3,housemaid,married,unknown,no,no,no,cellular,nov,success,no
34,1273,17,242,1,96,4,management,single,tertiary,no,no,no,cellular,dec,success,yes
45,-11,30,167,1,-1,0,management,married,unknown,no,no,no,unknown,jan,unknown,no
60,551,20,208,1,185,1,management,divorced,secondary,no,no,yes,cellular,oct,failure,yes
26,-181,29,160,1,-1,0,management,single,tertiary,no,no,yes,cellular,may,unknown,no
48,-128,30,269,2,0,0,admin.,married,secondary,no,no,no,cellular,jan,unknown,yes
76,1376,15,312,1,-1,1,retired,married,secondary,no,no,no,telephone,dec,unknown,yes
75,439,11,195,2,194,1,technician,married,unknown,no,no,no,cellular,sep,other,yes
55,-86,4,209,2,-1,0,blue-collar,married,secondary,no,yes,yes,unknown,aug,unknown,no
36,92,5,760,2,-1,0,management,married,primary,no,no,no,cellular,jun,unknown,no
49,418,20,73,6,366,0,admin.,married,unknown,no,yes,no,cellular,may,other,yes
36,1555,4,237,1,96,4,management,married,tertiary,no,no,no,cellular,mar,success,yes
59,184,16,199,1,-1,0,retired,married,primary,no,no,no,cellular,sep,unknown,yes
36,352,16,283,1,-1,0,admin.,married,tertiary,no,no,yes,cellular,jun,unknown,yes
40,1053,2,181,1,94,3,blue-collar,married,tertiary,no,no,no,cellular,dec,success,yes
43,-33,27,135,5,-1,0,services,divorced,secondary,no,yes,no,cellular,aug,unknown,no
30,701,20,216,1,-1,0,services,single,primary,no,no,no,unknown,mar,unknown,no
29,253,18,40,1,-1,0,management,married,primary,no,yes,no,unknown,nov,unknown,no
35,153,4,107,2,-1,0,services,married,primary,no,yes,no,cellular,jul,unknown,no
24,438,20,360,1,-1,0,unknown,single,unknown,no,no,no,unknown,may,unknown,yes
32,81,1,136,2,-1,0,self-employed,married,secondary,no,no,yes,cellular,may,unknown,no
22,460,18,190,1,-1,0,blue-collar,single,secondary,no,no,no,cellular,mar,unknown,yes
33,90,1,370,1,-1,0,technician,divorced,tertiary,no,yes,no,cellular,aug,unknown,yes
57,207,27,148,2,177,1,entrepreneur,married,secondary,no,no,no,cellular,dec,failure,yes
54,986,30,244,2,-1,0,management,married,primary,no,no,no,cellular,jul,unknown,no
32,524,12,75,1,-1,0,management,single,secondary,no,yes,no,unknown,may,unknown,no
32,91,14,145,1,288,3,management,married,tertiary,no,yes,no,cellular,may,other,no
49,-101,29,134,2,-1,0,technician,married,secondary,no,yes,no,unknown,may,unknown,no
43,130,28,64,8,-1,0,blue-collar,divorced,secondary,yes,yes,no,cellular,aug,unknown,no
82,1188,2,89,1,167,3,unknown,married,unknown,no,no,no,telephone,sep,other,yes
48,127,8,196,1,-1,0,admin.,married,unknown,no,yes,yes,cellular,jul,unknown,no
30,381,29,165,2,-1,0,management,single,secondary,no,no,no,unknown,jan,unknown,no
44,-180,13,209,1,-1,0,blue-collar,married,secondary,no,yes,yes,cellular,jul,unknown,no
40,333,30,166,2,-1,0,admin.,married,secondary,no,yes,no,cellular,jul,unknown,no
42,118,18,76,1,-1,0,entrepreneur,divorced,primary,no,no,no,unknown,jul,unknown,no
41,-54,7,887,2,-1,0,blue-collar,married,primary,no,yes,yes,cellular,may,unknown,yes
56,164,20,56,2,0,0,unknown,divorced,tertiary,no,no,yes,unknown,aug,unknown,no
48,136,11,264,1,-1,0,services,divorced,primary,no,no,no,cellular,may,unknown,no
34,612,17,255,1,-1,0,technician,single,secondary,no,yes,no,cellular,nov,unknown,no
57,259,13,301,1,190,1,blue-collar,divorced,secondary,no,no,no,cellular,oct,other,yes
30,54,5,193,5,-1,0,management,single,secondary,no,no,no,cellular,aug,unknown,no
32,-53,29,156,2,-1,0,management,married,tertiary,no,no,yes,unknown,aug,unknown,no
51,-17,28,91,2,-1,0,admin.,divorced,primary,no,no,yes,cellular,jul,unknown,no
23,-60,30,186,5,-1,0,student,single,tertiary,no,no,no,cellular,jan,unknown,no
35,439,29,237,2,-1,0,blue-collar,divorced,secondary,no,yes,no,cellular,jul,unknown,no
55,1351,23,1040,5,-1,0,technician,married,unknown,no,yes,no,unknown,aug,unknown,yes
37,212,1,486,1,-1,0,admin.,married,secondary,no,no,no,cellular,feb,unknown,yes
36,-68,30,135,2,-1,0,self-employed,married,secondary,no,yes,no,telephone,aug,unknown,no
43,391,31,179,2,-1,0,unemployed,single,secondary,no,yes,no,cellular,apr,unknown,no
27,15,6,365,1,-1,0,student,married,secondary,no,no,no,cellular,may,unknown,yes
