duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,class
8,1586,4,4,30,1,1,<0,delayed previously,furniture/equipment,>=1000,1<=X<4,male div/sep,none,real estate,none,rent,unskilled resident,yes,yes,bad
15,1390,4,4,42,1,1,no checking,existing paid,new car,no known savings,>=7,male div/sep,none,life insurance,none,for free,unskilled resident,none,yes,good
8,2516,4,4,48,1,1,0<=X<200,critical/other existing credit,new car,no known savings,>=7,male single,none,no known property,none,own,unemp/unskilled non res,none,yes,good
47,14341,2,4,28,1,1,<0,existing paid,furniture/equipment,<100,1<=X<4,male div/sep,none,no known property,none,rent,skilled,yes,yes,bad
8,1848,2,4,34,2,1,no checking,no credits/all paid,new car,<100,<1,female div/dep/mar,co applicant,no known property,stores,rent,unskilled resident,yes,no,good
14,250,4,4,44,1,1,0<=X<200,all paid,education,no known savings,4<=X<7,male mar/wid,none,no known property,stores,for free,skilled,none,no,bad
10,1787,4,4,27,1,1,0<=X<200,existing paid,new car,<100,>=7,male div/sep,none,real estate,none,own,skilled,none,yes,good
17,1873,4,2,43,1,1,no checking,existing paid,furniture/equipment,500<=X<1000,<1,male div/sep,guarantor,no known property,none,own,skilled,yes,no,good
15,1670,4,2,30,1,1,0<=X<200,existing paid,business,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,good
15,2937,4,4,57,1,1,>=200,existing paid,new car,100<=X<500,>=7,male single,co applicant,life insurance,stores,own,skilled,none,no,good
13,788,4,2,39,2,1,no checking,delayed previously,radio/tv,<100,>=7,male mar/wid,none,real estate,none,for free,skilled,yes,yes,good
19,2873,2,2,43,2,1,>=200,critical/other existing credit,furniture/equipment,>=1000,1<=X<4,male mar/wid,none,car,bank,own,unskilled resident,yes,yes,good
30,2708,4,2,24,1,1,no checking,existing paid,new car,no known savings,>=7,male single,none,real estate,none,own,skilled,yes,yes,bad
9,2270,4,4,25,1,1,0<=X<200,critical/other existing credit,other,<100,4<=X<7,male single,none,real estate,stores,own,skilled,none,no,bad
13,1261,4,2,27,2,1,0<=X<200,delayed previously,domestic appliance,>=1000,<1,male div/sep,none,life insurance,none,for free,skilled,yes,yes,bad
16,680,4,2,29,2,1,>=200,no credits/all paid,used car,<100,4<=X<7,male div/sep,none,life insurance,none,own,skilled,none,yes,bad
12,2306,2,4,41,2,1,0<=X<200,critical/other existing credit,new car,no known savings,>=7,male single,none,no known property,none,own,skilled,none,no,bad
14,1049,4,4,22,1,1,0<=X<200,existing paid,furniture/equipment,500<=X<1000,1<=X<4,male div/sep,none,life insurance,none,rent,unemp/unskilled non res,none,yes,bad
7,581,4,4,50,1,1,no checking,existing paid,furniture/equipment,<100,>=7,male single,none,real estate,stores,own,unemp/unskilled non res,yes,yes,good
14,7715,4,4,36,1,1,no checking,all paid,new car,<100,>=7,male single,none,real estate,none,for free,unskilled resident,yes,yes,good
14,3355,4,4,26,1,1,0<=X<200,existing paid,new car,<100,<1,male single,none,car,none,for free,skilled,none,yes,bad
16,8576,2,4,36,1,1,<0,all paid,used car,<100,>=7,male div/sep,guarantor,real estate,stores,own,high qualif/self emp/mgmt,yes,yes,bad
19,1302,2,2,28,2,1,>=200,critical/other existing credit,repairs,<100,4<=X<7,male div/sep,co applicant,life insurance,none,rent,unskilled resident,none,yes,bad
16,3867,2,2,25,1,1,no checking,existing paid,retraining,<100,>=7,male div/sep,none,real estate,none,own,skilled,yes,yes,bad
5,1612,4,2,27,1,1,<0,existing paid,used car,no known savings,1<=X<4,male single,none,real estate,none,for free,skilled,none,yes,good
14,3534,4,4,50,1,1,0<=X<200,all paid,education,<100,>=7,male single,none,no known property,none,for free,skilled,none,no,good
16,3675,4,4,55,2,1,0<=X<200,existing paid,business,<100,>=7,male single,none,no known property,none,for free,unskilled resident,yes,no,good
13,455,4,4,60,1,1,>=200,delayed previously,new car,<100,>=7,male single,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,good
16,3974,4,2,21,2,1,no checking,no credits/all paid,radio/tv,<100,1<=X<4,male mar/wid,guarantor,life insurance,none,rent,skilled,yes,yes,bad
37,11409,4,4,23,1,1,0<=X<200,existing paid,used car,<100,unemployed,male single,none,no known property,none,rent,skilled,yes,yes,bad
50,3563,4,4,34,1,1,0<=X<200,existing paid,furniture/equipment,100<=X<500,>=7,female div/dep/mar,none,life insurance,stores,for free,skilled,yes,yes,bad
11,2712,4,4,58,1,1,>=200,existing paid,radio/tv,no known savings,unemployed,male single,none,life insurance,none,own,skilled,yes,yes,good
7,1305,4,4,52,2,1,>=200,critical/other existing credit,radio/tv,<100,>=7,male single,none,life insurance,none,for free,unemp/unskilled non res,yes,yes,good
12,1715,4,2,26,2,1,0<=X<200,delayed previously,furniture/equipment,500<=X<1000,4<=X<7,female div/dep/mar,co applicant,real estate,none,own,unskilled resident,yes,yes,good
9,742,4,2,23,1,1,no checking,existing paid,radio/tv,<100,4<=X<7,male single,none,life insurance,none,own,skilled,none,no,bad
15,1310,4,4,56,1,1,<0,existing paid,repairs,500<=X<1000,1<=X<4,male single,none,real estate,none,rent,high qualif/self emp/mgmt,yes,yes,good
12,1137,4,2,29,1,1,no checking,existing paid,radio/tv,<100,1<=X<4,male single,none,real estate,none,own,unskilled resident,none,yes,bad
11,275,4,4,22,1,1,0<=X<200,all paid,radio/tv,<100,1<=X<4,male div/sep,none,car,stores,rent,skilled,yes,yes,good
10,3046,4,2,26,2,1,no checking,delayed previously,radio/tv,>=1000,<1,male single,none,real estate,stores,own,skilled,yes,yes,bad
9,1777,4,2,27,1,1,no checking,existing paid,furniture/equipment,<100,>=7,male mar/wid,none,life insurance,none,own,skilled,none,yes,good
15,8653,2,2,27,2,1,0<=X<200,all paid,furniture/equipment,no known savings,<1,female div/dep/mar,none,real estate,none,own,skilled,none,yes,bad
22,2101,4,4,46,1,1,no checking,delayed previously,furniture/equipment,<100,>=7,male mar/wid,none,no known property,stores,for free,skilled,yes,yes,good
39,3541,1,2,32,2,1,>=200,no credits/all paid,retraining,<100,unemployed,female div/dep/mar,none,car,none,own,skilled,yes,yes,bad
18,2066,4,2,28,2,1,no checking,delayed previously,furniture/equipment,<100,1<=X<4,male single,none,real estate,bank,own,skilled,none,yes,good
15,2940,4,4,28,1,1,0<=X<200,existing paid,domestic appliance,no known savings,4<=X<7,male single,none,life insurance,none,own,skilled,yes,yes,good
14,2901,4,4,51,1,1,no checking,all paid,furniture/equipment,<100,>=7,male single,guarantor,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,good
39,6081,2,4,52,1,1,0<=X<200,existing paid,radio/tv,<100,unemployed,male single,none,no known property,stores,for free,skilled,yes,yes,bad
14,1894,4,2,38,1,1,<0,delayed previously,radio/tv,100<=X<500,1<=X<4,male single,none,no known property,none,own,skilled,yes,yes,good
13,1971,4,4,45,1,1,>=200,existing paid,new car,<100,unemployed,male single,none,no known property,none,for free,skilled,yes,yes,bad
14,1071,4,4,31,1,1,<0,existing paid,radio/tv,<100,1<=X<4,male mar/wid,none,life insurance,none,own,skilled,none,no,bad
24,4430,4,2,28,1,1,0<=X<200,existing paid,repairs,<100,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,bad
23,3599,4,4,24,1,1,0<=X<200,critical/other existing credit,radio/tv,<100,1<=X<4,male single,none,car,stores,own,high qualif/self emp/mgmt,none,yes,bad
9,1031,4,4,40,2,1,no checking,no credits/all paid,furniture/equipment,>=1000,1<=X<4,male single,none,no known property,none,for free,skilled,yes,yes,good
6,1893,1,4,59,1,1,>=200,existing paid,domestic appliance,500<=X<1000,>=7,female div/dep/mar,none,life insurance,none,own,skilled,yes,yes,good
18,1809,4,2,28,2,1,no checking,critical/other existing credit,new car,500<=X<1000,<1,female div/dep/mar,none,real estate,none,own,unskilled resident,yes,yes,good
16,1731,4,2,25,1,1,0<=X<200,critical/other existing credit,education,<100,>=7,male single,co applicant,life insurance,none,rent,skilled,none,yes,good
10,3365,1,4,61,1,1,>=200,existing paid,radio/tv,<100,>=7,female div/dep/mar,none,real estate,none,own,skilled,none,yes,bad
17,9457,4,4,33,1,1,>=200,all paid,domestic appliance,<100,unemployed,male single,guarantor,no known property,none,for free,high qualif/self emp/mgmt,none,yes,bad
15,953,4,4,58,1,1,no checking,existing paid,furniture/equipment,500<=X<1000,4<=X<7,male single,guarantor,no known property,none,for free,unemp/unskilled non res,yes,yes,bad
15,3408,4,4,27,1,1,<0,all paid,new car,<100,>=7,male div/sep,none,life insurance,none,rent,unskilled resident,none,yes,good
24,2344,4,4,29,1,1,0<=X<200,existing paid,new car,<100,<1,female div/dep/mar,none,no known property,none,rent,skilled,yes,yes,bad
51,4556,4,2,33,1,1,no checking,existing paid,radio/tv,500<=X<1000,unemployed,male single,guarantor,car,none,own,skilled,none,yes,bad
51,2228,4,2,22,2,1,0<=X<200,no credits/all paid,furniture/equipment,100<=X<500,4<=X<7,male single,none,real estate,none,own,skilled,yes,yes,bad
6,992,4,4,46,2,1,0<=X<200,critical/other existing credit,radio/tv,>=1000,>=7,male single,guarantor,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,good
15,4169,1,2,21,1,1,<0,existing paid,new car,<100,<1,male single,none,car,none,for free,skilled,none,yes,good
8,250,4,4,22,1,1,<0,existing paid,new car,100<=X<500,>=7,male single,none,real estate,none,rent,high qualif/self emp/mgmt,yes,yes,bad
12,1509,4,4,28,1,1,0<=X<200,existing paid,furniture/equipment,500<=X<1000,1<=X<4,female div/dep/mar,guarantor,car,none,rent,high qualif/self emp/mgmt,yes,yes,bad
15,2817,2,4,21,1,1,0<=X<200,all paid,new car,<100,unemployed,female div/dep/mar,none,life insurance,none,own,skilled,yes,yes,good
16,1516,4,4,31,1,1,<0,all paid,furniture/equipment,500<=X<1000,1<=X<4,male single,co applicant,real estate,none,own,skilled,yes,yes,good
14,3859,2,4,44,2,2,0<=X<200,critical/other existing credit,radio/tv,<100,>=7,male single,none,no known property,stores,for free,skilled,none,yes,good
13,2694,4,4,28,1,1,0<=X<200,existing paid,radio/tv,<100,1<=X<4,male single,none,life insurance,none,rent,unskilled resident,yes,yes,good
10,2072,4,4,33,1,1,no checking,existing paid,domestic appliance,<100,4<=X<7,male single,none,no known property,none,own,unskilled resident,none,yes,good
25,2994,4,4,24,1,1,no checking,all paid,furniture/equipment,<100,4<=X<7,male single,none,car,none,for free,skilled,yes,no,bad
11,1165,4,4,27,1,1,<0,existing paid,furniture/equipment,<100,<1,male single,none,life insurance,none,rent,skilled,yes,yes,bad
