SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
0.0,3.563737804066196,57.37403755774072,219.24836475561028,Male,No,No,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,'Mailed check',No
0.0,16.69240248640743,23.526333488932654,351.1469370331897,Female,No,Yes,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',No
1.0,64.13735744741103,104.718123644949,6642.763135129117,Female,Yes,No,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'One year',Yes,'Credit card (automatic)',Yes
0.0,1.0,49.001232642789695,33.24303326184384,Male,No,No,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,'Mailed check',Yes
0.0,4.0,75.18021821643711,425.1299850829297,Female,No,No,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',Yes
0.0,1.0,19.34245707910375,19.894544174331383,Male,No,No,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',No
1.0,8.0,50.46738889780611,426.274601243204,Female,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',No
0.0,54.75598994369536,100.17584991228,5319.375584358233,Male,Yes,Yes,Yes,No,'Fiber optic',Yes,Yes,No,No,Yes,Yes,'One year',Yes,'Electronic check',Yes
0.0,44.0,84.60524437977324,3763.049047027173,Male,No,No,Yes,Yes,'Fiber optic',No,Yes,No,Yes,No,No,'One year',Yes,'Bank transfer (automatic)',No
0.0,1.0,54.13293760382604,50.984192625729904,Female,No,Yes,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',No
1.0,23.0,90.86047418812248,2301.4866129110087,Male,No,No,Yes,No,'Fiber optic',Yes,No,No,No,Yes,Yes,Month-to-month,No,'Electronic check',Yes
0.0,49.0,50.80510847830796,2093.813764051794,Male,No,No,Yes,'No phone service',DSL,Yes,No,Yes,No,No,No,'Two year',No,'Mailed check',No
0.0,1.0,66.37156613179076,40.8145332650451,Male,No,Yes,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',Yes
0.0,57.0,103.84573886873903,5134.999411141023,Female,Yes,Yes,Yes,No,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'One year',Yes,'Bank transfer (automatic)',No
0.0,1.0,20.200652016997527,24.35038441202794,Male,No,Yes,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Mailed check',Yes
0.0,67.0,84.34355882944747,5393.98422722226,Female,Yes,Yes,Yes,No,DSL,No,Yes,No,Yes,No,Yes,'Two year',Yes,'Bank transfer (automatic)',No
0.0,24.06001007059617,55.600100894100805,1586.4832442683223,Male,No,Yes,No,'No phone service',DSL,No,Yes,No,No,No,No,'Two year',No,'Electronic check',No
0.0,0.0,118.5999984741211,8684.7998046875,Female,Yes,Yes,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',No
0.0,1.0,69.3182733956677,71.2951056331522,Female,Yes,No,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',Yes
0.0,71.02282644066679,102.68612819630567,7442.367396870504,Female,Yes,Yes,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,'Two year',No,'Bank transfer (automatic)',No
0.0,17.0,65.10624179289128,1022.141986014066,Female,No,No,Yes,No,DSL,Yes,No,Yes,No,No,Yes,'Two year',No,'Credit card (automatic)',No
0.0,3.1214480657434915,69.57616574608492,241.792663131387,Female,No,No,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',No
0.0,43.02681607136743,54.60216190295564,1860.5919744218627,Female,No,No,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,'Mailed check',No
0.0,3.0,23.19522262789067,62.760714392881326,Male,No,No,Yes,'No phone service',No,'No internet service',No,'No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',No
0.0,1.0,61.469669090524285,76.56072975217754,Male,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,'Electronic check',Yes
0.0,52.2311102431899,102.01099448750534,5902.682213579757,Male,Yes,Yes,Yes,Yes,'Fiber optic',No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',No
0.0,54.0,19.431461402506425,992.4308728221196,Male,Yes,Yes,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Credit card (automatic)',No
0.0,18.0,90.6435777009029,1173.093830381487,Male,No,Yes,Yes,No,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,No,'Electronic check',Yes
