age,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,deposit
38.0,256.3013085052934,7.0,539.9333663702569,1.0,0.0726996135417004,2.0,technician,single,tertiary,no,no,no,cellular,jun,success,yes
34.0,435.6151980561522,13.0,509.93697467239423,6.0,-1.0,0.0,unemployed,married,tertiary,no,no,no,telephone,may,unknown,yes
21.30034188475594,-105.09489324118664,7.0,358.9137330411064,3.0,-1.0,0.0,services,single,unknown,no,no,no,cellular,dec,unknown,yes
95.0,81204.0,1.0,3881.0,1.0,854.0,0.0,retired,married,unknown,no,no,no,telephone,dec,unknown,yes
50.90355398380896,85.11689897381211,10.0,1619.5238231287742,6.0,-1.0,0.0,entrepreneur,married,secondary,no,yes,no,unknown,jul,other,yes
28.0,1414.840505773082,9.0,1411.7421898998878,2.0,-1.0,0.0,unemployed,single,secondary,no,yes,yes,cellular,may,unknown,yes
34.0,286.40045524938364,23.0,138.8394929963586,3.0,-1.0,0.0,technician,single,secondary,no,no,no,unknown,feb,unknown,no
31.0,3130.897492192701,30.0,117.53576354018658,1.0,-1.0,0.0,management,divorced,secondary,no,no,no,cellular,may,unknown,yes
30.0,0.0,21.0,1278.7264388945405,2.0,-1.0,0.0,blue-collar,single,tertiary,no,no,yes,unknown,nov,unknown,yes
33.0,136.9851339455099,21.0,290.65372023890745,1.0,-1.0,0.0,unemployed,single,primary,no,no,no,cellular,may,unknown,no
29.0,2244.649015269831,18.0,622.9620789525256,1.0,-1.0,0.0,self-employed,single,tertiary,no,yes,no,cellular,may,unknown,yes
21.029843115841302,1978.844798162308,23.0,219.1496212706105,1.0,-1.0,0.0,student,single,secondary,no,yes,no,cellular,mar,unknown,yes
40.0,273.1733343093211,18.0,254.0660619221456,1.0,182.6306565178446,1.0,management,married,secondary,no,yes,yes,cellular,nov,failure,yes
47.0,310.4287202972203,4.0,174.8786641403735,8.0,-1.0,0.0,blue-collar,divorced,secondary,no,yes,no,unknown,aug,unknown,no
31.0,0.0,29.0,136.13489218028997,3.0,-1.0,0.0,unemployed,single,tertiary,no,no,yes,cellular,jul,unknown,no
60.0,2254.45668497574,5.0,176.87737121190352,1.0,285.0629601579284,1.0,retired,married,unknown,no,yes,no,cellular,jun,other,yes
38.0,0.0,4.0,566.7230373762875,2.0,-1.0,0.0,unemployed,married,secondary,no,no,no,cellular,jun,unknown,yes
33.0,276.0697762915532,21.0,105.2284690769714,2.0,-1.0,0.0,technician,married,secondary,no,no,no,telephone,aug,other,no
29.0,2625.274391401148,14.0,45.57159340002454,1.0,297.11041850565044,2.0,admin.,single,tertiary,no,yes,no,cellular,may,failure,no
38.0,259.55416842085583,18.0,127.93630355920706,1.0,-1.0,0.0,entrepreneur,single,unknown,no,no,yes,unknown,nov,unknown,no
34.0,2198.919442075175,14.0,705.7895558063722,12.233158698584448,-1.0,0.0,entrepreneur,married,secondary,no,no,no,telephone,may,unknown,yes
37.247502867328045,2510.610859656623,18.0,800.6705552323499,1.0,-1.0,0.0,unemployed,married,tertiary,no,yes,no,cellular,jul,unknown,yes
47.0,3731.100449858612,2.0,120.87793823677156,1.0,-1.0,0.0,unknown,divorced,tertiary,no,no,no,unknown,feb,unknown,no
27.0,3782.902042233598,29.0,613.630844560867,1.0,-1.0,0.0,management,single,tertiary,no,no,no,cellular,may,unknown,yes
47.0,-304.01486465719427,31.0,219.57524130823776,4.0,-1.0,0.0,management,married,secondary,no,no,yes,cellular,jan,unknown,no
27.0,0.0,7.0,36.018088336057936,1.0,-1.0,0.0,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
45.03115448575498,4555.1857468085855,6.0,988.8712715425388,2.0,-1.0,0.0,technician,divorced,secondary,no,yes,no,cellular,aug,unknown,yes
41.0,649.8491547057988,19.0,173.92618153166825,3.0,-1.0,0.0,technician,married,primary,no,no,no,cellular,jul,unknown,no
58.0,6924.034492764795,28.0,1350.8912689078325,1.0,-1.0,0.0,retired,married,tertiary,no,no,no,cellular,jul,unknown,yes
35.0,-273.32985248625243,8.0,131.42026638094302,1.0,-1.0,0.0,blue-collar,married,tertiary,no,yes,no,cellular,jan,unknown,no
46.31707469336511,5360.744449348667,6.0,756.362136530628,1.0,-1.0,0.0,technician,single,unknown,no,no,no,unknown,dec,unknown,yes
27.545445670650786,1803.9823292383169,27.0,233.0841348276484,1.0,198.4784854850172,1.0,blue-collar,single,secondary,no,yes,no,cellular,sep,failure,yes
29.0,7.432443932354988,5.0,271.4392009285282,1.0,285.49391434084515,2.0,blue-collar,single,tertiary,no,yes,no,cellular,sep,failure,yes
41.0,430.0037666340291,1.0,813.6930251915953,1.0,-1.0,0.0,technician,married,secondary,no,yes,no,cellular,jun,unknown,no
52.0,6844.837589061696,28.0,301.5319895371183,1.0,-1.0,0.0,housemaid,married,secondary,no,yes,no,cellular,jan,unknown,yes
95.0,81204.0,1.0,3881.0,1.0,854.0,0.0,retired,divorced,tertiary,no,no,no,cellular,dec,failure,yes
30.51414010794991,2791.0877633279983,30.0,291.3108771280066,1.0,-1.0,0.0,technician,single,secondary,no,yes,no,cellular,oct,unknown,yes
48.0,142.94857784727387,6.0,625.4086121447605,3.0,-1.0,0.0,management,married,secondary,no,no,yes,cellular,jun,unknown,yes
40.0,10132.878601820184,20.0,279.1954865222792,1.0,-1.0,0.0,entrepreneur,divorced,tertiary,no,yes,no,cellular,nov,unknown,yes
41.0,1261.760982220881,12.0,864.3703378632695,1.0,-1.0,0.0,housemaid,married,tertiary,no,yes,no,cellular,jul,unknown,yes
54.0,2020.2036722117143,6.0,111.27642832264594,1.0,-1.0,0.0,technician,married,primary,no,no,no,cellular,dec,unknown,yes
34.0,9.465939327133118,16.0,138.56451965645525,1.0,-1.0,0.0,services,married,unknown,no,yes,no,cellular,may,unknown,no
27.0,988.9797157106178,20.0,539.8929302087512,2.0,-1.0,0.0,technician,single,secondary,no,yes,no,cellular,aug,unknown,yes
41.0,1.2323763680634603,21.0,536.2739355222784,1.0,-1.0,0.0,technician,married,primary,no,no,yes,unknown,nov,unknown,yes
37.0,52.84172666822365,14.0,807.671891298845,6.0,-1.0,0.0,management,single,primary,no,yes,no,unknown,aug,unknown,yes
48.05779541036196,2039.3919863387985,4.0,663.1936299946069,5.0,-1.0,0.0,technician,married,unknown,no,yes,no,cellular,aug,unknown,yes
65.09078252194867,200.74271102490025,4.0,1303.8131148937737,1.0,-1.0,0.0,retired,divorced,unknown,no,no,no,cellular,may,unknown,yes
26.0,1713.0557304050608,12.0,67.33643556324974,1.0,-1.0,0.0,student,single,secondary,no,no,yes,cellular,dec,unknown,no
36.0,-357.88538646511705,20.0,218.5206008881254,5.0,-1.0,0.0,unemployed,married,secondary,no,yes,yes,cellular,jul,unknown,no
