duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,class
5.0,336.44523574254214,4.0,3.0,27.91056205764266,1.0,1.0,<0,critical/other existing credit,furniture/equipment,<100,4<=X<7,female div/dep/mar,co applicant,life insurance,none,own,unskilled resident,none,yes,bad
12.0,1282.9781796810526,3.0,1.0,24.092322980602194,1.0,1.0,>=200,existing paid,furniture/equipment,<100,<1,male single,none,life insurance,none,own,unskilled resident,none,yes,good
15.0,2844.302851008917,3.0,4.0,39.43429756962384,1.0,1.0,0<=X<200,all paid,furniture/equipment,500<=X<1000,>=7,male mar/wid,none,no known property,none,rent,skilled,yes,yes,good
11.0,620.817220865259,4.0,4.0,23.92452060085925,1.0,1.0,no checking,existing paid,radio/tv,>=1000,>=7,male single,none,real estate,stores,for free,unemp/unskilled non res,none,yes,bad
12.0,3103.450226231389,2.0,4.0,40.41633703475523,1.0,2.0,0<=X<200,existing paid,radio/tv,<100,>=7,male mar/wid,none,no known property,none,own,unemp/unskilled non res,none,yes,good
24.0,6161.33495861943,4.0,4.0,34.27396370991522,1.0,1.0,0<=X<200,critical/other existing credit,furniture/equipment,<100,1<=X<4,male single,none,life insurance,none,for free,skilled,none,yes,bad
21.0,2948.142987313563,3.0,2.0,32.37603661676488,2.0,1.0,>=200,existing paid,other,<100,<1,male div/sep,none,real estate,none,rent,high qualif/self emp/mgmt,yes,yes,good
24.0,6307.040191293731,4.0,4.0,53.72589134097277,1.0,2.0,0<=X<200,existing paid,furniture/equipment,no known savings,>=7,male single,none,car,none,for free,unskilled resident,yes,yes,good
18.0,4493.751195607088,3.0,3.0,27.88555459861232,2.0,1.0,<0,delayed previously,other,500<=X<1000,1<=X<4,male single,none,no known property,none,own,unskilled resident,none,yes,bad
8.0,2136.588220837564,1.0,4.0,30.875294643656524,1.0,1.0,<0,all paid,new car,<100,unemployed,male mar/wid,co applicant,real estate,none,own,skilled,yes,yes,good
